	en	ru	ru_tokens	en_tokens
0	When I was lying there in the VA hospital, 	Когда я лежал в военном госпитале... 	['Когда', 'я', 'лежал', 'в', 'военном', 'госпитале']	['When', 'I', 'was', 'lying', 'there', 'in', 'the', 'VA', 'hospital']
2	with a big hole blown through the middle of my life, 	...со здоровенной дырой, проделанной посреди моей жизни, 	['со', 'здоровенной', 'дырой', 'проделанной', 'посреди', 'моей', 'жизни']	['with', 'a', 'big', 'hole', 'blown', 'through', 'the', 'middle', 'of', 'my', 'life']
3	I started having these dreams of flying 	...я начал видеть сны в которых я летал. 	['я', 'начал', 'видеть', 'сны', 'в', 'которых', 'я', 'летал']	['I', 'started', 'having', 'these', 'dreams', 'of', 'flying']
4	I was free 	Я был свободен... 	['Я', 'был', 'свободен']	['I', 'was', 'free']
5	Sooner or later, though, you always have to wake up 	...но рано или поздно... ...приходится проснуться. 	['но', 'рано', 'или', 'поздно', 'приходится', 'проснуться']	['Sooner', 'or', 'later', 'though', 'you', 'always', 'have', 'to', 'wake', 'up']
6	In cryo, you don't dream at all 	В крио сны вообще не снятся. 	['В', 'крио', 'сны', 'вообще', 'не', 'снятся']	"['In', 'cryo', 'you', ""don't"", 'dream', 'at', 'all']"
7	It doesn't feel like six years More like a fifth of teguila and an ass-kicking Tommy was the scientist, not me He was the one who wanted to get shot light-years out in space to find the answers 	Не чувствуешь, что прошло 6 лет. Скорее, как после бутылки текилы с мордобоем. Томми был учёным, не я. Это он хотел бороздить далекий космос в поисках ответов. 	['Не', 'чувствуешь', 'что', 'прошло', '6', 'лет', 'Скорее', 'как', 'после', 'бутылки', 'текилы', 'с', 'мордобоем', 'Томми', 'был', 'учёным', 'не', 'я', 'Это', 'он', 'хотел', 'бороздить', 'далекий', 'космос', 'в', 'поисках', 'ответов']	"['It', ""doesn't"", 'feel', 'like', 'six', 'years', 'More', 'like', 'a', 'fifth', 'of', 'teguila', 'and', 'an', 'ass-kicking', 'Tommy', 'was', 'the', 'scientist', 'not', 'me', 'He', 'was', 'the', 'one', 'who', 'wanted', 'to', 'get', 'shot', 'light-years', 'out', 'in', 'space', 'to', 'find', 'the', 'answers']"
8	Are we there yet? 	Мы уже прибыли? 	['Мы', 'уже', 'прибыли']	['Are', 'we', 'there', 'yet']
9	Yeah, we're there, sunshine. 	Да, уже прибыли, солнышко. 	['Да', 'уже', 'прибыли', 'солнышко']	"['Yeah', ""we're"", 'there', 'sunshine']"
10	We're there. 	Уже прибыли. 	['Уже', 'прибыли']	"[""We're"", 'there']"
11	It's about your brother 	...Это по поводу Вашего брата. 	['Это', 'по', 'поводу', 'Вашего', 'брата']	"[""It's"", 'about', 'your', 'brother']"
