	en	ru	ru_tokens	en_tokens
0	Go on, Barbara. 	Продолжай, Барбара. 	['Продолжай', 'Барбара']	['Go', 'on', 'Barbara']
1	We go back to our homeroom for dismissal. 	Нас распускают по домам. 	['Нас', 'распускают', 'по', 'домам']	['We', 'go', 'back', 'to', 'our', 'homeroom', 'for', 'dismissal']
2	Unless you have a pass for sports or something. 	Если у нас нет спортивных занятий. 	['Если', 'у', 'нас', 'нет', 'спортивных', 'занятий']	['Unless', 'you', 'have', 'a', 'pass', 'for', 'sports', 'or', 'something']
3	Is that what you did on the day in question? 	И в тот день, всё шло, как обычно? 	['И', 'в', 'тот', 'день', 'всё', 'шло', 'как', 'обычно']	['Is', 'that', 'what', 'you', 'did', 'on', 'the', 'day', 'in', 'question']
4	No. Mr. Gettys asked me to stay after class. 	Нет. Мистер Геттис велел мне остаться после уроков. 	['Нет', 'Мистер', 'Геттис', 'велел', 'мне', 'остаться', 'после', 'уроков']	['No', 'Mr', 'Gettys', 'asked', 'me', 'to', 'stay', 'after', 'class']
5	What happened next, Barbara? 	Что было дальше, Барбара? 	['Что', 'было', 'дальше', 'Барбара']	['What', 'happened', 'next', 'Barbara']
6	He told me to sit in the chair beside his desk. 	Он посадил меня на стул сбоку от его стола. 	['Он', 'посадил', 'меня', 'на', 'стул', 'сбоку', 'от', 'его', 'стола']	['He', 'told', 'me', 'to', 'sit', 'in', 'the', 'chair', 'beside', 'his', 'desk']
7	If you will, in your own words, tell us exactly what happened... 	Прошу тебя рассказать нам своими словами, но очень точно... 	['Прошу', 'тебя', 'рассказать', 'нам', 'своими', 'словами', 'но', 'очень', 'точно']	['If', 'you', 'will', 'in', 'your', 'own', 'words', 'tell', 'us', 'exactly', 'what', 'happened']
8	...in the next few minutes. 	...что происходило потом. 	['что', 'происходило', 'потом']	['in', 'the', 'next', 'few', 'minutes']
9	I told him I was afraid I'd miss my bus. 	Я боялась опоздать на автобус. 	['Я', 'боялась', 'опоздать', 'на', 'автобус']	"['I', 'told', 'him', 'I', 'was', 'afraid', ""I'd"", 'miss', 'my', 'bus']"
10	He promised I'd get to the bus on time if I'd help him do something. 	Но он сказал, что я успею, если помогу ему кое в чём. 	['Но', 'он', 'сказал', 'что', 'я', 'успею', 'если', 'помогу', 'ему', 'кое', 'в', 'чём']	"['He', 'promised', ""I'd"", 'get', 'to', 'the', 'bus', 'on', 'time', 'if', ""I'd"", 'help', 'him', 'do', 'something']"
