	en	ru	ru_tokens	en_tokens
0	There's a black guy outside breaking into your car. 	Там черный парень снаружи вломился в твою машину. 	['Там', 'черный', 'парень', 'снаружи', 'вломился', 'в', 'твою', 'машину']	"[""There's"", 'a', 'black', 'guy', 'outside', 'breaking', 'into', 'your', 'car']"
1	How long's he been there? 	Как долго он там? 	['Как', 'долго', 'он', 'там']	"['How', ""long's"", 'he', 'been', 'there']"
2	I don't know. 	Я не знаю. 	['Я', 'не', 'знаю']	"['I', ""don't"", 'know']"
3	What's going on? 	Что происходит? 	['Что', 'происходит']	"[""What's"", 'going', 'on']"
4	Not right now, honey. How many? 	Не сейчас, дорогая. Сколько их? 	['Не', 'сейчас', 'дорогая', 'Сколько', 'их']	['Not', 'right', 'now', 'honey', 'How', 'many']
5	Danny, how many? 	Денни, сколько их? 	['Денни', 'сколько', 'их']	['Danny', 'how', 'many']
6	One, I think. 	Я думаю, один. 	['Я', 'думаю', 'один']	['One', 'I', 'think']
7	Is he strapped? 	Он опасен? 	['Он', 'опасен']	['Is', 'he', 'strapped']
8	Does he have a gun? 	Он вооружен, Денни? 	['Он', 'вооружен', 'Денни']	['Does', 'he', 'have', 'a', 'gun']
9	I don't fucking know. 	Да я не знаю. 	['Да', 'я', 'не', 'знаю']	"['I', ""don't"", 'fucking', 'know']"
10	Wait a second. What the fuck is going on? 	Подожди. Что происходит? 	['Подожди', 'Что', 'происходит']	['Wait', 'a', 'second', 'What', 'the', 'fuck', 'is', 'going', 'on']
11	Stay right here and be quiet. 	Оставайся здесь и сиди тихо. 	['Оставайся', 'здесь', 'и', 'сиди', 'тихо']	['Stay', 'right', 'here', 'and', 'be', 'quiet']
12	Wait a second, Derek. Wait. 	Подожди, Дерек, подожди! 	['Подожди', 'Дерек', 'подожди']	['Wait', 'a', 'second', 'Derek', 'Wait']
13	Stay right here. 	Останься здесь. 	['Останься', 'здесь']	['Stay', 'right', 'here']
14	I don't have a personal problem with him. 	Я беспристрастно отношусь к нему. 	['Я', 'беспристрастно', 'отношусь', 'к', 'нему']	"['I', ""don't"", 'have', 'a', 'personal', 'problem', 'with', 'him']"
15	Don't insult my intelligence, Murray. 	У меня другое мнение, Марри. 	['У', 'меня', 'другое', 'мнение', 'Марри']	"[""Don't"", 'insult', 'my', 'intelligence', 'Murray']"
16	You hate this child, and I think I know why. 	Вы ненавидите этого ребенка и я думаю, я знаю, почему. 	['Вы', 'ненавидите', 'этого', 'ребенка', 'и', 'я', 'думаю', 'я', 'знаю', 'почему']	['You', 'hate', 'this', 'child', 'and', 'I', 'think', 'I', 'know', 'why']
17	Dr. Sweeney's office. 	Офис доктора Суини. 	['Офис', 'доктора', 'Суини']	"['Dr', ""Sweeney's"", 'office']"
18	I went out with his mother a few times. 	Я встречался с его матерью несколько раз. 	['Я', 'встречался', 'с', 'его', 'матерью', 'несколько', 'раз']	['I', 'went', 'out', 'with', 'his', 'mother', 'a', 'few', 'times']
19	That was three years ago. It was nothing. 	Это продолжается три года. Но это ничего не дало. 	['Это', 'продолжается', 'три', 'года', 'Но', 'это', 'ничего', 'не', 'дало']	['That', 'was', 'three', 'years', 'ago', 'It', 'was', 'nothing']
20	Nothing. Really? 	Ничего. Правда? 	['Ничего', 'Правда']	['Nothing', 'Really']
21	That paper-- Bob, it's a travesty. 	Эта бумага, Боб, - это подражание. 	['Эта', 'бумага', 'Боб', 'это', 'подражание']	"['That', 'paper', 'Bob', ""it's"", 'a', 'travesty']"
22	Arguing for Hitler as a civil rights hero. 	Доказывает то, что Гитлер боролся за гражданские права. 	['Доказывает', 'то', 'что', 'Гитлер', 'боролся', 'за', 'гражданские', 'права']	['Arguing', 'for', 'Hitler', 'as', 'a', 'civil', 'rights', 'hero']
23	You've got to draw the line. Murray,you actually did this to yourself. You told them to do a report... 	Вы должны относиться к этому... 	['Вы', 'должны', 'относиться', 'к', 'этому']	"[""You've"", 'got', 'to', 'draw', 'the', 'line', 'Murray,you', 'actually', 'did', 'this', 'to', 'yourself', 'You', 'told', 'them', 'to', 'do', 'a', 'report']"
24	on any book that related to the struggle for civil rights... 	как к любой к книге о гражданских правах... 	['как', 'к', 'любой', 'к', 'книге', 'о', 'гражданских', 'правах']	['on', 'any', 'book', 'that', 'related', 'to', 'the', 'struggle', 'for', 'civil', 'rights']
25	in plain English. 	на английском языке. 	['на', 'английском', 'языке']	['in', 'plain', 'English']
26	I am not disputing the fact that the child is confused... 	Я не обсуждаю тот факт, что ребенок был ... 	['Я', 'не', 'обсуждаю', 'тот', 'факт', 'что', 'ребенок', 'был']	['I', 'am', 'not', 'disputing', 'the', 'fact', 'that', 'the', 'child', 'is', 'confused']
27	and harbors some sick ideas... 	под давлением некоторых больных идей,... 	['под', 'давлением', 'некоторых', 'больных', 'идей']	['and', 'harbors', 'some', 'sick', 'ideas']
28	but I am not ready to give up on him yet. 	но я еще не потерял веру в него. 	['но', 'я', 'еще', 'не', 'потерял', 'веру', 'в', 'него']	['but', 'I', 'am', 'not', 'ready', 'to', 'give', 'up', 'on', 'him', 'yet']
29	His brother probably put him up to it. 	Это его брат влияет на него. 	['Это', 'его', 'брат', 'влияет', 'на', 'него']	['His', 'brother', 'probably', 'put', 'him', 'up', 'to', 'it']
30	I guarantee you 100% ... 	Я могу стопроцентно гарантировать, что... 	['Я', 'могу', 'стопроцентно', 'гарантировать', 'что']	['I', 'guarantee', 'you', '100']
31	his brother did not put him up to this. 	что это не его брат делает это. 	['что', 'это', 'не', 'его', 'брат', 'делает', 'это']	['his', 'brother', 'did', 'not', 'put', 'him', 'up', 'to', 'this']
32	l find that hard to believe. 	В это трудно поверить. 	['В', 'это', 'трудно', 'поверить']	['l', 'find', 'that', 'hard', 'to', 'believe']
33	I know he was a good kid... 	Я знаю, он был хорошим  ребенком,... 	['Я', 'знаю', 'он', 'был', 'хорошим', 'ребенком']	['I', 'know', 'he', 'was', 'a', 'good', 'kid']
34	and it's a shame what he's been through, but that's dangerous. 	но то что с ним происходит, это опасно. 	['но', 'то', 'что', 'с', 'ним', 'происходит', 'это', 'опасно']	"['and', ""it's"", 'a', 'shame', 'what', ""he's"", 'been', 'through', 'but', ""that's"", 'dangerous']"
35	Dangerous in what way? 	Почему опасно? 	['Почему', 'опасно']	['Dangerous', 'in', 'what', 'way']
36	That goes too far. 	Это зашло слишком далеко. 	['Это', 'зашло', 'слишком', 'далеко']	['That', 'goes', 'too', 'far']
37	"This racist propaganda, ""Mein Kampf"" psychobabble... "	"Эта расистская пропаганда, ""Маин Капф"",... "	['Эта', 'расистская', 'пропаганда', 'Маин', 'Капф']	['This', 'racist', 'propaganda', 'Mein', 'Kampf', 'psychobabble']
38	he learned this nonsense, and he can unlearn it,too. 	он поверил в нее, он также может в ней разувериться. 	['он', 'поверил', 'в', 'нее', 'он', 'также', 'может', 'в', 'ней', 'разувериться']	['he', 'learned', 'this', 'nonsense', 'and', 'he', 'can', 'unlearn', 'it,too']
39	I will not give up on this child yet. 	Я еще не потерял веры в этого ребенка. 	['Я', 'еще', 'не', 'потерял', 'веры', 'в', 'этого', 'ребенка']	['I', 'will', 'not', 'give', 'up', 'on', 'this', 'child', 'yet']
40	I knew it was you. 	Я знаю, это были вы. 	['Я', 'знаю', 'это', 'были', 'вы']	['I', 'knew', 'it', 'was', 'you']
41	Danny, get in here. 	Денни, зайди. 	['Денни', 'зайди']	['Danny', 'get', 'in', 'here']
42	I said get in here! 	Я сказал, заходи! 	['Я', 'сказал', 'заходи']	['I', 'said', 'get', 'in', 'here']
43	Get in here! 	Заходи! 	['Заходи']	['Get', 'in', 'here']
44	Five,four,three,two... 	Пять, четыре, три, два... 	['Пять', 'четыре', 'три', 'два']	['Five,four,three,two']
45	Shut the door! 	Закрой дверь! 	['Закрой', 'дверь']	['Shut', 'the', 'door']
46	What's it gonna be, Danny? 	Кем ты собираешься стать, Денни? 	['Кем', 'ты', 'собираешься', 'стать', 'Денни']	"[""What's"", 'it', 'gonna', 'be', 'Danny']"
47	What's what gonna be? 	В каком смысле? 	['В', 'каком', 'смысле']	"[""What's"", 'what', 'gonna', 'be']"
48	This petty crap you're pulling. 	Я насчет того дерьма, которым ты занимаешься. 	['Я', 'насчет', 'того', 'дерьма', 'которым', 'ты', 'занимаешься']	"['This', 'petty', 'crap', ""you're"", 'pulling']"
49	I don't know. 	Я не знаю. 	['Я', 'не', 'знаю']	"['I', ""don't"", 'know']"
50	Have a seat. 	Садись. 	['Садись']	['Have', 'a', 'seat']
51	How are you doing? 	Как ты? 	['Как', 'ты']	['How', 'are', 'you', 'doing']
52	Fine. 	Хорошо. 	['Хорошо']	['Fine']
53	Things at home OK? 	Дома все в порядке? 	['Дома', 'все', 'в', 'порядке']	['Things', 'at', 'home', 'OK']
54	Derek got out this morning, did he not? 	Дерек вышел этим утром? 	['Дерек', 'вышел', 'этим', 'утром']	['Derek', 'got', 'out', 'this', 'morning', 'did', 'he', 'not']
55	Yeah, he did. 	Да. 	['Да']	['Yeah', 'he', 'did']
56	He was one of my students. You knew that, right? 	Он был одним из моих учеников. Ты знаешь это? 	['Он', 'был', 'одним', 'из', 'моих', 'учеников', 'Ты', 'знаешь', 'это']	['He', 'was', 'one', 'of', 'my', 'students', 'You', 'knew', 'that', 'right']
57	Honours English. 	Изучал английский. 	['Изучал', 'английский']	['Honours', 'English']
58	He was a brilliant student like you... 	Он был прекрасным учеником, как и ты... 	['Он', 'был', 'прекрасным', 'учеником', 'как', 'и', 'ты']	['He', 'was', 'a', 'brilliant', 'student', 'like', 'you']
59	but he hung out with simple-mindedfools... also like you. 	но он связался с дураками, также как и ты. 	['но', 'он', 'связался', 'с', 'дураками', 'также', 'как', 'и', 'ты']	['but', 'he', 'hung', 'out', 'with', 'simple-mindedfools', 'also', 'like', 'you']
60	Did you bring me in here to talk about Derek? 	Вы, что, вызвали меня поговорить о Дереке? 	['Вы', 'что', 'вызвали', 'меня', 'поговорить', 'о', 'Дереке']	['Did', 'you', 'bring', 'me', 'in', 'here', 'to', 'talk', 'about', 'Derek']
61	What happened to him has nothing to do with me. 	То, что случилось с ним, никак не связано с мной. 	['То', 'что', 'случилось', 'с', 'ним', 'никак', 'не', 'связано', 'с', 'мной']	['What', 'happened', 'to', 'him', 'has', 'nothing', 'to', 'do', 'with', 'me']
62	Everything you do right now has something to do with Derek. 	Все, что ты делаешь, связано с Дереком. 	['Все', 'что', 'ты', 'делаешь', 'связано', 'с', 'Дереком']	['Everything', 'you', 'do', 'right', 'now', 'has', 'something', 'to', 'do', 'with', 'Derek']
63	"I followed directions. I wrote an ""A"" Paper. "	Я выполнил задание, написал сочинение. 	['Я', 'выполнил', 'задание', 'написал', 'сочинение']	['I', 'followed', 'directions', 'I', 'wrote', 'an', 'A', 'Paper']
64	"""Mein Kampf""? "	"""Маин Капф""? "	['Маин', 'Капф']	['Mein', 'Kampf']
65	I should expel you. 	Я должен наказать тебя. 	['Я', 'должен', 'наказать', 'тебя']	['I', 'should', 'expel', 'you']
66	Go ahead. You don't think I could handle it? 	Ладно. Вы не думаете, что я могу снова написать это. 	['Ладно', 'Вы', 'не', 'думаете', 'что', 'я', 'могу', 'снова', 'написать', 'это']	"['Go', 'ahead', 'You', ""don't"", 'think', 'I', 'could', 'handle', 'it']"
67	No. I think the street would kill you. 	Нет. Я думаю, улица убъет тебя. 	['Нет', 'Я', 'думаю', 'улица', 'убъет', 'тебя']	['No', 'I', 'think', 'the', 'street', 'would', 'kill', 'you']
68	Your rhetoric and your propaganda... 	Твоя риторика и твоя  пропаганда... 	['Твоя', 'риторика', 'и', 'твоя', 'пропаганда']	['Your', 'rhetoric', 'and', 'your', 'propaganda']
69	aren't going to save you out there. 	не спасет тебя. 	['не', 'спасет', 'тебя']	"[""aren't"", 'going', 'to', 'save', 'you', 'out', 'there']"
70	So here's the drill. 	Теперь приступим к главному. 	['Теперь', 'приступим', 'к', 'главному']	"['So', ""here's"", 'the', 'drill']"
71	I'm your history teacher from now on. 	Я - твой учитель истории с этого момента. 	['Я', 'твой', 'учитель', 'истории', 'с', 'этого', 'момента']	"[""I'm"", 'your', 'history', 'teacher', 'from', 'now', 'on']"
72	We will discuss current events. 	Мы будем обсуждать текущие события. 	['Мы', 'будем', 'обсуждать', 'текущие', 'события']	['We', 'will', 'discuss', 'current', 'events']
73	We will call this class... 	Мы назовем этот предмет... 	['Мы', 'назовем', 'этот', 'предмет']	['We', 'will', 'call', 'this', 'class']
74	American History X. 	Американская История Икс. 	['Американская', 'История', 'Икс']	['American', 'History', 'X']
75	We meet once a day. 	Мы будем встречаться раз в день. 	['Мы', 'будем', 'встречаться', 'раз', 'в', 'день']	['We', 'meet', 'once', 'a', 'day']
76	All right. Your first assignment... 	Теперь. Твое первое задание... 	['Теперь', 'Твое', 'первое', 'задание']	['All', 'right', 'Your', 'first', 'assignment']
77	is to prepare for me a new paper due tomorrow. 	приготовить для меня новое сочинение до завтра. 	['приготовить', 'для', 'меня', 'новое', 'сочинение', 'до', 'завтра']	['is', 'to', 'prepare', 'for', 'me', 'a', 'new', 'paper', 'due', 'tomorrow']
78	"Come on, Sweeney. It took me a week to read ""Mein Kampf."" "	"Да ладно, Суини. У меня ""Маин Капф"" занял неделю. "	['Да', 'ладно', 'Суини', 'У', 'меня', 'Маин', 'Капф', 'занял', 'неделю']	['Come', 'on', 'Sweeney', 'It', 'took', 'me', 'a', 'week', 'to', 'read', 'Mein', 'Kampf']
79	What do you want me to do it on? 	Чего вы хотите от меня? 	['Чего', 'вы', 'хотите', 'от', 'меня']	['What', 'do', 'you', 'want', 'me', 'to', 'do', 'it', 'on']
80	Your brother. 	Написать о твоем брате. 	['Написать', 'о', 'твоем', 'брате']	['Your', 'brother']
81	Oh, God, man. Please tell me you're joking. 	О, Господи! Вы наверно шутите. 	['О', 'Господи', 'Вы', 'наверно', 'шутите']	"['Oh', 'God', 'man', 'Please', 'tell', 'me', ""you're"", 'joking']"
82	No. I'm not kidding. 	Нет. Я не шучу. 	['Нет', 'Я', 'не', 'шучу']	"['No', ""I'm"", 'not', 'kidding']"
83	I want you to analyse and interpret all the events... 	Я хочу, чтобы ты проанализировал события,... 	['Я', 'хочу', 'чтобы', 'ты', 'проанализировал', 'события']	['I', 'want', 'you', 'to', 'analyse', 'and', 'interpret', 'all', 'the', 'events']
84	surrounding Derek's incarceration. 	ведущие к аресту Дерека. 	['ведущие', 'к', 'аресту', 'Дерека']	"['surrounding', ""Derek's"", 'incarceration']"
85	How these events helped shape your present perspective... 	Как эти события изменили твое отношение... 	['Как', 'эти', 'события', 'изменили', 'твое', 'отношение']	['How', 'these', 'events', 'helped', 'shape', 'your', 'present', 'perspective']
86	concerning life in contemporary America. 	к жизни современной Америки,... 	['к', 'жизни', 'современной', 'Америки']	['concerning', 'life', 'in', 'contemporary', 'America']
87	The impact on your life, your family's. 	относительно твоей жизни, жизни твоей семьи. 	['относительно', 'твоей', 'жизни', 'жизни', 'твоей', 'семьи']	"['The', 'impact', 'on', 'your', 'life', 'your', ""family's""]"
88	Whatever you want to say, Danny. 	Независимо от того, что ты напишешь, Денни... 	['Независимо', 'от', 'того', 'что', 'ты', 'напишешь', 'Денни']	['Whatever', 'you', 'want', 'to', 'say', 'Danny']
89	I'll be the only one reading it. 	я буду единственным, прочитавшим твое задание. 	['я', 'буду', 'единственным', 'прочитавшим', 'твое', 'задание']	"[""I'll"", 'be', 'the', 'only', 'one', 'reading', 'it']"
90	But if it's not on my desk tomorrow morning... 	Но, если эта бумага не будет на моем столе завтра утром,... 	['Но', 'если', 'эта', 'бумага', 'не', 'будет', 'на', 'моем', 'столе', 'завтра', 'утром']	"['But', 'if', ""it's"", 'not', 'on', 'my', 'desk', 'tomorrow', 'morning']"
91	you are a ghost at Venice Beach High. 	ты станешь никем на Венис Бич Хай. 	['ты', 'станешь', 'никем', 'на', 'Венис', 'Бич', 'Хай']	['you', 'are', 'a', 'ghost', 'at', 'Venice', 'Beach', 'High']
92	You clear? 	Тебе понятно? 	['Тебе', 'понятно']	['You', 'clear']
93	Yeah, I'm clear. 	Да, мне понятно. 	['Да', 'мне', 'понятно']	"['Yeah', ""I'm"", 'clear']"
94	Telling teacher I'm fuckin' cheatin'! 	Стучать преподавателю, что я его обманываю! 	['Стучать', 'преподавателю', 'что', 'я', 'его', 'обманываю']	"['Telling', 'teacher', ""I'm"", ""fuckin'"", ""cheatin'""]"
95	Is that what's happening? 	Разве это было на самом деле? 	['Разве', 'это', 'было', 'на', 'самом', 'деле']	"['Is', 'that', ""what's"", 'happening']"
96	I never cheated in my life. 	Я никогда не обманывал в своей жизни. 	['Я', 'никогда', 'не', 'обманывал', 'в', 'своей', 'жизни']	['I', 'never', 'cheated', 'in', 'my', 'life']
97	Beat his mo'fuckin' ass. 	Врежь ему по заднице. 	['Врежь', 'ему', 'по', 'заднице']	"['Beat', 'his', ""mo'fuckin'"", 'ass']"
98	I didn't say anything! 	Я ничего не говорил! 	['Я', 'ничего', 'не', 'говорил']	"['I', ""didn't"", 'say', 'anything']"
99	Why you trippin' on me? 	Что ты имеешь против меня? 	['Что', 'ты', 'имеешь', 'против', 'меня']	"['Why', 'you', ""trippin'"", 'on', 'me']"
100	Now why you all kicking it like that? 	Да ладно, плюнь на него! 	['Да', 'ладно', 'плюнь', 'на', 'него']	['Now', 'why', 'you', 'all', 'kicking', 'it', 'like', 'that']
101	What's up, man? 	В чем дело, парень? 	['В', 'чем', 'дело', 'парень']	"[""What's"", 'up', 'man']"
102	What you scared for? I ain't gonna do nothing. 	Чего ты боишься? Я ничего не собираюсь делать. 	['Чего', 'ты', 'боишься', 'Я', 'ничего', 'не', 'собираюсь', 'делать']	"['What', 'you', 'scared', 'for', 'I', ""ain't"", 'gonna', 'do', 'nothing']"
103	What's up? 	В чем дело? 	['В', 'чем', 'дело']	"[""What's"", 'up']"
104	Want some,too, bitch? Punk,what's wrong with you? 	Хочешь немного получить, сука? Чего надо? 	['Хочешь', 'немного', 'получить', 'сука', 'Чего', 'надо']	"['Want', 'some,too', 'bitch', ""Punk,what's"", 'wrong', 'with', 'you']"
105	You want to die? 	Ты, что хочешь умереть? 	['Ты', 'что', 'хочешь', 'умереть']	['You', 'want', 'to', 'die']
106	Punk-ass white boy. 	Беложопый пацан. 	['Беложопый', 'пацан']	['Punk-ass', 'white', 'boy']
107	You lucky I gotta go to class. He ain't gonna do nothing. 	Тебе повезло, что мне надо идти. Не будем ничего делать. 	['Тебе', 'повезло', 'что', 'мне', 'надо', 'идти', 'Не', 'будем', 'ничего', 'делать']	"['You', 'lucky', 'I', 'gotta', 'go', 'to', 'class', 'He', ""ain't"", 'gonna', 'do', 'nothing']"
108	He don't wanna see me and the heater. 	Он пока не получит свое. 	['Он', 'пока', 'не', 'получит', 'свое']	"['He', ""don't"", 'wanna', 'see', 'me', 'and', 'the', 'heater']"
109	Lucky the bell rung. 	Тебе повезло, что прозвенел звонок. 	['Тебе', 'повезло', 'что', 'прозвенел', 'звонок']	['Lucky', 'the', 'bell', 'rung']
110	I would have clocked that white boy. 	Я показал бы тому белому парню. 	['Я', 'показал', 'бы', 'тому', 'белому', 'парню']	['I', 'would', 'have', 'clocked', 'that', 'white', 'boy']
111	Punk-ass motherfucker. Should smoke that fool. 	Беложопый. Жаль, что мы  тебя не нагрели. 	['Беложопый', 'Жаль', 'что', 'мы', 'тебя', 'не', 'нагрели']	['Punk-ass', 'motherfucker', 'Should', 'smoke', 'that', 'fool']
112	You gotta fucking stand up for yourself. 	Ты должен вставать достойно. 	['Ты', 'должен', 'вставать', 'достойно']	['You', 'gotta', 'fucking', 'stand', 'up', 'for', 'yourself']
113	We got a whole file on skinheads here. 	У нас тут все досье на скинхедов. 	['У', 'нас', 'тут', 'все', 'досье', 'на', 'скинхедов']	['We', 'got', 'a', 'whole', 'file', 'on', 'skinheads', 'here']
114	Part of the same gang? 	Часть той самой банды? 	['Часть', 'той', 'самой', 'банды']	['Part', 'of', 'the', 'same', 'gang']
115	Venice Beach gang. 	Банды с Венис Бич. 	['Банды', 'с', 'Венис', 'Бич']	['Venice', 'Beach', 'gang']
116	Actually, he's done a stretch at Y.A. 	В действительности, они уже дотянулись до У.А. 	['В', 'действительности', 'они', 'уже', 'дотянулись', 'до', 'У.А']	"['Actually', ""he's"", 'done', 'a', 'stretch', 'at', 'Y.A']"
117	This guy C.C., is that him? 	Этот парень С.С., это он? 	['Этот', 'парень', 'С.С', 'это', 'он']	['This', 'guy', 'C.C', 'is', 'that', 'him']
118	Yeah,that's him right there. 	Да, и здесь он. 	['Да', 'и', 'здесь', 'он']	"[""Yeah,that's"", 'him', 'right', 'there']"
119	This morning we have a guest, and there he is. 	Этим утром у нас гость. Вот он. 	['Этим', 'утром', 'у', 'нас', 'гость', 'Вот', 'он']	['This', 'morning', 'we', 'have', 'a', 'guest', 'and', 'there', 'he', 'is']
120	Good morning. 	Доброе утро. 	['Доброе', 'утро']	['Good', 'morning']
121	Morning, sir. 	Доброе утро, сэр. 	['Доброе', 'утро', 'сэр']	['Morning', 'sir']
122	Good to see you. 	Рад видеть тебя. 	['Рад', 'видеть', 'тебя']	['Good', 'to', 'see', 'you']
123	Good morning. 	Доброе утро. 	['Доброе', 'утро']	['Good', 'morning']
124	This here is Dr. Bob Sweeney. 	Это доктор Боб Суини. 	['Это', 'доктор', 'Боб', 'Суини']	['This', 'here', 'is', 'Dr', 'Bob', 'Sweeney']
125	He's principal over at Venice Beach High. 	Он ответственный за Венис Бич. 	['Он', 'ответственный', 'за', 'Венис', 'Бич']	"[""He's"", 'principal', 'over', 'at', 'Venice', 'Beach', 'High']"
126	For some time now, he's been doing outreach work... 	Он наш внештатный работник по работе... 	['Он', 'наш', 'внештатный', 'работник', 'по', 'работе']	"['For', 'some', 'time', 'now', ""he's"", 'been', 'doing', 'outreach', 'work']"
127	with gangs both in and out of the can. 	с бандами в этом районе. 	['с', 'бандами', 'в', 'этом', 'районе']	['with', 'gangs', 'both', 'in', 'and', 'out', 'of', 'the', 'can']
128	Three years ago, a local kid named Derek Vinyard... 	Три года назад местный паренек Дерек Виньярд... 	['Три', 'года', 'назад', 'местный', 'паренек', 'Дерек', 'Виньярд']	['Three', 'years', 'ago', 'a', 'local', 'kid', 'named', 'Derek', 'Vinyard']
129	was sent up for murdering a couple of Crips... 	был посажен за убийство пары черных,... 	['был', 'посажен', 'за', 'убийство', 'пары', 'черных']	['was', 'sent', 'up', 'for', 'murdering', 'a', 'couple', 'of', 'Crips']
130	who were trying to jack his car. 	которые пытались украсть его автомобиль. 	['которые', 'пытались', 'украсть', 'его', 'автомобиль']	['who', 'were', 'trying', 'to', 'jack', 'his', 'car']
131	Bob taught Vinyard, and he's followed this case closely. 	Боб преподавал Виньярду, и он хорошо его знает. 	['Боб', 'преподавал', 'Виньярду', 'и', 'он', 'хорошо', 'его', 'знает']	"['Bob', 'taught', 'Vinyard', 'and', ""he's"", 'followed', 'this', 'case', 'closely']"
132	He was a skinhead, right? 	Он был скинхед? 	['Он', 'был', 'скинхед']	['He', 'was', 'a', 'skinhead', 'right']
133	"He was more like ""the"" skinhead... "	"Он был больше, чем просто ""скинхед"",... "	['Он', 'был', 'больше', 'чем', 'просто', 'скинхед']	['He', 'was', 'more', 'like', 'the', 'skinhead']
134	the protГ©gГ© of Cameron Alexander. 	протеже Кемерона Александра. 	['протеже', 'Кемерона', 'Александра']	['the', 'protГ©gГ©', 'of', 'Cameron', 'Alexander']
135	-Who? -Cameron Alexander. 	-Кого? -Кемерона Александра. 	['Кого', 'Кемерона', 'Александра']	['Who', 'Cameron', 'Alexander']
136	Here you go. Have a look-see. 	Вот, здесь он. Взгляните. 	['Вот', 'здесь', 'он', 'Взгляните']	['Here', 'you', 'go', 'Have', 'a', 'look-see']
137	Cameron Alexander,well, he's a Venice Beach landmark. 	Кемерон Александр хорошо известен на Венис Бич. 	['Кемерон', 'Александр', 'хорошо', 'известен', 'на', 'Венис', 'Бич']	"['Cameron', 'Alexander,well', ""he's"", 'a', 'Venice', 'Beach', 'landmark']"
138	He's the biggest distributor and writer... 	Он крупнейший распространитель и писатель... 	['Он', 'крупнейший', 'распространитель', 'и', 'писатель']	"[""He's"", 'the', 'biggest', 'distributor', 'and', 'writer']"
139	of White Power literature and videos in L.A. County. 	литературы о Власти Белых в Лос-Анджелесе. 	['литературы', 'о', 'Власти', 'Белых', 'в', 'Лос-Анджелесе']	['of', 'White', 'Power', 'literature', 'and', 'videos', 'in', 'L.A', 'County']
140	He promotes White Power bands, he writes reviews... 	Он поддерживает банды скинхедов, он пишет обозрения... 	['Он', 'поддерживает', 'банды', 'скинхедов', 'он', 'пишет', 'обозрения']	['He', 'promotes', 'White', 'Power', 'bands', 'he', 'writes', 'reviews']
