	en	ru	ru_tokens	en_tokens
0	People always ask me if I know Tyler durden. 	"""Меня постоянно спрашивают, знаю ли я Тайлера Дёрдена."" "	['Меня', 'постоянно', 'спрашивают', 'знаю', 'ли', 'я', 'Тайлера', 'Дёрдена']	['People', 'always', 'ask', 'me', 'if', 'I', 'know', 'Tyler', 'durden']
1	Three minutes. 	Три минуты. 	['Три', 'минуты']	['Three', 'minutes']
2	This is it. Ground zero. 	Вот оно. Эпицентр. 	['Вот', 'оно', 'Эпицентр']	['This', 'is', 'it', 'Ground', 'zero']
3	Do you have a speech for the occasion? 	У тебя заготовлена речь по такому случаю? 	['У', 'тебя', 'заготовлена', 'речь', 'по', 'такому', 'случаю']	['Do', 'you', 'have', 'a', 'speech', 'for', 'the', 'occasion']
4	With a gun barrel between your teeth, you speak only in vowels. 	"""Когда у тебя во рту пистолет, говорить удаётся одними гласными."" "	['Когда', 'у', 'тебя', 'во', 'рту', 'пистолет', 'говорить', 'удаётся', 'одними', 'гласными']	['With', 'a', 'gun', 'barrel', 'between', 'your', 'teeth', 'you', 'speak', 'only', 'in', 'vowels']
5	I can't think of anything. 	Ничего не приходит в голову. 	['Ничего', 'не', 'приходит', 'в', 'голову']	"['I', ""can't"", 'think', 'of', 'anything']"
6	For a second, I forget about Tyler's controlled demolition thing... 	"""На секунду я забываю про затею Тайлера со взрывами... "	['На', 'секунду', 'я', 'забываю', 'про', 'затею', 'Тайлера', 'со', 'взрывами']	"['For', 'a', 'second', 'I', 'forget', 'about', ""Tyler's"", 'controlled', 'demolition', 'thing']"
7	And I wonder how clean that gun is. 	"...и думаю, чистый ли пистолет."" "	['и', 'думаю', 'чистый', 'ли', 'пистолет']	['And', 'I', 'wonder', 'how', 'clean', 'that', 'gun', 'is']
8	It's getting exciting now. 	Начинается самое интересное! 	['Начинается', 'самое', 'интересное']	"[""It's"", 'getting', 'exciting', 'now']"
9	That old thing, how you always hurt the one you love. 	"""Говорят, мы причиняем боль своим любимым. "	['Говорят', 'мы', 'причиняем', 'боль', 'своим', 'любимым']	['That', 'old', 'thing', 'how', 'you', 'always', 'hurt', 'the', 'one', 'you', 'love']
10	Well, it works both ways. 	Что ж, верно и обратное. 	['Что', 'ж', 'верно', 'и', 'обратное']	['Well', 'it', 'works', 'both', 'ways']
11	We have front-row seats for this theatre of mass destruction. 	Мы сидим в первом ряду арены массового уничтожения. 	['Мы', 'сидим', 'в', 'первом', 'ряду', 'арены', 'массового', 'уничтожения']	['We', 'have', 'front-row', 'seats', 'for', 'this', 'theatre', 'of', 'mass', 'destruction']
12	The demolitions committee of project mayhem... 	"Подрывной Комитет Проекта ""Разгром""... "	['Подрывной', 'Комитет', 'Проекта', 'Разгром']	['The', 'demolitions', 'committee', 'of', 'project', 'mayhem']
13	Wrapped the foundations of 12 buildings with explosives. 	...уже снабдил взрывчаткой опоры фундаментов двенадцати строений. 	['уже', 'снабдил', 'взрывчаткой', 'опоры', 'фундаментов', 'двенадцати', 'строений']	['Wrapped', 'the', 'foundations', 'of', '12', 'buildings', 'with', 'explosives']
14	In two minutes, primary charges will blow base charges... 	Через две минуты первичный заряд подорвёт основной... 	['Через', 'две', 'минуты', 'первичный', 'заряд', 'подорвёт', 'основной']	['In', 'two', 'minutes', 'primary', 'charges', 'will', 'blow', 'base', 'charges']
15	And a few blocks will be reduced to smoldering rubble. 	...и несколько кварталов превратятся в тлеющие руины. 	['и', 'несколько', 'кварталов', 'превратятся', 'в', 'тлеющие', 'руины']	['And', 'a', 'few', 'blocks', 'will', 'be', 'reduced', 'to', 'smoldering', 'rubble']
16	I know this because Tyler knows this. 	"Я знаю это, потому что это знает Тайлер."" "	['Я', 'знаю', 'это', 'потому', 'что', 'это', 'знает', 'Тайлер']	['I', 'know', 'this', 'because', 'Tyler', 'knows', 'this']
17	Two and a half. Think of everything we've accomplished. 	Две с половиной. Подумай обо всём, чего мы достигли. 	['Две', 'с', 'половиной', 'Подумай', 'обо', 'всём', 'чего', 'мы', 'достигли']	"['Two', 'and', 'a', 'half', 'Think', 'of', 'everything', ""we've"", 'accomplished']"
18	Suddenly I realize that all of this, the gun, the bombs, the revolution... 	"""Внезапно я понимаю, что всё это: Пистолет, бомбы, революция - "	['Внезапно', 'я', 'понимаю', 'что', 'всё', 'это', 'Пистолет', 'бомбы', 'революция']	['Suddenly', 'I', 'realize', 'that', 'all', 'of', 'this', 'the', 'gun', 'the', 'bombs', 'the', 'revolution']
19	Has got something to do with a girl named Marla singer. 	...как-то связано с девушкой по имени Марла Сингер. 	['как-то', 'связано', 'с', 'девушкой', 'по', 'имени', 'Марла', 'Сингер']	['Has', 'got', 'something', 'to', 'do', 'with', 'a', 'girl', 'named', 'Marla', 'singer']
20	Bob. Bob had bitch tits. 	"Боб. У Боба ""сучье вымя"". "	['Боб', 'У', 'Боба', 'сучье', 'вымя']	['Bob', 'Bob', 'had', 'bitch', 'tits']
21	This was a support group for men with testicular cancer. 	Это была группа поддержки для мужчин, больных раком яичек. 	['Это', 'была', 'группа', 'поддержки', 'для', 'мужчин', 'больных', 'раком', 'яичек']	['This', 'was', 'a', 'support', 'group', 'for', 'men', 'with', 'testicular', 'cancer']
22	The big moosie slobbering all over me, that was Bob. 	"Здоровенный бычара, сюсюкающий со мной, - Боб."" "	['Здоровенный', 'бычара', 'сюсюкающий', 'со', 'мной', 'Боб']	['The', 'big', 'moosie', 'slobbering', 'all', 'over', 'me', 'that', 'was', 'Bob']
23	We're still men. 	Мы по-прежнему мужчины. 	['Мы', 'по-прежнему', 'мужчины']	"[""We're"", 'still', 'men']"
24	Yes, we're men. 	Да, мы мужчины. 	['Да', 'мы', 'мужчины']	"['Yes', ""we're"", 'men']"
25	Men is what we are. 	"""Мужчины - это мы. "	['Мужчины', 'это', 'мы']	['Men', 'is', 'what', 'we', 'are']
26	Bob had had his testicles removed. Then hormone therapy. 	Восемь месяцев назад Бобу удалили яички. Затем гормонотерапия. 	['Восемь', 'месяцев', 'назад', 'Бобу', 'удалили', 'яички', 'Затем', 'гормонотерапия']	['Bob', 'had', 'had', 'his', 'testicles', 'removed', 'Then', 'hormone', 'therapy']
27	He developed bitch tits because his testosterone was too high... 	Из-за повышенного уровня тестостерона у него начал вырабатываться... 	['Из-за', 'повышенного', 'уровня', 'тестостерона', 'у', 'него', 'начал', 'вырабатываться']	['He', 'developed', 'bitch', 'tits', 'because', 'his', 'testosterone', 'was', 'too', 'high']
28	And his body upped the oestrogen. 	"...эстроген и выросло ""сучье вымя"". "	['эстроген', 'и', 'выросло', 'сучье', 'вымя']	['And', 'his', 'body', 'upped', 'the', 'oestrogen']
