	en	ru	ru_tokens	en_tokens
0	Subtitles downloaded from www.OpenSubtitles.org 	Subtitles downloaded from www.OpenSubtitles.org 	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']
1	In my younger and more vulnerable years... 	В юношеские годы, когда человек особенно восприимчив, 	['В', 'юношеские', 'годы', 'когда', 'человек', 'особенно', 'восприимчив']	['In', 'my', 'younger', 'and', 'more', 'vulnerable', 'years']
2	my father gave me some advice. 	мой отец дал мне совет. 	['мой', 'отец', 'дал', 'мне', 'совет']	['my', 'father', 'gave', 'me', 'some', 'advice']
3	"""Always try to see the best in people,"" he would say. "	"""Не спеши судить людей"" - сказал он. ""Пытайся разглядеть в них хорошее"". "	['Не', 'спеши', 'судить', 'людей', 'сказал', 'он', 'Пытайся', 'разглядеть', 'в', 'них', 'хорошее']	['Always', 'try', 'to', 'see', 'the', 'best', 'in', 'people', 'he', 'would', 'say']
4	As a consequence, I'm inclined to reserve all judgments. 	Я следовал его совету, сколько мог. 	['Я', 'следовал', 'его', 'совету', 'сколько', 'мог']	"['As', 'a', 'consequence', ""I'm"", 'inclined', 'to', 'reserve', 'all', 'judgments']"
5	But even I have a limit. 	Даже моему терпению есть предел. 	['Даже', 'моему', 'терпению', 'есть', 'предел']	['But', 'even', 'I', 'have', 'a', 'limit']
6	Back then, all of us drank too much. 	Все мы тогда пили слишком много. 	['Все', 'мы', 'тогда', 'пили', 'слишком', 'много']	['Back', 'then', 'all', 'of', 'us', 'drank', 'too', 'much']
7	The more in tune with the times we were... 	Чем активнее мы шагали в ногу со временем, 	['Чем', 'активнее', 'мы', 'шагали', 'в', 'ногу', 'со', 'временем']	['The', 'more', 'in', 'tune', 'with', 'the', 'times', 'we', 'were']
8	the more we drank. 	тем больше пили. 	['тем', 'больше', 'пили']	['the', 'more', 'we', 'drank']
9	And none of us contributed anything new. 	Никто из нас не создавал ничего нового или выдающегося. 	['Никто', 'из', 'нас', 'не', 'создавал', 'ничего', 'нового', 'или', 'выдающегося']	['And', 'none', 'of', 'us', 'contributed', 'anything', 'new']
10	When I came back from New York, I was disgusted. 	Из Нью-Йорка я вернулся переполненный отвращением. 	['Из', 'Нью-Йорка', 'я', 'вернулся', 'переполненный', 'отвращением']	['When', 'I', 'came', 'back', 'from', 'New', 'York', 'I', 'was', 'disgusted']
11	I see, Mr. Carraway. 	Диагноз: алкоголизм, вспышки гнева, беспредметная тревога, депрессия Понимаю, мистер Каррауэй. 	['Диагноз', 'алкоголизм', 'вспышки', 'гнева', 'беспредметная', 'тревога', 'депрессия', 'Понимаю', 'мистер', 'Каррауэй']	['I', 'see', 'Mr', 'Carraway']
12	Disgusted with everyone and everything. 	Отвращением ко всему и всем. 	['Отвращением', 'ко', 'всему', 'и', 'всем']	['Disgusted', 'with', 'everyone', 'and', 'everything']
13	Only one man was exempt from my disgust. 	Лишь один человек меня не раздражал. 	['Лишь', 'один', 'человек', 'меня', 'не', 'раздражал']	['Only', 'one', 'man', 'was', 'exempt', 'from', 'my', 'disgust']
14	One man? 	Один человек, мистер Каррауэй? 	['Один', 'человек', 'мистер', 'Каррауэй']	['One', 'man']
15	Mr. Carraway? 	Гэтсби. 	['Гэтсби']	['Mr', 'Carraway']
16	Gatsby. 	Он был вашим другом? 	['Он', 'был', 'вашим', 'другом']	['Gatsby']
17	Was he a friend of yours? 	У него был... 	['У', 'него', 'был']	['Was', 'he', 'a', 'friend', 'of', 'yours']
18	He was... 	...дар надежды. Я прежде такого не встречал. 	['дар', 'надежды', 'Я', 'прежде', 'такого', 'не', 'встречал']	['He', 'was']
19	the single most hopeful person I've ever met. 	И вряд ли встречу снова. 	['И', 'вряд', 'ли', 'встречу', 'снова']	"['the', 'single', 'most', 'hopeful', 'person', ""I've"", 'ever', 'met']"
20	And am ever likely to meet again. There was something... about him, a sensitivity. 	Что-то в нём было. Какая-то повышенная чувствительность. Словно,  он был... 	['Что-то', 'в', 'нём', 'было', 'Какая-то', 'повышенная', 'чувствительность', 'Словно', 'он', 'был']	['And', 'am', 'ever', 'likely', 'to', 'meet', 'again', 'There', 'was', 'something', 'about', 'him', 'a', 'sensitivity']
21	He was like... He was like one of those machines that register earthquakes 10,000 miles away. 	прибором, который улавливает колебания земли за многие тысячи миль. 	['прибором', 'который', 'улавливает', 'колебания', 'земли', 'за', 'многие', 'тысячи', 'миль']	['He', 'was', 'like', 'He', 'was', 'like', 'one', 'of', 'those', 'machines', 'that', 'register', 'earthquakes', '10,000', 'miles', 'away']
22	Where'd you meet him? 	Где вы познакомились? 	['Где', 'вы', 'познакомились']	"[""Where'd"", 'you', 'meet', 'him']"
23	At a... At a party... 	На одной... вечеринке. 	['На', 'одной', 'вечеринке']	['At', 'a', 'At', 'a', 'party']
24	in New York. In the summer of 1922... 	В Нью-Йорке. Летом 1922 года... 	['В', 'Нью-Йорке', 'Летом', '1922', 'года']	['in', 'New', 'York', 'In', 'the', 'summer', 'of', '1922']
25	the tempo of the city approached... 	...всеобщее возбуждение в городе переросло в истерику. 	['всеобщее', 'возбуждение', 'в', 'городе', 'переросло', 'в', 'истерику']	['the', 'tempo', 'of', 'the', 'city', 'approached']
26	. . . hysteria. Stocks reached... 	Биржевые индексы били все рекорды, 	['Биржевые', 'индексы', 'били', 'все', 'рекорды']	['hysteria', 'Stocks', 'reached']
27	record peaks... and Wall Street boomed... in a steady... golden roar. 	Уолл-Стрит охватила настоящая золотая лихорадка. 	['Уолл-Стрит', 'охватила', 'настоящая', 'золотая', 'лихорадка']	['record', 'peaks', 'and', 'Wall', 'Street', 'boomed', 'in', 'a', 'steady', 'golden', 'roar']
28	The parties were bigger. 	Вечеринки становились шикарнее. 	['Вечеринки', 'становились', 'шикарнее']	['The', 'parties', 'were', 'bigger']
29	The shows... were broader. 	Шоу - смелее. 	['Шоу', 'смелее']	['The', 'shows', 'were', 'broader']
30	The buildings were higher. 	Здания - выше. 	['Здания', 'выше']	['The', 'buildings', 'were', 'higher']
31	The morals were looser and the ban... 	Мораль свободнее. Запрет на алкоголь, 	['Мораль', 'свободнее', 'Запрет', 'на', 'алкоголь']	['The', 'morals', 'were', 'looser', 'and', 'the', 'ban']
32	on alcohol had backfired... making the liquor cheaper. 	делал его дешевле. 	['делал', 'его', 'дешевле']	['on', 'alcohol', 'had', 'backfired', 'making', 'the', 'liquor', 'cheaper']
33	Wall Street was luring the young and ambitious. 	Корпорации Уолл-Стрит обещали легкую прибыль всем молодым и амбициозным. 	['Корпорации', 'Уолл-Стрит', 'обещали', 'легкую', 'прибыль', 'всем', 'молодым', 'и', 'амбициозным']	['Wall', 'Street', 'was', 'luring', 'the', 'young', 'and', 'ambitious']
34	And I was one of them. 	И я был один из них. 	['И', 'я', 'был', 'один', 'из', 'них']	['And', 'I', 'was', 'one', 'of', 'them']
35	I rented a house 20 miles from the city on Long Island. 	Я снял домик на Лонг-Айленде, в двадцати милях от города. 	['Я', 'снял', 'домик', 'на', 'Лонг-Айленде', 'в', 'двадцати', 'милях', 'от', 'города']	['I', 'rented', 'a', 'house', '20', 'miles', 'from', 'the', 'city', 'on', 'Long', 'Island']
36	I lived at West Egg... 	И поселился в Уэст Эгге, заброшенном особнячке, 	['И', 'поселился', 'в', 'Уэст', 'Эгге', 'заброшенном', 'особнячке']	['I', 'lived', 'at', 'West', 'Egg']
37	in a forgotten groundskeeper's cottage, squeezed among the mansions... of the newly rich. 	стиснутом со всех сторон шикарными усадьбами новоявленных богачей. 	['стиснутом', 'со', 'всех', 'сторон', 'шикарными', 'усадьбами', 'новоявленных', 'богачей']	"['in', 'a', 'forgotten', ""groundskeeper's"", 'cottage', 'squeezed', 'among', 'the', 'mansions', 'of', 'the', 'newly', 'rich']"
38	To get started, I bought a dozen volumes on credit, banking and investments. 	Для начала я обзавелся дюжиной справочников по кредитованию, инвестициям и банковскому делу. 	['Для', 'начала', 'я', 'обзавелся', 'дюжиной', 'справочников', 'по', 'кредитованию', 'инвестициям', 'и', 'банковскому', 'делу']	['To', 'get', 'started', 'I', 'bought', 'a', 'dozen', 'volumes', 'on', 'credit', 'banking', 'and', 'investments']
39	All new to me. 	В чём я не разбирался. 	['В', 'чём', 'я', 'не', 'разбирался']	['All', 'new', 'to', 'me']
40	The stock market... - hit another high. - The market's moving up, up, up! Well, of course, nothing is 100 percent. I wouldn't go investing every penny. 	Конечно, стопроцентной гарантии нет. Но все деньги вкладывать и не нужно. 	['Конечно', 'стопроцентной', 'гарантии', 'нет', 'Но', 'все', 'деньги', 'вкладывать', 'и', 'не', 'нужно']	"['The', 'stock', 'market', 'hit', 'another', 'high', 'The', ""market's"", 'moving', 'up', 'up', 'up', 'Well', 'of', 'course', 'nothing', 'is', '100', 'percent', 'I', ""wouldn't"", 'go', 'investing', 'every', 'penny']"
41	At Yale I dreamed of being a writer... 	В Йеле я мечтал стать писателем. 	['В', 'Йеле', 'я', 'мечтал', 'стать', 'писателем']	['At', 'Yale', 'I', 'dreamed', 'of', 'being', 'a', 'writer']
42	but I gave all that up. 	УЛИСС Но я от этого отказался. 	['УЛИСС', 'Но', 'я', 'от', 'этого', 'отказался']	['but', 'I', 'gave', 'all', 'that', 'up']
43	With the sun shining... and the bursts of leaves on the trees... 	Солнце пригревало все сильнее, деревья отбрасывали ласковые тени, 	['Солнце', 'пригревало', 'все', 'сильнее', 'деревья', 'отбрасывали', 'ласковые', 'тени']	['With', 'the', 'sun', 'shining', 'and', 'the', 'bursts', 'of', 'leaves', 'on', 'the', 'trees']
44	I planned to spend... the summer studying. And I probably would have... were it not... for the riotous... 	и я решил провести лето за учебниками. И я, вероятно, так бы и поступил, если бы не звуки бурного веселья, 	['и', 'я', 'решил', 'провести', 'лето', 'за', 'учебниками', 'И', 'я', 'вероятно', 'так', 'бы', 'и', 'поступил', 'если', 'бы', 'не', 'звуки', 'бурного', 'веселья']	['I', 'planned', 'to', 'spend', 'the', 'summer', 'studying', 'And', 'I', 'probably', 'would', 'have', 'were', 'it', 'not', 'for', 'the', 'riotous']
45	amusements that beckoned... from beyond... the walls of that... colossal castle... 	доносившегося из замка, выстроенного под средневековье, 	['доносившегося', 'из', 'замка', 'выстроенного', 'под', 'средневековье']	['amusements', 'that', 'beckoned', 'from', 'beyond', 'the', 'walls', 'of', 'that', 'colossal', 'castle']
46	owned by a gentleman I had... not yet met... 	которым владел джентльмен, мне пока не знакомый, 	['которым', 'владел', 'джентльмен', 'мне', 'пока', 'не', 'знакомый']	['owned', 'by', 'a', 'gentleman', 'I', 'had', 'not', 'yet', 'met']
47	named Gatsby. 	по имени Гэтсби. 	['по', 'имени', 'Гэтсби']	['named', 'Gatsby']
48	So... he was your neighbor. 	Так он был вашим соседом? 	['Так', 'он', 'был', 'вашим', 'соседом']	['So', 'he', 'was', 'your', 'neighbor']
49	My neighbor. Yeah. 	Соседом... Да. 	['Соседом', 'Да']	['My', 'neighbor', 'Yeah']
50	When I think about it, the history of the summer really began... 	Если подумать, эта история началась в тот вечер, 	['Если', 'подумать', 'эта', 'история', 'началась', 'в', 'тот', 'вечер']	['When', 'I', 'think', 'about', 'it', 'the', 'history', 'of', 'the', 'summer', 'really', 'began']
51	the night I drove over to my cousin Daisy's for dinner. 	когда я поехал навестить свою кузину Дейзи. 	['когда', 'я', 'поехал', 'навестить', 'свою', 'кузину', 'Дейзи']	"['the', 'night', 'I', 'drove', 'over', 'to', 'my', 'cousin', ""Daisy's"", 'for', 'dinner']"
52	She lived across the bay in old moneyed... , ,.East E99- 	Они с мужем жили на другой стороне залива, в старом, респектабельном Ист Эгге. 	['Они', 'с', 'мужем', 'жили', 'на', 'другой', 'стороне', 'залива', 'в', 'старом', 'респектабельном', 'Ист', 'Эгге']	['She', 'lived', 'across', 'the', 'bay', 'in', 'old', 'moneyed', 'East', 'E99']
53	Her husband was heir to one of America's wealthiest families. 	Ее муж принадлежал к одной из богатейших семей в Америке. 	['Ее', 'муж', 'принадлежал', 'к', 'одной', 'из', 'богатейших', 'семей', 'в', 'Америке']	"['Her', 'husband', 'was', 'heir', 'to', 'one', 'of', ""America's"", 'wealthiest', 'families']"
54	His name... was Tom... Buchanan. 	Его звали Том Бьюкенен. 	['Его', 'звали', 'Том', 'Бьюкенен']	['His', 'name', 'was', 'Tom', 'Buchanan']
55	When we were... at Yale together, he'd been... a sporting star. But now his glory days were behind him and he... - contented himself with... - Telephone, Monsieur Buchanan. - It's me. - other affairs. 	Во времена нашего студенчества в Йеле он был спортивной звездой. Теперь дни его славы остались позади, и в его жизни наступила пора... - К телефону, мистер Бьюкенен. - Это я. ...других увлечений. 	['Во', 'времена', 'нашего', 'студенчества', 'в', 'Йеле', 'он', 'был', 'спортивной', 'звездой', 'Теперь', 'дни', 'его', 'славы', 'остались', 'позади', 'и', 'в', 'его', 'жизни', 'наступила', 'пора', 'К', 'телефону', 'мистер', 'Бьюкенен', 'Это', 'я', 'других', 'увлечений']	"['When', 'we', 'were', 'at', 'Yale', 'together', ""he'd"", 'been', 'a', 'sporting', 'star', 'But', 'now', 'his', 'glory', 'days', 'were', 'behind', 'him', 'and', 'he', 'contented', 'himself', 'with', 'Telephone', 'Monsieur', 'Buchanan', ""It's"", 'me', 'other', 'affairs']"
56	I thought I told you not to call me here. 	Я ведь просил не звонить мне домой. 	['Я', 'ведь', 'просил', 'не', 'звонить', 'мне', 'домой']	['I', 'thought', 'I', 'told', 'you', 'not', 'to', 'call', 'me', 'here']
57	Boaz! 	Боаз! 	['Боаз']	['Boaz']
58	Shakespeare! Tom! 	- Шекспир! - Toм! 	['Шекспир', 'Toм']	['Shakespeare', 'Tom']
59	- How's the great American novel coming? - I'm selling bonds with Walter Chase's outfit. 	Как твой великий роман об Америке? Я торгую облигациями в команде Уолтера Чейза. 	['Как', 'твой', 'великий', 'роман', 'об', 'Америке', 'Я', 'торгую', 'облигациями', 'в', 'команде', 'Уолтера', 'Чейза']	"[""How's"", 'the', 'great', 'American', 'novel', 'coming', ""I'm"", 'selling', 'bonds', 'with', 'Walter', ""Chase's"", 'outfit']"
60	Let's say after dinner, you and I, we go into town. 	А что, если нам после обеда рвануть в город. 	['А', 'что', 'если', 'нам', 'после', 'обеда', 'рвануть', 'в', 'город']	"[""Let's"", 'say', 'after', 'dinner', 'you', 'and', 'I', 'we', 'go', 'into', 'town']"
61	- I can't. - Catch up with the old wolf pack. 	- Не могу. - Старых приятелей увидим. 	['Не', 'могу', 'Старых', 'приятелей', 'увидим']	"['I', ""can't"", 'Catch', 'up', 'with', 'the', 'old', 'wolf', 'pack']"
62	- Big day on the job tomorrow. - Nonsense! We're going. 	- Завтра тяжелый день. - Глупости! Решено. 	['Завтра', 'тяжелый', 'день', 'Глупости', 'Решено']	"['Big', 'day', 'on', 'the', 'job', 'tomorrow', 'Nonsense', ""We're"", 'going']"
63	First team, all-American. 	Первая команда. Только Америка. 	['Первая', 'команда', 'Только', 'Америка']	['First', 'team', 'all-American']
64	You see? Made me who I am today. 	Видал? Вот, что сделало мне имя. 	['Видал', 'Вот', 'что', 'сделало', 'мне', 'имя']	['You', 'see', 'Made', 'me', 'who', 'I', 'am', 'today']
65	Forest Hills. Played the Prince of Wales. What a sissy. 	Форрест Хиллс! Обыграл Принца Уэльского. Нежный, как баба! 	['Форрест', 'Хиллс', 'Обыграл', 'Принца', 'Уэльского', 'Нежный', 'как', 'баба']	['Forest', 'Hills', 'Played', 'the', 'Prince', 'of', 'Wales', 'What', 'a', 'sissy']
66	Life is... something you dominate. If you're any good. 	Своей жизнью надо управлять. Если ты хоть что-то можешь. 	['Своей', 'жизнью', 'надо', 'управлять', 'Если', 'ты', 'хоть', 'что-то', 'можешь']	"['Life', 'is', 'something', 'you', 'dominate', 'If', ""you're"", 'any', 'good']"
67	Hey. Henri! Where are you? 	Генри, где ты там?! Да, месье. 	['Генри', 'где', 'ты', 'там', 'Да', 'месье']	['Hey', 'Henri', 'Where', 'are', 'you']
