	en	ru	ru_tokens	en_tokens
0	Doug? 	Даг. 	['Даг']	['Doug']
1	Are you all right? 	Милый, что с тобой? 	['Милый', 'что', 'с', 'тобой']	['Are', 'you', 'all', 'right']
2	You're dreaming. Doug? 	Опять приснилось? 	['Опять', 'приснилось']	"[""You're"", 'dreaming', 'Doug']"
3	Was it about Mars? 	Опять про Марс? 	['Опять', 'про', 'Марс']	['Was', 'it', 'about', 'Mars']
4	Is that better? 	Сейчас лучше? 	['Сейчас', 'лучше']	['Is', 'that', 'better']
5	My poor baby. This is getting to be an obsession. 	Мой бедный малыш. Это становится навязчивой идеей. 	['Мой', 'бедный', 'малыш', 'Это', 'становится', 'навязчивой', 'идеей']	['My', 'poor', 'baby', 'This', 'is', 'getting', 'to', 'be', 'an', 'obsession']
6	Was she there? 	Она была там? 	['Она', 'была', 'там']	['Was', 'she', 'there']
7	Who? 	Кто? 	['Кто']	['Who']
8	The one you told me about. The brunette. 	Та, о ком ты мне рассказывал. Брюнетка. 	['Та', 'о', 'ком', 'ты', 'мне', 'рассказывал', 'Брюнетка']	['The', 'one', 'you', 'told', 'me', 'about', 'The', 'brunette']
9	Lori ... I can't believe you're jealous of a dream. 	Лори, ты ревнуешь меня к сну? 	['Лори', 'ты', 'ревнуешь', 'меня', 'к', 'сну']	"['Lori', 'I', ""can't"", 'believe', ""you're"", 'jealous', 'of', 'a', 'dream']"
10	- Who is she? - Nobody. 	- Кто она? - Никто. 	['Кто', 'она', 'Никто']	['Who', 'is', 'she', 'Nobody']
11	- Nobody? What's her name? - I don't know. 	Никто? Как её зовут? Не знаю. 	['Никто', 'Как', 'её', 'зовут', 'Не', 'знаю']	"['Nobody', ""What's"", 'her', 'name', 'I', ""don't"", 'know']"
12	- Tell me! - I don't know. 	- Скажи! - Не знаю. 	['Скажи', 'Не', 'знаю']	"['Tell', 'me', 'I', ""don't"", 'know']"
13	It's not funny. You dream about her every night. 	Говори! Это не смешно! Даг, каждую ночь ты видишь её во сне! 	['Говори', 'Это', 'не', 'смешно', 'Даг', 'каждую', 'ночь', 'ты', 'видишь', 'её', 'во', 'сне']	"[""It's"", 'not', 'funny', 'You', 'dream', 'about', 'her', 'every', 'night']"
14	- I’m always back in the morning. - Let me go! 	- Но по утрам я с тобой! - Отпусти меня! 	['Но', 'по', 'утрам', 'я', 'с', 'тобой', 'Отпусти', 'меня']	['I’m', 'always', 'back', 'in', 'the', 'morning', 'Let', 'me', 'go']
15	Come on, baby. You know you're the girl of my dreams. 	Успокойся. Ты же знаешь, что ты девушка моей мечты. 	['Успокойся', 'Ты', 'же', 'знаешь', 'что', 'ты', 'девушка', 'моей', 'мечты']	"['Come', 'on', 'baby', 'You', 'know', ""you're"", 'the', 'girl', 'of', 'my', 'dreams']"
16	- You mean it? - You know I do. 	В самом деле? Конечно. 	['В', 'самом', 'деле', 'Конечно']	['You', 'mean', 'it', 'You', 'know', 'I', 'do']
17	I’ll give you something to dream about. 	Я дам тебе всё, о чём ты мечтаешь. 	['Я', 'дам', 'тебе', 'всё', 'о', 'чём', 'ты', 'мечтаешь']	['I’ll', 'give', 'you', 'something', 'to', 'dream', 'about']
18	... said that space-based weapons - 	Председатель заявил, что космическое вооружение - наша единственная защита... 	['Председатель', 'заявил', 'что', 'космическое', 'вооружение', 'наша', 'единственная', 'защита']	['said', 'that', 'space-based', 'weapons']
19	- are our only defence against the Southern Bloc. 	...против численного превосходства Южного блока. 	['против', 'численного', 'превосходства', 'Южного', 'блока']	['are', 'our', 'only', 'defence', 'against', 'the', 'Southern', 'Bloc']
20	More violence on Mars: Terrorists demanding independence halted turbinium ore extraction. 	Теперь о событиях прошлой ночи на Марсе, где террористы... ...требующие независимости, снова прервали добычу турбиния. 	['Теперь', 'о', 'событиях', 'прошлой', 'ночи', 'на', 'Марсе', 'где', 'террористы', 'требующие', 'независимости', 'снова', 'прервали', 'добычу', 'турбиния']	['More', 'violence', 'on', 'Mars', 'Terrorists', 'demanding', 'independence', 'halted', 'turbinium', 'ore', 'extraction']
21	Kuato's Freedom Brigade admitted the bombing, - 	"Куато и его так называемая ""бригада свободы"" с помощью бомбардировки... "	['Куато', 'и', 'его', 'так', 'называемая', 'бригада', 'свободы', 'с', 'помощью', 'бомбардировки']	"[""Kuato's"", 'Freedom', 'Brigade', 'admitted', 'the', 'bombing']"
22	- which attempted to reopen the Pyramid Mines. 	...пытались открыть запечатанные пирамидальные шахты. 	['пытались', 'открыть', 'запечатанные', 'пирамидальные', 'шахты']	['which', 'attempted', 'to', 'reopen', 'the', 'Pyramid', 'Mines']
23	Mars' military restored order with minimum force. 	Воинские части Марса восстановили порядок незначительным применением силы... 	['Воинские', 'части', 'Марса', 'восстановили', 'порядок', 'незначительным', 'применением', 'силы']	"[""Mars'"", 'military', 'restored', 'order', 'with', 'minimum', 'force']"
24	All damage to the facility was repaired within hours. 	...и все повреждения стратегического оборудования устранены. 	['и', 'все', 'повреждения', 'стратегического', 'оборудования', 'устранены']	['All', 'damage', 'to', 'the', 'facility', 'was', 'repaired', 'within', 'hours']
25	Mars Administrator Vilos Cohaagen said troops would be used - 	Закрыта 1 шахта. Глава Марса Вилос Кохаген заявил, что, если потребуется... 	['Закрыта', '1', 'шахта', 'Глава', 'Марса', 'Вилос', 'Кохаген', 'заявил', 'что', 'если', 'потребуется']	['Mars', 'Administrator', 'Vilos', 'Cohaagen', 'said', 'troops', 'would', 'be', 'used']
26	- to ensure full production. 	...запустить производство на полную мощность, будут использованы войска. 	['запустить', 'производство', 'на', 'полную', 'мощность', 'будут', 'использованы', 'войска']	['to', 'ensure', 'full', 'production']
27	No wonder you get nightmares. You always watch the news. 	Вот эти новости и порождают потом ночные кошмары. 	['Вот', 'эти', 'новости', 'и', 'порождают', 'потом', 'ночные', 'кошмары']	['No', 'wonder', 'you', 'get', 'nightmares', 'You', 'always', 'watch', 'the', 'news']
28	- Lori? Let's do it. - Do what? 	- Лори. - Даг? - Давай сделаем это. - Что? 	['Лори', 'Даг', 'Давай', 'сделаем', 'это', 'Что']	"['Lori', ""Let's"", 'do', 'it', 'Do', 'what']"
29	- Move to Mars. - Must you spoil a lovely morning? 	Двинем на Марс. Зачем ты портишь такое великолепное утро? 	['Двинем', 'на', 'Марс', 'Зачем', 'ты', 'портишь', 'такое', 'великолепное', 'утро']	['Move', 'to', 'Mars', 'Must', 'you', 'spoil', 'a', 'lovely', 'morning']
30	Just think about it. 	Давай поразмышляем. 	['Давай', 'поразмышляем']	['Just', 'think', 'about', 'it']
31	We've been through this. You'd hate Mars. 	Мы размышляли уже много раз. Ты же сам ненавидишь жизнь на Марсе. 	['Мы', 'размышляли', 'уже', 'много', 'раз', 'Ты', 'же', 'сам', 'ненавидишь', 'жизнь', 'на', 'Марсе']	"[""We've"", 'been', 'through', 'this', ""You'd"", 'hate', 'Mars']"
32	It's dry, it's ugly, it's boring. I mean, really ... 	Сухую, гадкую и скучную. 	['Сухую', 'гадкую', 'и', 'скучную']	"[""It's"", 'dry', ""it's"", 'ugly', ""it's"", 'boring', 'I', 'mean', 'really']"
33	- Revolution could break out soon. - Cohaagen says it's a few rebels. 	И к тому же там в любую минуту может вспыхнуть революция. Кохаген говорит - это лишь кучка экстремистов. 	['И', 'к', 'тому', 'же', 'там', 'в', 'любую', 'минуту', 'может', 'вспыхнуть', 'революция', 'Кохаген', 'говорит', 'это', 'лишь', 'кучка', 'экстремистов']	"['Revolution', 'could', 'break', 'out', 'soon', 'Cohaagen', 'says', ""it's"", 'a', 'few', 'rebels']"
34	You believe him? 	А ты ему веришь? 	['А', 'ты', 'ему', 'веришь']	['You', 'believe', 'him']
35	Okay. Forget about it. 	Ладно. Забудем об этом. 	['Ладно', 'Забудем', 'об', 'этом']	['Okay', 'Forget', 'about', 'it']
36	Absolutely not. Mars was colonised by the Northern Bloc. 	...Конечно, нет. Колонизация Марса стоила Северному блоку колоссальных средств. 	['Конечно', 'нет', 'Колонизация', 'Марса', 'стоила', 'Северному', 'блоку', 'колоссальных', 'средств']	['Absolutely', 'not', 'Mars', 'was', 'colonised', 'by', 'the', 'Northern', 'Bloc']
37	Our entire war effort depends on their turbinium. 	Вся наша военная мощь держится на их турбинии. 	['Вся', 'наша', 'военная', 'мощь', 'держится', 'на', 'их', 'турбинии']	['Our', 'entire', 'war', 'effort', 'depends', 'on', 'their', 'turbinium']
38	We'll not give it away to some lazy mutants who think they own Mars. 	И отдать его потому, что этого хочет шайка ленивых мутантов? 	['И', 'отдать', 'его', 'потому', 'что', 'этого', 'хочет', 'шайка', 'ленивых', 'мутантов']	"[""We'll"", 'not', 'give', 'it', 'away', 'to', 'some', 'lazy', 'mutants', 'who', 'think', 'they', 'own', 'Mars']"
