	en	ru	ru_tokens	en_tokens
0	l should've known that you would be here, Professor McGonagall. 	Я должен был догадаться, что вы будете тут, профессор МакГонагалл. 	['Я', 'должен', 'был', 'догадаться', 'что', 'вы', 'будете', 'тут', 'профессор', 'МакГонагалл']	"['l', ""should've"", 'known', 'that', 'you', 'would', 'be', 'here', 'Professor', 'McGonagall']"
1	Good evening, Professor Dumbledore. 	Добрый вечер, профессор Дамблдор. 	['Добрый', 'вечер', 'профессор', 'Дамблдор']	['Good', 'evening', 'Professor', 'Dumbledore']
2	Are the rumors true, Albus? 	Слухи верны, Альбус? 	['Слухи', 'верны', 'Альбус']	['Are', 'the', 'rumors', 'true', 'Albus']
3	l'm afraid so, professor. The good and the bad. 	Боюсь, что именно так, профессор. И хорошие, и плохие. 	['Боюсь', 'что', 'именно', 'так', 'профессор', 'И', 'хорошие', 'и', 'плохие']	"[""l'm"", 'afraid', 'so', 'professor', 'The', 'good', 'and', 'the', 'bad']"
4	-And the boy? -Hagrid is bringing him. 	- А мальчик? - Хагрид его принесёт. 	['А', 'мальчик', 'Хагрид', 'его', 'принесёт']	['And', 'the', 'boy', 'Hagrid', 'is', 'bringing', 'him']
5	ls it wise to trust Hagrid with something so important? 	Мудро ли вы поступили, доверив Хагриду такое важное дело? 	['Мудро', 'ли', 'вы', 'поступили', 'доверив', 'Хагриду', 'такое', 'важное', 'дело']	['ls', 'it', 'wise', 'to', 'trust', 'Hagrid', 'with', 'something', 'so', 'important']
6	Professor, l would trust Hagrid with my life. 	Профессор, я доверю Хагриду свою жизнь. 	['Профессор', 'я', 'доверю', 'Хагриду', 'свою', 'жизнь']	['Professor', 'l', 'would', 'trust', 'Hagrid', 'with', 'my', 'life']
7	Professor Dumbledore, sir. Professor McGonagall. 	Профессор Дамблдор, сэр. Профессор МакГонагалл. 	['Профессор', 'Дамблдор', 'сэр', 'Профессор', 'МакГонагалл']	['Professor', 'Dumbledore', 'sir', 'Professor', 'McGonagall']
8	-No problems, l trust, Hagrid? -No, sir. 	- Полагаю, затруднений не возникло, Хагрид? - Нет, сэр. 	['Полагаю', 'затруднений', 'не', 'возникло', 'Хагрид', 'Нет', 'сэр']	['No', 'problems', 'l', 'trust', 'Hagrid', 'No', 'sir']
9	Little tyke fell asleep as we were flying over Bristol. 	Малыш заснул, когда мы пролетали над Бристолем. 	['Малыш', 'заснул', 'когда', 'мы', 'пролетали', 'над', 'Бристолем']	['Little', 'tyke', 'fell', 'asleep', 'as', 'we', 'were', 'flying', 'over', 'Bristol']
10	Try not to wake him. 	Постарайся его не разбудить. 	['Постарайся', 'его', 'не', 'разбудить']	['Try', 'not', 'to', 'wake', 'him']
11	There you go. 	Вот так. 	['Вот', 'так']	['There', 'you', 'go']
12	Do you really think it's safe, leaving him with these people? 	Вы на самом деле считаете, что оставлять его у этих людей безопасно? 	['Вы', 'на', 'самом', 'деле', 'считаете', 'что', 'оставлять', 'его', 'у', 'этих', 'людей', 'безопасно']	"['Do', 'you', 'really', 'think', ""it's"", 'safe', 'leaving', 'him', 'with', 'these', 'people']"
13	l've watched them all day. They're the worst sort of Muggles. 	Я весь день наблюдала за ними. Они - самые худшие из маглов. 	['Я', 'весь', 'день', 'наблюдала', 'за', 'ними', 'Они', 'самые', 'худшие', 'из', 'маглов']	"[""l've"", 'watched', 'them', 'all', 'day', ""They're"", 'the', 'worst', 'sort', 'of', 'Muggles']"
14	-They really are-- -The only family he has. 	- Они же... - Его единственная семья. 	['Они', 'же', 'Его', 'единственная', 'семья']	['They', 'really', 'are', 'The', 'only', 'family', 'he', 'has']
15	He'll be famous. Every child in our world will know his name. 	Он знаменит. Каждое дитя в нашем мире уже знает его имя. 	['Он', 'знаменит', 'Каждое', 'дитя', 'в', 'нашем', 'мире', 'уже', 'знает', 'его', 'имя']	"[""He'll"", 'be', 'famous', 'Every', 'child', 'in', 'our', 'world', 'will', 'know', 'his', 'name']"
16	Exactly. 	Вот именно. 	['Вот', 'именно']	['Exactly']
17	He's far better off growing up away from all of that. 	Лучше уж ему вырасти вдали от всего этого. 	['Лучше', 'уж', 'ему', 'вырасти', 'вдали', 'от', 'всего', 'этого']	"[""He's"", 'far', 'better', 'off', 'growing', 'up', 'away', 'from', 'all', 'of', 'that']"
18	Until he's ready. 	Пока он не будет готов. 	['Пока', 'он', 'не', 'будет', 'готов']	"['Until', ""he's"", 'ready']"
19	There, there, Hagrid. lt's not really goodbye, after all. 	Ну же, Хагрид. Вы же с ним не навсегда прощаетесь. Мистеру и миссис В.Дарсли Тисовая улица, 4 Литтл Уиннинг, графство Сюррей. 	['Ну', 'же', 'Хагрид', 'Вы', 'же', 'с', 'ним', 'не', 'навсегда', 'прощаетесь', 'Мистеру', 'и', 'миссис', 'В.Дарсли', 'Тисовая', 'улица', '4', 'Литтл', 'Уиннинг', 'графство', 'Сюррей']	"['There', 'there', 'Hagrid', ""lt's"", 'not', 'really', 'goodbye', 'after', 'all']"
20	Good luck... 	Удачи тебе... 	['Удачи', 'тебе']	['Good', 'luck']
21	...Harry Potter. 	...Гарри Поттер. Гарри Поттер и философский камень 	['Гарри', 'Поттер', 'Гарри', 'Поттер', 'и', 'философский', 'камень']	['Harry', 'Potter']
22	Up. Get up! 	Встать. Вставай! 	['Встать', 'Вставай']	['Up', 'Get', 'up']
23	Now! 	Быстро! 	['Быстро']	['Now']
24	Wake up, cousin! We're going to the zoo! 	Вставай, кузен! Мы едем в зоопарк! 	['Вставай', 'кузен', 'Мы', 'едем', 'в', 'зоопарк']	"['Wake', 'up', 'cousin', ""We're"", 'going', 'to', 'the', 'zoo']"
25	-Here he comes, the birthday boy. -Happy birthday, son. 	- Вот он - наш именинник. - С днём рождения, сынок. 	['Вот', 'он', 'наш', 'именинник', 'С', 'днём', 'рождения', 'сынок']	['Here', 'he', 'comes', 'the', 'birthday', 'boy', 'Happy', 'birthday', 'son']
26	Cook breakfast. And try not to burn anything. 	Готовь завтрак. И постарайся ничего не сжечь. 	['Готовь', 'завтрак', 'И', 'постарайся', 'ничего', 'не', 'сжечь']	['Cook', 'breakfast', 'And', 'try', 'not', 'to', 'burn', 'anything']
27	-Yes, Aunt Petunia. -l want everything to be perfect... 	- Да, тётя Петуния. - Я хочу, чтобы сегодня ничто не омрачило... 	['Да', 'тётя', 'Петуния', 'Я', 'хочу', 'чтобы', 'сегодня', 'ничто', 'не', 'омрачило']	['Yes', 'Aunt', 'Petunia', 'l', 'want', 'everything', 'to', 'be', 'perfect']
28	...for my Dudley's special day! 	...этот особенный день для моего Дадли! 	['этот', 'особенный', 'день', 'для', 'моего', 'Дадли']	"['for', 'my', ""Dudley's"", 'special', 'day']"
29	-Hurry up! Bring my coffee, boy. -Yes, Uncle Vernon. 	- Быстро! Принеси мой кофе, мальчишка. - Да, дядя Вернон. 	['Быстро', 'Принеси', 'мой', 'кофе', 'мальчишка', 'Да', 'дядя', 'Вернон']	['Hurry', 'up', 'Bring', 'my', 'coffee', 'boy', 'Yes', 'Uncle', 'Vernon']
30	Aren't they wonderful, darling? 	Разве они не чудесны, дорогой? 	['Разве', 'они', 'не', 'чудесны', 'дорогой']	"[""Aren't"", 'they', 'wonderful', 'darling']"
31	-How many are there? -36. Counted them myself. 	- Сколько их? - 36. Я всё сам пересчитал. 	['Сколько', 'их', '36', 'Я', 'всё', 'сам', 'пересчитал']	['How', 'many', 'are', 'there', '36', 'Counted', 'them', 'myself']
32	36?! But last year l had 37! 	36?! Но в прошлом году мне подарили 37! 	['36', 'Но', 'в', 'прошлом', 'году', 'мне', 'подарили', '37']	['36', 'But', 'last', 'year', 'l', 'had', '37']
33	-But some are bigger than last year's. -l don't care! 	- Но некоторые из них побольше, чем в прошлом. - Да меня это не волнует! 	['Но', 'некоторые', 'из', 'них', 'побольше', 'чем', 'в', 'прошлом', 'Да', 'меня', 'это', 'не', 'волнует']	"['But', 'some', 'are', 'bigger', 'than', 'last', ""year's"", 'l', ""don't"", 'care']"
34	This is what we're going to do. 	Вот что мы сделаем. 	['Вот', 'что', 'мы', 'сделаем']	"['This', 'is', 'what', ""we're"", 'going', 'to', 'do']"
35	We're going to buy you two new presents. How's that, pumpkin? 	Мы поедем покупать ещё два подарка. Как тебе это, пампушечка? 	['Мы', 'поедем', 'покупать', 'ещё', 'два', 'подарка', 'Как', 'тебе', 'это', 'пампушечка']	"[""We're"", 'going', 'to', 'buy', 'you', 'two', 'new', 'presents', ""How's"", 'that', 'pumpkin']"
