	en	ru	ru_tokens	en_tokens
0	Easy. 	Тихо... 	['Тихо']	['Easy']
1	Saw some turkeys on the way here. 	Я тут видел индюшек по пути сюда. 	['Я', 'тут', 'видел', 'индюшек', 'по', 'пути', 'сюда']	['Saw', 'some', 'turkeys', 'on', 'the', 'way', 'here']
2	Crossed right in front of me like I wasn't even there. 	Пробежали передо мной, как будто я никто. 	['Пробежали', 'передо', 'мной', 'как', 'будто', 'я', 'никто']	"['Crossed', 'right', 'in', 'front', 'of', 'me', 'like', 'I', ""wasn't"", 'even', 'there']"
3	How rude of them. 	Какое хамство. 	['Какое', 'хамство']	['How', 'rude', 'of', 'them']
4	That's what happens when you spend six days a week working in the mines. 	Вот что бывает, когда шесть дней в неделю торчишь в шахте. 	['Вот', 'что', 'бывает', 'когда', 'шесть', 'дней', 'в', 'неделю', 'торчишь', 'в', 'шахте']	"[""That's"", 'what', 'happens', 'when', 'you', 'spend', 'six', 'days', 'a', 'week', 'working', 'in', 'the', 'mines']"
5	Stupid birds start to think they own these woods. 	Тупые птицы думают, они тут хозяева. 	['Тупые', 'птицы', 'думают', 'они', 'тут', 'хозяева']	['Stupid', 'birds', 'start', 'to', 'think', 'they', 'own', 'these', 'woods']
6	When's the tour leave? Couple hours. 	- Когда уезжаешь в тур? - Через пару часов. 	['Когда', 'уезжаешь', 'в', 'тур', 'Через', 'пару', 'часов']	"[""When's"", 'the', 'tour', 'leave', 'Couple', 'hours']"
7	Well, let's go. 	Ну тогда пошли. 	['Ну', 'тогда', 'пошли']	"['Well', ""let's"", 'go']"
8	Hey! 	Тихо, тихо. 	['Тихо', 'тихо']	['Hey']
9	- Hey. You're okay. - Let go! 	Эй, все хорошо, все хорошо. Пусти! 	['Эй', 'все', 'хорошо', 'все', 'хорошо', 'Пусти']	"['Hey', ""You're"", 'okay', 'Let', 'go']"
10	You're okay. You're safe. 	Все хорошо. Успокойся. 	['Все', 'хорошо', 'Успокойся']	"[""You're"", 'okay', ""You're"", 'safe']"
11	It's okay. You're here with me. 	Успокойся. Ты со мной. 	['Успокойся', 'Ты', 'со', 'мной']	"[""It's"", 'okay', ""You're"", 'here', 'with', 'me']"
12	You're with me. 	Ты со мной. 	['Ты', 'со', 'мной']	"[""You're"", 'with', 'me']"
13	Okay, okay. 	Ну все. 	['Ну', 'все']	['Okay', 'okay']
14	I'm sorry. 	Извини. 	['Извини']	"[""I'm"", 'sorry']"
15	We should... 	Мы... мы... 	['Мы', 'мы']	['We', 'should']
16	We should go. 	Нам пора. 	['Нам', 'пора']	['We', 'should', 'go']
17	Are you coming to the train station? 	А ты придёшь проводить меня? 	['А', 'ты', 'придёшь', 'проводить', 'меня']	['Are', 'you', 'coming', 'to', 'the', 'train', 'station']
18	I think you have enough people saying goodbye without me there. 	Там итак будет довольно провожающих. 	['Там', 'итак', 'будет', 'довольно', 'провожающих']	['I', 'think', 'you', 'have', 'enough', 'people', 'saying', 'goodbye', 'without', 'me', 'there']
19	Only a few I actually care about. 	Большинство из них мне безразличны. 	['Большинство', 'из', 'них', 'мне', 'безразличны']	['Only', 'a', 'few', 'I', 'actually', 'care', 'about']
20	It might be easier if I didn't. 	Так всем будет проще. 	['Так', 'всем', 'будет', 'проще']	"['It', 'might', 'be', 'easier', 'if', 'I', ""didn't""]"
21	It's only a few weeks. I'll be back before the snow melts. 	Всего несколько недель. Вернусь - ещё снег лежать будет. 	['Всего', 'несколько', 'недель', 'Вернусь', 'ещё', 'снег', 'лежать', 'будет']	"[""It's"", 'only', 'a', 'few', 'weeks', ""I'll"", 'be', 'back', 'before', 'the', 'snow', 'melts']"
22	A lot can happen in a few weeks. 	Мало ли что может случиться. 	['Мало', 'ли', 'что', 'может', 'случиться']	['A', 'lot', 'can', 'happen', 'in', 'a', 'few', 'weeks']
23	Are we gonna do this again? 	Ты опять за своё? 	['Ты', 'опять', 'за', 'своё']	['Are', 'we', 'gonna', 'do', 'this', 'again']
24	Gale, it was an act. 	Г ейл, мы притворялись. 	['Г', 'ейл', 'мы', 'притворялись']	['Gale', 'it', 'was', 'an', 'act']
25	Yeah, it was a good one. 	Убедительно. 	['Убедительно']	['Yeah', 'it', 'was', 'a', 'good', 'one']
26	I did what I had to do to survive. If I didn't, I'd be dead. 	Это было необходимо, чтобы выжить. Иначе я бы погибла. 	['Это', 'было', 'необходимо', 'чтобы', 'выжить', 'Иначе', 'я', 'бы', 'погибла']	"['I', 'did', 'what', 'I', 'had', 'to', 'do', 'to', 'survive', 'If', 'I', ""didn't"", ""I'd"", 'be', 'dead']"
27	I had to do that. 	Не удержался. 	['Не', 'удержался']	['I', 'had', 'to', 'do', 'that']
28	At least once. 	Один раз. 	['Один', 'раз']	['At', 'least', 'once']
29	Haymitch! 	ДЕРЕВНЯ ПОБЕДИТЕЛЕЙ Хэймитч! 	['ДЕРЕВНЯ', 'ПОБЕДИТЕЛЕЙ', 'Хэймитч']	['Haymitch']
30	Haymitch! 	Хэймитч! 	['Хэймитч']	['Haymitch']
31	Haymitch, wake up. It's Tour Day. 	Хэймитч! Скоро тур победителей. 	['Хэймитч', 'Скоро', 'тур', 'победителей']	"['Haymitch', 'wake', 'up', ""It's"", 'Tour', 'Day']"
32	Haymitch. 	Хэймитч! 	['Хэймитч']	['Haymitch']
33	What are you doing? 	Ты что творишь? 	['Ты', 'что', 'творишь']	['What', 'are', 'you', 'doing']
