	en	ru	ru_tokens	en_tokens
0	Start simple. Start with what you know is true. 	Начни с простого, с того, что ты знаешь. 	['Начни', 'с', 'простого', 'с', 'того', 'что', 'ты', 'знаешь']	['Start', 'simple', 'Start', 'with', 'what', 'you', 'know', 'is', 'true']
1	My name is Katniss Everdeen. My home is District 12. 	Меня зовут Китнисс Эвердин. Я из дистрикта 12. 	['Меня', 'зовут', 'Китнисс', 'Эвердин', 'Я', 'из', 'дистрикта', '12']	['My', 'name', 'is', 'Katniss', 'Everdeen', 'My', 'home', 'is', 'District', '12']
2	I was in the Hunger Games. I escaped. 	Я выиграла ту Игру. Я спаслась. 	['Я', 'выиграла', 'ту', 'Игру', 'Я', 'спаслась']	['I', 'was', 'in', 'the', 'Hunger', 'Games', 'I', 'escaped']
3	Peeta... Peeta was left behind. 	А Пит... Пит остался там. 	['А', 'Пит', 'Пит', 'остался', 'там']	['Peeta', 'Peeta', 'was', 'left', 'behind']
4	Miss Everdeen? 	Мисс Эвердин? 	['Мисс', 'Эвердин']	['Miss', 'Everdeen']
5	You can't be in here. 	Вам тут нельзя. 	['Вам', 'тут', 'нельзя']	"['You', ""can't"", 'be', 'in', 'here']"
6	I had a nightmare. Just five more minutes. 	Мне приснился кошмар. Ещё 5 минут. 	['Мне', 'приснился', 'кошмар', 'Ещё', '5', 'минут']	['I', 'had', 'a', 'nightmare', 'Just', 'five', 'more', 'minutes']
7	You need to sleep. We can help you sleep. 	Вам нужно поспать. Мы поможем вам заснуть. 	['Вам', 'нужно', 'поспать', 'Мы', 'поможем', 'вам', 'заснуть']	['You', 'need', 'to', 'sleep', 'We', 'can', 'help', 'you', 'sleep']
8	Just five more minutes. 	Ещё 5 минут. 	['Ещё', '5', 'минут']	['Just', 'five', 'more', 'minutes']
9	No. No, please, don't. It's just five more... Don't touch me! Don't! No! Get off of me! 	Пожалуйста, ещё 5... Нет, не трогайте меня. Нет, нет, нет. Отпусти меня! 	['Пожалуйста', 'ещё', '5', 'Нет', 'не', 'трогайте', 'меня', 'Нет', 'нет', 'нет', 'Отпусти', 'меня']	"['No', 'No', 'please', ""don't"", ""It's"", 'just', 'five', 'more', ""Don't"", 'touch', 'me', ""Don't"", 'No', 'Get', 'off', 'of', 'me']"
10	Finnick. 	Финник. 	['Финник']	['Finnick']
11	I wanted to go back for Peeta and Johanna, 	Я хотел вернуться за Питом и Джоанной... 	['Я', 'хотел', 'вернуться', 'за', 'Питом', 'и', 'Джоанной']	['I', 'wanted', 'to', 'go', 'back', 'for', 'Peeta', 'and', 'Johanna']
12	but I couldn't move. 	НО Я... Я не МОГ пошевелиться. 	['НО', 'Я', 'Я', 'не', 'МОГ', 'пошевелиться']	"['but', 'I', ""couldn't"", 'move']"
13	They have Annie, too. They took her. 	Энни тоже у них. Она в плену. 	['Энни', 'тоже', 'у', 'них', 'Она', 'в', 'плену']	['They', 'have', 'Annie', 'too', 'They', 'took', 'her']
14	She's in the Capitol. 	Она... она в Капитолии. 	['Она', 'она', 'в', 'Капитолии']	"[""She's"", 'in', 'the', 'Capitol']"
15	I wish she was dead. 	Лучше б она умерла. 	['Лучше', 'б', 'она', 'умерла']	['I', 'wish', 'she', 'was', 'dead']
16	I wish they were all dead and we were, too. 	Лучше б они убили их, и нас всех. 	['Лучше', 'б', 'они', 'убили', 'их', 'и', 'нас', 'всех']	['I', 'wish', 'they', 'were', 'all', 'dead', 'and', 'we', 'were', 'too']
17	Miss Everdeen. 	ГОЛОДНЫЕ ИГРЫ СОЙКА-ПЕРЕСМЕШНИЦА Часть первая Мисс Эвердин... 	['ГОЛОДНЫЕ', 'ИГРЫ', 'СОЙКА-ПЕРЕСМЕШНИЦА', 'Часть', 'первая', 'Мисс', 'Эвердин']	['Miss', 'Everdeen']
18	Colonel Boggs, District 13's head of security. 	Полковник, Боггс. Права и безопасность, дистрикт 13. 	['Полковник', 'Боггс', 'Права', 'и', 'безопасность', 'дистрикт', '13']	"['Colonel', 'Boggs', 'District', ""13's"", 'head', 'of', 'security']"
19	I know you've been discharged, but President Coin's requested to meet with you first. 	Знаю, вас только что выписали, но президент Койн... требует, чтобы вы явились к ней. 	['Знаю', 'вас', 'только', 'что', 'выписали', 'но', 'президент', 'Койн', 'требует', 'чтобы', 'вы', 'явились', 'к', 'ней']	"['I', 'know', ""you've"", 'been', 'discharged', 'but', 'President', ""Coin's"", 'requested', 'to', 'meet', 'with', 'you', 'first']"
20	Is there any news? 	Есть новости? 	['Есть', 'новости']	['Is', 'there', 'any', 'news']
21	I'm just here to escort you. 	Я просто должен вас проводить. 	['Я', 'просто', 'должен', 'вас', 'проводить']	"[""I'm"", 'just', 'here', 'to', 'escort', 'you']"
22	We were always told there was nothing left of 13. 	Нам говорили, от 1340 ничего не осталось. 	['Нам', 'говорили', 'от', '1340', 'ничего', 'не', 'осталось']	['We', 'were', 'always', 'told', 'there', 'was', 'nothing', 'left', 'of', '13']
23	Capitol bombed the surface to rubble. 	На поверхности Капитолий всё разбомбил. 	['На', 'поверхности', 'Капитолий', 'всё', 'разбомбил']	['Capitol', 'bombed', 'the', 'surface', 'to', 'rubble']
24	But we're military, so we learned to survive down here. 	Но мы, военные, и научились выживать под землёй. 	['Но', 'мы', 'военные', 'и', 'научились', 'выживать', 'под', 'землёй']	"['But', ""we're"", 'military', 'so', 'we', 'learned', 'to', 'survive', 'down', 'here']"
25	Preparing, training. 	Мы всегда наготове. 	['Мы', 'всегда', 'наготове']	['Preparing', 'training']
26	The war never stopped for us. 	Война для нас не прекращалась. 	['Война', 'для', 'нас', 'не', 'прекращалась']	['The', 'war', 'never', 'stopped', 'for', 'us']
27	There she is. 	Вот и она. 	['Вот', 'и', 'она']	['There', 'she', 'is']
28	Our Girl on Fire. 	Наша Огненная Китнисс 	['Наша', 'Огненная', 'Китнисс']	['Our', 'Girl', 'on', 'Fire']
29	Madam President, may I present you with The Mockingjay. 	Госпожа Президент, позвольте представить. Сойка-пересмешница. 	['Госпожа', 'Президент', 'позвольте', 'представить', 'Сойка-пересмешница']	['Madam', 'President', 'may', 'I', 'present', 'you', 'with', 'The', 'Mockingjay']
30	What an honor it is to meet you. 	Это такая честь для меня. 	['Это', 'такая', 'честь', 'для', 'меня']	['What', 'an', 'honor', 'it', 'is', 'to', 'meet', 'you']
31	You're a courageous young woman. 	Вы образец для подражания. 	['Вы', 'образец', 'для', 'подражания']	"[""You're"", 'a', 'courageous', 'young', 'woman']"
32	I know how disorienting this must be. 	Я понимаю, вам сейчас очень нелегко. 	['Я', 'понимаю', 'вам', 'сейчас', 'очень', 'нелегко']	['I', 'know', 'how', 'disorienting', 'this', 'must', 'be']
33	And I can't imagine what it's like to live through the atrocities of those Games. 	Не могу представить, чего вам стоило, пройти через весь этот кошмар. 	['Не', 'могу', 'представить', 'чего', 'вам', 'стоило', 'пройти', 'через', 'весь', 'этот', 'кошмар']	"['And', 'I', ""can't"", 'imagine', 'what', ""it's"", 'like', 'to', 'live', 'through', 'the', 'atrocities', 'of', 'those', 'Games']"
34	Katniss, President Alma Coin. 	Китнисс, президент Альма Койн. 	['Китнисс', 'президент', 'Альма', 'Койн']	['Katniss', 'President', 'Alma', 'Coin']
35	Please know how welcome you are. 	Мы очень вам рады. 	['Мы', 'очень', 'вам', 'рады']	['Please', 'know', 'how', 'welcome', 'you', 'are']
36	I hope you'll find some comfort with us. 	Надеюсь, у нас вам будет спокойно. 	['Надеюсь', 'у', 'нас', 'вам', 'будет', 'спокойно']	"['I', 'hope', ""you'll"", 'find', 'some', 'comfort', 'with', 'us']"
37	We've known loss in 13, too. 	Мы тоже потеряли очень многих. 	['Мы', 'тоже', 'потеряли', 'очень', 'многих']	"[""We've"", 'known', 'loss', 'in', '13', 'too']"
38	This is history. Right here at this table. 	Сейчас вершится история. 	['Сейчас', 'вершится', 'история']	['This', 'is', 'history', 'Right', 'here', 'at', 'this', 'table']
39	I apologize. I wish you had more time to recover, but unfortunately, we don't have that luxury. Please, have a seat. 	Надо было дать вам прийти в себя, но к сожалению у нас нет... такой роскоши как время. Прошу, садитесь. 	['Надо', 'было', 'дать', 'вам', 'прийти', 'в', 'себя', 'но', 'к', 'сожалению', 'у', 'нас', 'нет', 'такой', 'роскоши', 'как', 'время', 'Прошу', 'садитесь']	"['I', 'apologize', 'I', 'wish', 'you', 'had', 'more', 'time', 'to', 'recover', 'but', 'unfortunately', 'we', ""don't"", 'have', 'that', 'luxury', 'Please', 'have', 'a', 'seat']"
40	Are you aware of what's happened? 	Вам известно, что произошло? 	['Вам', 'известно', 'что', 'произошло']	"['Are', 'you', 'aware', 'of', ""what's"", 'happened']"
41	When you fired your arrow at the force field 	Ваш выстрел из лука в силовое поле... 	['Ваш', 'выстрел', 'из', 'лука', 'в', 'силовое', 'поле']	['When', 'you', 'fired', 'your', 'arrow', 'at', 'the', 'force', 'field']
42	you electrified the nation. 	воодушевил всю страну. 	['воодушевил', 'всю', 'страну']	['you', 'electrified', 'the', 'nation']
43	There have been riots and uprisings and strikes in seven districts. 	Столкновение, восстания и стычки в семи дистриктах. 	['Столкновение', 'восстания', 'и', 'стычки', 'в', 'семи', 'дистриктах']	['There', 'have', 'been', 'riots', 'and', 'uprisings', 'and', 'strikes', 'in', 'seven', 'districts']
44	We believe that if we keep this energy going we can unify the districts against the Capitol. 	Полагаю, если поддержать эти движения, мы объединим... все дистрикты против Капитолия. 	['Полагаю', 'если', 'поддержать', 'эти', 'движения', 'мы', 'объединим', 'все', 'дистрикты', 'против', 'Капитолия']	['We', 'believe', 'that', 'if', 'we', 'keep', 'this', 'energy', 'going', 'we', 'can', 'unify', 'the', 'districts', 'against', 'the', 'Capitol']
45	But if we don't, if we let it dissipate, 	В противном случае, если всё угаснет... 	['В', 'противном', 'случае', 'если', 'всё', 'угаснет']	"['But', 'if', 'we', ""don't"", 'if', 'we', 'let', 'it', 'dissipate']"
46	we could be waiting another 75 years for this opportunity. 	возможно такого шанса нам не представится ещё 75 лет. 	['возможно', 'такого', 'шанса', 'нам', 'не', 'представится', 'ещё', '75', 'лет']	['we', 'could', 'be', 'waiting', 'another', '75', 'years', 'for', 'this', 'opportunity']
47	Everyone in 13 is ready for this. 	В дистрикте 13 все готовы. 	['В', 'дистрикте', '13', 'все', 'готовы']	['Everyone', 'in', '13', 'is', 'ready', 'for', 'this']
48	What about Peeta? Is he alive? 	Скажите, что с Питом? Он жив? 	['Скажите', 'что', 'с', 'Питом', 'Он', 'жив']	['What', 'about', 'Peeta', 'Is', 'he', 'alive']
49	I don't know. And I wish that I did. 	Я не знаю. Мне очень жаль. 	['Я', 'не', 'знаю', 'Мне', 'очень', 'жаль']	"['I', ""don't"", 'know', 'And', 'I', 'wish', 'that', 'I', 'did']"
50	But there's no way for me to contact my operatives inside the Capitol. 	Но я к сожалению, не могу связаться со своими агентами в Капитолии. 	['Но', 'я', 'к', 'сожалению', 'не', 'могу', 'связаться', 'со', 'своими', 'агентами', 'в', 'Капитолии']	"['But', ""there's"", 'no', 'way', 'for', 'me', 'to', 'contact', 'my', 'operatives', 'inside', 'the', 'Capitol']"
51	The Capitol has always suppressed communication between the districts. 	Капитолий всегда подавлял коммуникации между дистриктами. 	['Капитолий', 'всегда', 'подавлял', 'коммуникации', 'между', 'дистриктами']	['The', 'Capitol', 'has', 'always', 'suppressed', 'communication', 'between', 'the', 'districts']
