	en	ru	ru_tokens	en_tokens
0	I think it's our tradition. 	Думаю, это наша традиция... 	['Думаю', 'это', 'наша', 'традиция']	"['I', 'think', ""it's"", 'our', 'tradition']"
1	It comes out of a particularly painful part of our history. 	Она восходит к довольно трудному периоду нашей истории. 	['Она', 'восходит', 'к', 'довольно', 'трудному', 'периоду', 'нашей', 'истории']	['It', 'comes', 'out', 'of', 'a', 'particularly', 'painful', 'part', 'of', 'our', 'history']
2	Yes, yes. 	Да, да. 	['Да', 'да']	['Yes', 'yes']
3	But it's been the way we've been able to heal. 	Но благодаря ей мы смогли излечиться. 	['Но', 'благодаря', 'ей', 'мы', 'смогли', 'излечиться']	"['But', ""it's"", 'been', 'the', 'way', ""we've"", 'been', 'able', 'to', 'heal']"
4	At first, it was a reminder of the rebellion. 	Когда-то это было напоминание о восстании. 	['Когда-то', 'это', 'было', 'напоминание', 'о', 'восстании']	['At', 'first', 'it', 'was', 'a', 'reminder', 'of', 'the', 'rebellion']
5	- It was a price the districts had to pay. - Yes. 	Ценой, которую обязали платить все Дистрикты. 	['Ценой', 'которую', 'обязали', 'платить', 'все', 'Дистрикты']	['It', 'was', 'a', 'price', 'the', 'districts', 'had', 'to', 'pay', 'Yes']
6	But I think it has grown from that. 	Но, по моему, всё это в прошлом. 	['Но', 'по', 'моему', 'всё', 'это', 'в', 'прошлом']	['But', 'I', 'think', 'it', 'has', 'grown', 'from', 'that']
7	I think it's something that knits us all together. 	Сейчас игры... Обеспечивают наше единство. 	['Сейчас', 'игры', 'Обеспечивают', 'наше', 'единство']	"['I', 'think', ""it's"", 'something', 'that', 'knits', 'us', 'all', 'together']"
8	This is your third year as Gamemaker. 	Вы уже третий год распорядитель игр? 	['Вы', 'уже', 'третий', 'год', 'распорядитель', 'игр']	['This', 'is', 'your', 'third', 'year', 'as', 'Gamemaker']
9	What defines your personal signature? 	Скажите, в чем ваш уникальный стиль? 	['Скажите', 'в', 'чем', 'ваш', 'уникальный', 'стиль']	['What', 'defines', 'your', 'personal', 'signature']
10	No! No! 	ДИСТРИКТ 12 	['ДИСТРИКТ', '12']	['No', 'No']
11	It's okay. It's okay. You were just dreaming. You were dreaming. 	Все хорошо. Всё в порядке. Просто дурной сон. Это просто сон. 	['Все', 'хорошо', 'Всё', 'в', 'порядке', 'Просто', 'дурной', 'сон', 'Это', 'просто', 'сон']	"[""It's"", 'okay', ""It's"", 'okay', 'You', 'were', 'just', 'dreaming', 'You', 'were', 'dreaming']"
12	It was me. 	Меня выбрали. 	['Меня', 'выбрали']	['It', 'was', 'me']
13	I know. I know. But it's not. 	Я знаю. Но это не так. 	['Я', 'знаю', 'Но', 'это', 'не', 'так']	"['I', 'know', 'I', 'know', 'But', ""it's"", 'not']"
14	It's your first year, Prim. Your name's only been in there once. 	Это твой первый год. Твоё имя вписано только один раз, 	['Это', 'твой', 'первый', 'год', 'Твоё', 'имя', 'вписано', 'только', 'один', 'раз']	"[""It's"", 'your', 'first', 'year', 'Prim', 'Your', ""name's"", 'only', 'been', 'in', 'there', 'once']"
15	They're not gonna pick you. 	Тебя не заберут. 	['Тебя', 'не', 'заберут']	"[""They're"", 'not', 'gonna', 'pick', 'you']"
16	Try to go to sleep. 	Попробуй уснуть. 	['Попробуй', 'уснуть']	['Try', 'to', 'go', 'to', 'sleep']
17	I can't. 	Я не могу. 	['Я', 'не', 'могу']	"['I', ""can't""]"
18	Just try. Just try. 	А ты попробуй. Попробуй. 	['А', 'ты', 'попробуй', 'Попробуй']	['Just', 'try', 'Just', 'try']
19	Deep in the meadow Under the willow 	Где-то под ивой, Прямо в лугах, 	['Где-то', 'под', 'ивой', 'Прямо', 'в', 'лугах']	['Deep', 'in', 'the', 'meadow', 'Under', 'the', 'willow']
20	- A bed of grass - A bed of grass 	Постелька есть 	['Постелька', 'есть']	['A', 'bed', 'of', 'grass', 'A', 'bed', 'of', 'grass']
21	- A soft green pillow - A soft green pillow 	Из ласковых трав. 	['Из', 'ласковых', 'трав']	['A', 'soft', 'green', 'pillow', 'A', 'soft', 'green', 'pillow']
22	You remember that song? Okay. 	Помнишь, как дальше? Хорошо. 	['Помнишь', 'как', 'дальше', 'Хорошо']	['You', 'remember', 'that', 'song', 'Okay']
23	You finish it. I've got to go. 	Напой про себя. Мне пора. 	['Напой', 'про', 'себя', 'Мне', 'пора']	"['You', 'finish', 'it', ""I've"", 'got', 'to', 'go']"
24	Where? 	Куда? 	['Куда']	['Where']
25	I've just got to go. 	Просто мне пора. 	['Просто', 'мне', 'пора']	"[""I've"", 'just', 'got', 'to', 'go']"
26	But I'll be back. I love you 	Но я вернусь. Люблю тебя. 	['Но', 'я', 'вернусь', 'Люблю', 'тебя']	"['But', ""I'll"", 'be', 'back', 'I', 'love', 'you']"
27	I'll still cook you. 	Я умею готовить кошек. 	['Я', 'умею', 'готовить', 'кошек']	"[""I'll"", 'still', 'cook', 'you']"
28	What are you gonna do with that when you kill it? 	Ну, убьёшь ты его и что дальше? 	['Ну', 'убьёшь', 'ты', 'его', 'и', 'что', 'дальше']	['What', 'are', 'you', 'gonna', 'do', 'with', 'that', 'when', 'you', 'kill', 'it']
29	Damn you, Gale! It's not funny! 	Да пошёл ты, Гейл! Не смешно. 	['Да', 'пошёл', 'ты', 'Гейл', 'Не', 'смешно']	"['Damn', 'you', 'Gale', ""It's"", 'not', 'funny']"
30	What are you gonna do with a 100-pound deer, Catnip? 	Но в нем же 90 кг, Кискисс. 	['Но', 'в', 'нем', 'же', '90', 'кг', 'Кискисс']	['What', 'are', 'you', 'gonna', 'do', 'with', 'a', '100-pound', 'deer', 'Catnip']
31	It's Reaping Day. The place is crawling with Peacekeepers. 	День жатвы тем более. Тут вокруг миротворцы. 	['День', 'жатвы', 'тем', 'более', 'Тут', 'вокруг', 'миротворцы']	"[""It's"", 'Reaping', 'Day', 'The', 'place', 'is', 'crawling', 'with', 'Peacekeepers']"
32	I was gonna sell it to some Peacekeepers. 	Я бы его продала. Тем же миротворцам. 	['Я', 'бы', 'его', 'продала', 'Тем', 'же', 'миротворцам']	['I', 'was', 'gonna', 'sell', 'it', 'to', 'some', 'Peacekeepers']
