	en	ru	ru_tokens	en_tokens
0	Subtitles downloaded from www.OpenSubtitles.org 	Subtitles downloaded from www.OpenSubtitles.org 	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']
1	Lydia. Kitty. 	Лидия, Китти! 	['Лидия', 'Китти']	['Lydia', 'Kitty']
2	MRS BENNET: My dear Mr Bennet, have you heard? 	Мой дорогой мистер Беннет, Вы слышали? 	['Мой', 'дорогой', 'мистер', 'Беннет', 'Вы', 'слышали']	['MRS', 'BENNET', 'My', 'dear', 'Mr', 'Bennet', 'have', 'you', 'heard']
3	Netherfield Park is let at last. Do you not want to know who has taken it? 	Незерфилд Парк сняли наконец-то. Не хотите знать кто? 	['Незерфилд', 'Парк', 'сняли', 'наконец-то', 'Не', 'хотите', 'знать', 'кто']	['Netherfield', 'Park', 'is', 'let', 'at', 'last', 'Do', 'you', 'not', 'want', 'to', 'know', 'who', 'has', 'taken', 'it']
4	BENNET: As you wish to tell me, my dear, I doubt I have any choice in the matter. 	Если хотите рассказать, моя дорогая, сомневаюсь что у меня есть выбор. 	['Если', 'хотите', 'рассказать', 'моя', 'дорогая', 'сомневаюсь', 'что', 'у', 'меня', 'есть', 'выбор']	['BENNET', 'As', 'you', 'wish', 'to', 'tell', 'me', 'my', 'dear', 'I', 'doubt', 'I', 'have', 'any', 'choice', 'in', 'the', 'matter']
5	Liddy, Kitty, what have I told you about listening at the door? 	Китти, что я говорила тебе о подслушивании под дверью? 	['Китти', 'что', 'я', 'говорила', 'тебе', 'о', 'подслушивании', 'под', 'дверью']	['Liddy', 'Kitty', 'what', 'have', 'I', 'told', 'you', 'about', 'listening', 'at', 'the', 'door']
6	Never mind that. There's a Mr Bingley - arrived from the North. - Perchance. 	Мистер Бингли с Севера. 	['Мистер', 'Бингли', 'с', 'Севера']	"['Never', 'mind', 'that', ""There's"", 'a', 'Mr', 'Bingley', 'arrived', 'from', 'the', 'North', 'Perchance']"
7	- ВЈ5,000 a year. - Really? 	- Пять тысяч в год - Правда? 	['Пять', 'тысяч', 'в', 'год', 'Правда']	['ВЈ5,000', 'a', 'year', 'Really']
8	- He's single. - He's single. 	- Холост! - Кто холост? 	['Холост', 'Кто', 'холост']	"[""He's"", 'single', ""He's"", 'single']"
9	- Who's single? - A Mr Bingley, apparently. Kitty. 	Мистер Бингли, очевидно. Китти! 	['Мистер', 'Бингли', 'очевидно', 'Китти']	"[""Who's"", 'single', 'A', 'Mr', 'Bingley', 'apparently', 'Kitty']"
10	And how can that possibly affect them? 	Как может это повлиять на них? 	['Как', 'может', 'это', 'повлиять', 'на', 'них']	['And', 'how', 'can', 'that', 'possibly', 'affect', 'them']
11	Oh, Mr Bennet, how can you be so tiresome? 	Мистер Беннет, как Вы можете быть таким скучным? 	['Мистер', 'Беннет', 'как', 'Вы', 'можете', 'быть', 'таким', 'скучным']	['Oh', 'Mr', 'Bennet', 'how', 'can', 'you', 'be', 'so', 'tiresome']
12	You know he must marry one of them. 	Ему следует жениться на одной из них. 	['Ему', 'следует', 'жениться', 'на', 'одной', 'из', 'них']	['You', 'know', 'he', 'must', 'marry', 'one', 'of', 'them']
13	BENNET: So that is his design in settling here. 	Так это цель его переезда? 	['Так', 'это', 'цель', 'его', 'переезда']	['BENNET', 'So', 'that', 'is', 'his', 'design', 'in', 'settling', 'here']
14	You must go and visit him at once. 	Вы должны немедленно нанести ему визит. 	['Вы', 'должны', 'немедленно', 'нанести', 'ему', 'визит']	['You', 'must', 'go', 'and', 'visit', 'him', 'at', 'once']
15	Good heavens. People. 	Боже мой. Народ. 	['Боже', 'мой', 'Народ']	['Good', 'heavens', 'People']
16	For we may not visit if you do not, as you well know, Mr Bennet. 	Вам хорошо известно, Мистер Беннет, что мы не можем его навестить до Вас. 	['Вам', 'хорошо', 'известно', 'Мистер', 'Беннет', 'что', 'мы', 'не', 'можем', 'его', 'навестить', 'до', 'Вас']	['For', 'we', 'may', 'not', 'visit', 'if', 'you', 'do', 'not', 'as', 'you', 'well', 'know', 'Mr', 'Bennet']
17	Aren't you listening? You never listen. KITTY: You must, Papa. MRS BENNET: At once. 	- Слышите? Вы никогда не слушаете. - Ты должен, папа! Немедленно! 	['Слышите', 'Вы', 'никогда', 'не', 'слушаете', 'Ты', 'должен', 'папа', 'Немедленно']	"[""Aren't"", 'you', 'listening', 'You', 'never', 'listen', 'KITTY', 'You', 'must', 'Papa', 'MRS', 'BENNET', 'At', 'once']"
18	There's no need, I already have. 	Нет необходимости, я уже был у него. 	['Нет', 'необходимости', 'я', 'уже', 'был', 'у', 'него']	"[""There's"", 'no', 'need', 'I', 'already', 'have']"
19	- Have? - When? 	- Вы? - Когда? 	['Вы', 'Когда']	['Have', 'When']
20	Oh, Mr Bennet, how can you tease me so? 	О, мистер Беннет, как Вы можете так дразнить меня? 	['О', 'мистер', 'Беннет', 'как', 'Вы', 'можете', 'так', 'дразнить', 'меня']	['Oh', 'Mr', 'Bennet', 'how', 'can', 'you', 'tease', 'me', 'so']
21	Have you no compassion for my poor nerves? 	Разве у Вас нет сочуствия к моим бедным нервам? 	['Разве', 'у', 'Вас', 'нет', 'сочуствия', 'к', 'моим', 'бедным', 'нервам']	['Have', 'you', 'no', 'compassion', 'for', 'my', 'poor', 'nerves']
22	You mistake me, my dear. I have the highest respect for them. 	Ошибаетесь, моя дорогая. Я отношусь с высочайшим уважением к ним. 	['Ошибаетесь', 'моя', 'дорогая', 'Я', 'отношусь', 'с', 'высочайшим', 'уважением', 'к', 'ним']	['You', 'mistake', 'me', 'my', 'dear', 'I', 'have', 'the', 'highest', 'respect', 'for', 'them']
23	They've been my constant companions these 20 years. 	Они мои постоянные попутчики уже двадцать лет. 	['Они', 'мои', 'постоянные', 'попутчики', 'уже', 'двадцать', 'лет']	"[""They've"", 'been', 'my', 'constant', 'companions', 'these', '20', 'years']"
24	Papa. 	Папа! 	['Папа']	['Papa']
25	- Is he amiable? - Who? 	- Он дружелюбный? - Кто? 	['Он', 'дружелюбный', 'Кто']	['Is', 'he', 'amiable', 'Who']
26	- Is he handsome? - MARY: Who? He's sure to be handsome. 	- Симпатичный? - Должно быть. 	['Симпатичный', 'Должно', 'быть']	"['Is', 'he', 'handsome', 'MARY', 'Who', ""He's"", 'sure', 'to', 'be', 'handsome']"
27	With ВЈ5,000 a year, it would not matter - if he had warts and a leer. - Who's got warts? 	С пятью тысячами в год, не имеет значения если он с изъянами. Кто с изъянами? 	['С', 'пятью', 'тысячами', 'в', 'год', 'не', 'имеет', 'значения', 'если', 'он', 'с', 'изъянами', 'Кто', 'с', 'изъянами']	"['With', 'ВЈ5,000', 'a', 'year', 'it', 'would', 'not', 'matter', 'if', 'he', 'had', 'warts', 'and', 'a', 'leer', ""Who's"", 'got', 'warts']"
28	I will give my hearty consent to his marrying whichever of the girls he chooses. 	Я соглашусь на его брак с любой из моих девочек, которую он выберет. 	['Я', 'соглашусь', 'на', 'его', 'брак', 'с', 'любой', 'из', 'моих', 'девочек', 'которую', 'он', 'выберет']	['I', 'will', 'give', 'my', 'hearty', 'consent', 'to', 'his', 'marrying', 'whichever', 'of', 'the', 'girls', 'he', 'chooses']
29	So will he come to the ball tomorrow, Papa? I believe so. 	- Он будет на балу завтра? - Надеюсь. 	['Он', 'будет', 'на', 'балу', 'завтра', 'Надеюсь']	['So', 'will', 'he', 'come', 'to', 'the', 'ball', 'tomorrow', 'Papa', 'I', 'believe', 'so']
30	(GIRLS SHRIEKING) KITTY: Can I wear your spotted muslin? Oh, please, Jane. 	- Мистер Беннет! - Дашь мне свой муслин! 	['Мистер', 'Беннет', 'Дашь', 'мне', 'свой', 'муслин']	['GIRLS', 'SHRIEKING', 'KITTY', 'Can', 'I', 'wear', 'your', 'spotted', 'muslin', 'Oh', 'please', 'Jane']
31	JANE: No, I need it. Please, Jane, I'll lend you my green slippers. - They were mine. - Oh, were they? 	- А я тебе мои зелёные туфли! - Они были моими. 	['А', 'я', 'тебе', 'мои', 'зелёные', 'туфли', 'Они', 'были', 'моими']	"['JANE', 'No', 'I', 'need', 'it', 'Please', 'Jane', ""I'll"", 'lend', 'you', 'my', 'green', 'slippers', 'They', 'were', 'mine', 'Oh', 'were', 'they']"
32	Well, then I'll do your mending for a week. I'll re-trim your new bonnet. 	- Я буду штопать за тебя неделю. - А я переделаю твою новую шляпку. 	['Я', 'буду', 'штопать', 'за', 'тебя', 'неделю', 'А', 'я', 'переделаю', 'твою', 'новую', 'шляпку']	"['Well', 'then', ""I'll"", 'do', 'your', 'mending', 'for', 'a', 'week', ""I'll"", 're-trim', 'your', 'new', 'bonnet']"
33	- Two weeks. - And I'll pay you myself, Jane. 	Две недели я буду делать это. 	['Две', 'недели', 'я', 'буду', 'делать', 'это']	"['Two', 'weeks', 'And', ""I'll"", 'pay', 'you', 'myself', 'Jane']"
34	- Jane, look at me. Jane. - JANE: But I want to wear it myself. (ALL CHATTERING EXCITEDLY) (BAND PLAYING) 	Это так необычно! 	['Это', 'так', 'необычно']	['Jane', 'look', 'at', 'me', 'Jane', 'JANE', 'But', 'I', 'want', 'to', 'wear', 'it', 'myself', 'ALL', 'CHATTERING', 'EXCITEDLY', 'BAND', 'PLAYING']
35	I can't breathe. 	Не могу дышать. 	['Не', 'могу', 'дышать']	"['I', ""can't"", 'breathe']"
36	KITTY: I think one of my toes just came off. 	Кажется один из моих пальцев отвалился. 	['Кажется', 'один', 'из', 'моих', 'пальцев', 'отвалился']	['KITTY', 'I', 'think', 'one', 'of', 'my', 'toes', 'just', 'came', 'off']
37	Now, if every man in the room does not end the evening in love with you, then I'm no judge of beauty. 	Если каждый мужчина не закончит этот вечер, влюбившись в тебя, то я не разбираюсь в красоте. 	['Если', 'каждый', 'мужчина', 'не', 'закончит', 'этот', 'вечер', 'влюбившись', 'в', 'тебя', 'то', 'я', 'не', 'разбираюсь', 'в', 'красоте']	"['Now', 'if', 'every', 'man', 'in', 'the', 'room', 'does', 'not', 'end', 'the', 'evening', 'in', 'love', 'with', 'you', 'then', ""I'm"", 'no', 'judge', 'of', 'beauty']"
38	- Or men. - No, they are far too easy to judge. 	- Или в мужчинах. - Нет. О них судить гораздо легче. 	['Или', 'в', 'мужчинах', 'Нет', 'О', 'них', 'судить', 'гораздо', 'легче']	['Or', 'men', 'No', 'they', 'are', 'far', 'too', 'easy', 'to', 'judge']
39	JANE: They're not all bad. 	Они не совсем плохие. 	['Они', 'не', 'совсем', 'плохие']	"['JANE', ""They're"", 'not', 'all', 'bad']"
40	Humourless poppycocks, in my limited experience. 	Вздорные, без чувства юмора, если судить по моему небольшому опыту. 	['Вздорные', 'без', 'чувства', 'юмора', 'если', 'судить', 'по', 'моему', 'небольшому', 'опыту']	['Humourless', 'poppycocks', 'in', 'my', 'limited', 'experience']
41	One of these days, Lizzie, someone will catch your eye 	В один день, один из них положет на тебя глаз 	['В', 'один', 'день', 'один', 'из', 'них', 'положет', 'на', 'тебя', 'глаз']	['One', 'of', 'these', 'days', 'Lizzie', 'someone', 'will', 'catch', 'your', 'eye']
42	and then you'll have to watch your tongue. (MUSIC STOPS) (PEOPLE WHISPERING) 	и потом, ты должна будешь следить за своим языком. 	['и', 'потом', 'ты', 'должна', 'будешь', 'следить', 'за', 'своим', 'языком']	"['and', 'then', ""you'll"", 'have', 'to', 'watch', 'your', 'tongue', 'MUSIC', 'STOPS', 'PEOPLE', 'WHISPERING']"
43	How good of you to come. 	Как хорошо, что Вы пришли. 	['Как', 'хорошо', 'что', 'Вы', 'пришли']	['How', 'good', 'of', 'you', 'to', 'come']
44	So, which of the painted peacocks is our Mr Bingley? 	Который из расписных павлинов наш мистер Бингли? 	['Который', 'из', 'расписных', 'павлинов', 'наш', 'мистер', 'Бингли']	['So', 'which', 'of', 'the', 'painted', 'peacocks', 'is', 'our', 'Mr', 'Bingley']
45	Well, he's on the right, and on the left is his sister. 	Справа. Слева его сестра. 	['Справа', 'Слева', 'его', 'сестра']	"['Well', ""he's"", 'on', 'the', 'right', 'and', 'on', 'the', 'left', 'is', 'his', 'sister']"
46	And the person with the quizzical brow? CHARLOTTE: That is his good friend, Mr Darcy. 	- А личность с насмешливым выражением лица? - Это его близкий друг мистер Дарси. 	['А', 'личность', 'с', 'насмешливым', 'выражением', 'лица', 'Это', 'его', 'близкий', 'друг', 'мистер', 'Дарси']	['And', 'the', 'person', 'with', 'the', 'quizzical', 'brow', 'CHARLOTTE', 'That', 'is', 'his', 'good', 'friend', 'Mr', 'Darcy']
