	en	ru	ru_tokens	en_tokens
0	Subtitles downloaded from www.OpenSubtitles.org 	Subtitles downloaded from www.OpenSubtitles.org 	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']
1	If you please, ma'am! 	Мадам! 	['Мадам']	"['If', 'you', 'please', ""ma'am""]"
2	There are two gentlemen and a lady waiting upon you in the parlour. One of them is Mr Darcy. 	Здесь два джентльмена и леди ждут вас в гостиной. Один из них мистер Дарси. 	['Здесь', 'два', 'джентльмена', 'и', 'леди', 'ждут', 'вас', 'в', 'гостиной', 'Один', 'из', 'них', 'мистер', 'Дарси']	['There', 'are', 'two', 'gentlemen', 'and', 'a', 'lady', 'waiting', 'upon', 'you', 'in', 'the', 'parlour', 'One', 'of', 'them', 'is', 'Mr', 'Darcy']
3	Thank you. Tell them I shall come directly. 	Благодарю. Скажите им, что я иду. 	['Благодарю', 'Скажите', 'им', 'что', 'я', 'иду']	['Thank', 'you', 'Tell', 'them', 'I', 'shall', 'come', 'directly']
4	Mr Darcy. 	Мистер Дарси. 	['Мистер', 'Дарси']	['Mr', 'Darcy']
5	- I hope that you have not been waiting long. - Not at all. 	- Надеюсь, вы недолго ждете. - Вовсе нет 	['Надеюсь', 'вы', 'недолго', 'ждете', 'Вовсе', 'нет']	['I', 'hope', 'that', 'you', 'have', 'not', 'been', 'waiting', 'long', 'Not', 'at', 'all']
6	May I introduce my sister Georgiana? 	Могу я представить мою сестру, Джорджиану? 	['Могу', 'я', 'представить', 'мою', 'сестру', 'Джорджиану']	['May', 'I', 'introduce', 'my', 'sister', 'Georgiana']
7	Georgiana, this is Miss Elizabeth Bennet. 	Джорджиана, это мисс Элизабет Беннет. 	['Джорджиана', 'это', 'мисс', 'Элизабет', 'Беннет']	['Georgiana', 'this', 'is', 'Miss', 'Elizabeth', 'Bennet']
8	- How do you do? - I'm very pleased to meet you, Miss Darcy. 	- Очень рада. - Счастлива познакомиться с вами, мисс Дарси. 	['Очень', 'рада', 'Счастлива', 'познакомиться', 'с', 'вами', 'мисс', 'Дарси']	"['How', 'do', 'you', 'do', ""I'm"", 'very', 'pleased', 'to', 'meet', 'you', 'Miss', 'Darcy']"
9	- I've heard so much about you. - And I about you. 	- Я столько слышала о вас. - А я о вас. 	['Я', 'столько', 'слышала', 'о', 'вас', 'А', 'я', 'о', 'вас']	"[""I've"", 'heard', 'so', 'much', 'about', 'you', 'And', 'I', 'about', 'you']"
10	Mr Bingley is here with us, and very desirous to see you as well. He insisted on accompanying us. 	Здесь с нами мистер Бингли и он также хочет вас видеть. Он настоял на том, чтобы сопровождать нас сюда. 	['Здесь', 'с', 'нами', 'мистер', 'Бингли', 'и', 'он', 'также', 'хочет', 'вас', 'видеть', 'Он', 'настоял', 'на', 'том', 'чтобы', 'сопровождать', 'нас', 'сюда']	['Mr', 'Bingley', 'is', 'here', 'with', 'us', 'and', 'very', 'desirous', 'to', 'see', 'you', 'as', 'well', 'He', 'insisted', 'on', 'accompanying', 'us']
11	- May I summon him? - Of course! I should like to see him very much. 	- Могу я позвать его? - Конечно! Мне приятно будет увидеть его. 	['Могу', 'я', 'позвать', 'его', 'Конечно', 'Мне', 'приятно', 'будет', 'увидеть', 'его']	['May', 'I', 'summon', 'him', 'Of', 'course', 'I', 'should', 'like', 'to', 'see', 'him', 'very', 'much']
12	I understand that you are fond of music, and play very well. 	Я знаю, что вы любите музыку и хорошо играете. 	['Я', 'знаю', 'что', 'вы', 'любите', 'музыку', 'и', 'хорошо', 'играете']	['I', 'understand', 'that', 'you', 'are', 'fond', 'of', 'music', 'and', 'play', 'very', 'well']
13	Oh, no. Not play very well. 	О нет, не очень хорошо. 	['О', 'нет', 'не', 'очень', 'хорошо']	['Oh', 'no', 'Not', 'play', 'very', 'well']
14	I mean, but I am very fond of music. I should dearly love to hear you play and sing. 	Но я люблю музыку. Я с удовольствием бы послушала, как вы поете и играете. 	['Но', 'я', 'люблю', 'музыку', 'Я', 'с', 'удовольствием', 'бы', 'послушала', 'как', 'вы', 'поете', 'и', 'играете']	['I', 'mean', 'but', 'I', 'am', 'very', 'fond', 'of', 'music', 'I', 'should', 'dearly', 'love', 'to', 'hear', 'you', 'play', 'and', 'sing']
15	My brother has told me he has rarely heard anything that gave him more pleasure. 	Мой брат говорил мне, что ему нечасто приходилось слышать такое приятное исполнение. 	['Мой', 'брат', 'говорил', 'мне', 'что', 'ему', 'нечасто', 'приходилось', 'слышать', 'такое', 'приятное', 'исполнение']	['My', 'brother', 'has', 'told', 'me', 'he', 'has', 'rarely', 'heard', 'anything', 'that', 'gave', 'him', 'more', 'pleasure']
