	en	ru	ru_tokens	en_tokens
0	Subtitles downloaded from www.OpenSubtitles.org 	Subtitles downloaded from www.OpenSubtitles.org 	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']
1	MOTHER: I don't really pray... 	Я, вообще-то, не молюсь... 	['Я', 'вообще-то', 'не', 'молюсь']	"['MOTHER', 'I', ""don't"", 'really', 'pray']"
2	but if you could just help me out here... 	...но если выкарабкаюсь с вашей помощью... 	['но', 'если', 'выкарабкаюсь', 'с', 'вашей', 'помощью']	['but', 'if', 'you', 'could', 'just', 'help', 'me', 'out', 'here']
3	I promise... 	...то обещаю.... 	['то', 'обещаю']	['I', 'promise']
4	MOTHER: 105. 	105. 	['105']	['MOTHER', '105']
5	MOTHER: 105? 	105? 	['105']	['MOTHER', '105']
6	MOTHER: Oh, my God! 	О, господи! 	['О', 'господи']	['MOTHER', 'Oh', 'my', 'God']
7	Run a bath, call the doctor. 	Набери ванну, вызови врача. 	['Набери', 'ванну', 'вызови', 'врача']	['Run', 'a', 'bath', 'call', 'the', 'doctor']
8	Get her into the bath. 	Уложи её в ванну. 	['Уложи', 'её', 'в', 'ванну']	['Get', 'her', 'into', 'the', 'bath']
9	Dr. Carter, 455-... 	Доктор Картер, 655-.... 	['Доктор', 'Картер', '655']	['Dr', 'Carter', '455']
10	He won't be there. 	Нет его там. 	['Нет', 'его', 'там']	"['He', ""won't"", 'be', 'there']"
11	What is a thermometer? Mercury. 	Ну что такое термометр? Ртуть. 	['Ну', 'что', 'такое', 'термометр', 'Ртуть']	['What', 'is', 'a', 'thermometer', 'Mercury']
12	How does it even work? Maybe I can page him. 	Как он вообще работает? Может, найти его по пейджеру? 	['Как', 'он', 'вообще', 'работает', 'Может', 'найти', 'его', 'по', 'пейджеру']	['How', 'does', 'it', 'even', 'work', 'Maybe', 'I', 'can', 'page', 'him']
13	MOTHER: Susan. Susie. 	Сьюзан. Сьюзи. 	['Сьюзан', 'Сьюзи']	['MOTHER', 'Susan', 'Susie']
14	Mommy says get up now. 	Мама говорит, надо встать. 	['Мама', 'говорит', 'надо', 'встать']	['Mommy', 'says', 'get', 'up', 'now']
15	SUSAN: Cold. - I know. 	-Холодно. -Я знаю. 	['Холодно', 'Я', 'знаю']	['SUSAN', 'Cold', 'I', 'know']
16	Hang on. 	Держись. 	['Держись']	['Hang', 'on']
17	SUSAN: Cold! 	Холодно! 	['Холодно']	['SUSAN', 'Cold']
18	MOTHER: It just feels cold because you're so hot. 	Это от того холодно, что ты горячая. 	['Это', 'от', 'того', 'холодно', 'что', 'ты', 'горячая']	"['MOTHER', 'It', 'just', 'feels', 'cold', 'because', ""you're"", 'so', 'hot']"
19	MOTHER: Susan, stay with me. Susan. 	Сьюзан, не уходи. Сьюзан. 	['Сьюзан', 'не', 'уходи', 'Сьюзан']	['MOTHER', 'Susan', 'stay', 'with', 'me', 'Susan']
20	MOTHER: Susan! 	Сьюзан! 	['Сьюзан']	['MOTHER', 'Susan']
21	DOCTOR: Has she been disoriented? Confused? 	Она была не в себе? Бредила? 	['Она', 'была', 'не', 'в', 'себе', 'Бредила']	['DOCTOR', 'Has', 'she', 'been', 'disoriented', 'Confused']
22	MOTHER: She said that she saw a man in her bedroom. 	Она сказала, что видела мужчину около своей кровати. 	['Она', 'сказала', 'что', 'видела', 'мужчину', 'около', 'своей', 'кровати']	['MOTHER', 'She', 'said', 'that', 'she', 'saw', 'a', 'man', 'in', 'her', 'bedroom']
23	Are you cold? 	Тебе холодно? 	['Тебе', 'холодно']	['Are', 'you', 'cold']
