	en	ru	ru_tokens	en_tokens
0	A beginning is a very delicate time. 	Время, определяющее начало, весьма условно. 	['Время', 'определяющее', 'начало', 'весьма', 'условно']	['A', 'beginning', 'is', 'a', 'very', 'delicate', 'time']
1	Know then, that it is the year 10,191. 	Хотя известно, что шел год 10191. 	['Хотя', 'известно', 'что', 'шел', 'год', '10191']	['Know', 'then', 'that', 'it', 'is', 'the', 'year', '10,191']
2	The known universe is ruled by the Padishah Emperor Shaddam the Fourth, 	Вселенная управлялась Императором Шахом Саддамом Четвертым, 	['Вселенная', 'управлялась', 'Императором', 'Шахом', 'Саддамом', 'Четвертым']	['The', 'known', 'universe', 'is', 'ruled', 'by', 'the', 'Padishah', 'Emperor', 'Shaddam', 'the', 'Fourth']
3	my father. 	моим отцом. 	['моим', 'отцом']	['my', 'father']
4	In this time, the most precious substance in the universe... 	В это время самым ценным веществом во вселенной... 	['В', 'это', 'время', 'самым', 'ценным', 'веществом', 'во', 'вселенной']	['In', 'this', 'time', 'the', 'most', 'precious', 'substance', 'in', 'the', 'universe']
5	is the spice, melange. 	считалась пряность - меланж. 	['считалась', 'пряность', 'меланж']	['is', 'the', 'spice', 'melange']
6	The spice extends life. 	Меланж продлевает жизнь. 	['Меланж', 'продлевает', 'жизнь']	['The', 'spice', 'extends', 'life']
7	The spice expands consciousness. 	Меланж расширяет сознание. 	['Меланж', 'расширяет', 'сознание']	['The', 'spice', 'expands', 'consciousness']
8	The spice is vital to space travel. 	Меланж необходим для космических путешествий. 	['Меланж', 'необходим', 'для', 'космических', 'путешествий']	['The', 'spice', 'is', 'vital', 'to', 'space', 'travel']
9	The Spacing Guild and its navigators, 	Космическая Гильдия и ее навигаторы, 	['Космическая', 'Гильдия', 'и', 'ее', 'навигаторы']	['The', 'Spacing', 'Guild', 'and', 'its', 'navigators']
10	who the spice has mutated over 4,000 years, 	наблюдавшие за мутациями пряности, более 4000 лет, 	['наблюдавшие', 'за', 'мутациями', 'пряности', 'более', '4000', 'лет']	['who', 'the', 'spice', 'has', 'mutated', 'over', '4,000', 'years']
11	use the orange spice gas, 	используют выделяемый ею оранжевый газ, 	['используют', 'выделяемый', 'ею', 'оранжевый', 'газ']	['use', 'the', 'orange', 'spice', 'gas']
12	which gives them the ability to fold space. 	который дает возможность сжимать пространство. 	['который', 'дает', 'возможность', 'сжимать', 'пространство']	['which', 'gives', 'them', 'the', 'ability', 'to', 'fold', 'space']
13	That is, travel to any part of the universe... 	С его помощью они путешествуют в любую часть вселенной... 	['С', 'его', 'помощью', 'они', 'путешествуют', 'в', 'любую', 'часть', 'вселенной']	['That', 'is', 'travel', 'to', 'any', 'part', 'of', 'the', 'universe']
14	without moving. 	без движения. 	['без', 'движения']	['without', 'moving']
15	Oh, yes. 	О, да. 	['О', 'да']	['Oh', 'yes']
16	I forgot to tell you. 	Я забыла сказать вам. 	['Я', 'забыла', 'сказать', 'вам']	['I', 'forgot', 'to', 'tell', 'you']
17	The spice exists on only one planet in the entire universe. 	Пряность существует только на одной планете вселенной. 	['Пряность', 'существует', 'только', 'на', 'одной', 'планете', 'вселенной']	['The', 'spice', 'exists', 'on', 'only', 'one', 'planet', 'in', 'the', 'entire', 'universe']
18	A desolate, dry planet with vast deserts. 	Заброшенной, сухой планете с обширными пустынями. 	['Заброшенной', 'сухой', 'планете', 'с', 'обширными', 'пустынями']	['A', 'desolate', 'dry', 'planet', 'with', 'vast', 'deserts']
19	Hidden away within the rocks of these deserts are a people known as the Fremen, 	В скалах, разбросанных по пустыням, прячутся люди - Фремены, 	['В', 'скалах', 'разбросанных', 'по', 'пустыням', 'прячутся', 'люди', 'Фремены']	['Hidden', 'away', 'within', 'the', 'rocks', 'of', 'these', 'deserts', 'are', 'a', 'people', 'known', 'as', 'the', 'Fremen']
20	who have long held a prophecy... 	у которых с давних пор существует пророчество... 	['у', 'которых', 'с', 'давних', 'пор', 'существует', 'пророчество']	['who', 'have', 'long', 'held', 'a', 'prophecy']
21	that a man would come, 	что явится человек, 	['что', 'явится', 'человек']	['that', 'a', 'man', 'would', 'come']
22	a messiah, 	мессия, 	['мессия']	['a', 'messiah']
23	who would lead them to true freedom. 	который поведет их к истинной свободе. 	['который', 'поведет', 'их', 'к', 'истинной', 'свободе']	['who', 'would', 'lead', 'them', 'to', 'true', 'freedom']
24	The planet is Arrakis, 	Планета называется Арракис, 	['Планета', 'называется', 'Арракис']	['The', 'planet', 'is', 'Arrakis']
25	also known as Dune. [ Wind Howling ] 	известная также как Дюна. 	['известная', 'также', 'как', 'Дюна']	['also', 'known', 'as', 'Dune', 'Wind', 'Howling']
26	A secret report within the Guild. 	Секретный доклад для Гильдии. 	['Секретный', 'доклад', 'для', 'Гильдии']	['A', 'secret', 'report', 'within', 'the', 'Guild']
27	Four planets have come to our attention... 	Четыре планеты привлекли наше внимание из-за... 	['Четыре', 'планеты', 'привлекли', 'наше', 'внимание', 'из-за']	['Four', 'planets', 'have', 'come', 'to', 'our', 'attention']
28	regarding a plot which could jeopardize spice production. 	возможного заговора, угрожающего производству меланжа. 	['возможного', 'заговора', 'угрожающего', 'производству', 'меланжа']	['regarding', 'a', 'plot', 'which', 'could', 'jeopardize', 'spice', 'production']
29	Planet Arrakis, source of the spice. 	Планета Арракис, источник меланжа, 	['Планета', 'Арракис', 'источник', 'меланжа']	['Planet', 'Arrakis', 'source', 'of', 'the', 'spice']
30	Planet Caladan, home of House Atreides. 	Планета Каладан - резиденция Дома Атрейдиса. 	['Планета', 'Каладан', 'резиденция', 'Дома', 'Атрейдиса']	['Planet', 'Caladan', 'home', 'of', 'House', 'Atreides']
31	Planet Giedi Prime, home of House Harkonnen. 	Планета Гиди Прайм - резиденция Дома Харконнена. 	['Планета', 'Гиди', 'Прайм', 'резиденция', 'Дома', 'Харконнена']	['Planet', 'Giedi', 'Prime', 'home', 'of', 'House', 'Harkonnen']
32	Planet Kaitain, home of the Emperor of the known universe. 	Планета Кайтэйн - резиденция Императора Вселенной. 	['Планета', 'Кайтэйн', 'резиденция', 'Императора', 'Вселенной']	['Planet', 'Kaitain', 'home', 'of', 'the', 'Emperor', 'of', 'the', 'known', 'universe']
33	Send a third-stage guild navigator to Kaitain... 	Пошлите навигатора третьей ступени на Кайтэйн... 	['Пошлите', 'навигатора', 'третьей', 'ступени', 'на', 'Кайтэйн']	['Send', 'a', 'third-stage', 'guild', 'navigator', 'to', 'Kaitain']
34	to demand details from the Emperor. 	чтобы он выяснил детали у Императора. 	['чтобы', 'он', 'выяснил', 'детали', 'у', 'Императора']	['to', 'demand', 'details', 'from', 'the', 'Emperor']
35	The spice must flow. [ Voices, lndistinct ] 	Меланж должен поступать. 	['Меланж', 'должен', 'поступать']	['The', 'spice', 'must', 'flow', 'Voices', 'lndistinct']
36	- Father, - Irulan, you must leave. 	- Отец. - Ирулан, ты должна уйти. 	['Отец', 'Ирулан', 'ты', 'должна', 'уйти']	['Father', 'Irulan', 'you', 'must', 'leave']
37	A third-stage guild navigator... 	Навигатор третьей ступени... 	['Навигатор', 'третьей', 'ступени']	['A', 'third-stage', 'guild', 'navigator']
38	will be here within minutes. 	прибудет с минуты на минуту. 	['прибудет', 'с', 'минуты', 'на', 'минуту']	['will', 'be', 'here', 'within', 'minutes']
39	We felt his presence. 	Мы ощутили его присутствие. 	['Мы', 'ощутили', 'его', 'присутствие']	['We', 'felt', 'his', 'presence']
40	I shall want telepathy during his visit... and a report when we're finished. 	Во время его визита должна осуществляться... телепатическая связь, и когда мы закончим, я жду доклада. 	['Во', 'время', 'его', 'визита', 'должна', 'осуществляться', 'телепатическая', 'связь', 'и', 'когда', 'мы', 'закончим', 'я', 'жду', 'доклада']	"['I', 'shall', 'want', 'telepathy', 'during', 'his', 'visit', 'and', 'a', 'report', 'when', ""we're"", 'finished']"
41	I am your Truthsayer, my lord. 	Я ваш преданный Оракул, мой Господин. 	['Я', 'ваш', 'преданный', 'Оракул', 'мой', 'Господин']	['I', 'am', 'your', 'Truthsayer', 'my', 'lord']
42	He's here, my lord. 	Он здесь, мой Господин. 	['Он', 'здесь', 'мой', 'Господин']	"[""He's"", 'here', 'my', 'lord']"
43	The Bene Gesserit witch must leave. 	Колдунья Бене Джессерит должна уйти. 	['Колдунья', 'Бене', 'Джессерит', 'должна', 'уйти']	['The', 'Bene', 'Gesserit', 'witch', 'must', 'leave']
44	Leave us. 	Оставь нас. 	['Оставь', 'нас']	['Leave', 'us']
45	Yes, my lord. 	Слушаюсь, мой Господин. 	['Слушаюсь', 'мой', 'Господин']	['Yes', 'my', 'lord']
46	We are alone. [ Breathing ] 	Мы одни. 	['Мы', 'одни']	['We', 'are', 'alone', 'Breathing']
47	- We have just folded space from lx. - Yes ? 	- Мы сжали пространство до Х. - Да? 	['Мы', 'сжали', 'пространство', 'до', 'Х', 'Да']	['We', 'have', 'just', 'folded', 'space', 'from', 'lx', 'Yes']
48	How was your journey ? 	Как прошло путешествие? 	['Как', 'прошло', 'путешествие']	['How', 'was', 'your', 'journey']
49	Many machines on lx. New machines. 	На Х много машин. Новых машин. 	['На', 'Х', 'много', 'машин', 'Новых', 'машин']	['Many', 'machines', 'on', 'lx', 'New', 'machines']
50	Oh ? Yes. 	О? Да. 	['О', 'Да']	['Oh', 'Yes']
51	Better than those on Richese. 	Лучше тех, что есть на Ричез. 	['Лучше', 'тех', 'что', 'есть', 'на', 'Ричез']	['Better', 'than', 'those', 'on', 'Richese']
52	You are transparent. I see many things. 	Ты прозрачен. Я вижу множество вещей. 	['Ты', 'прозрачен', 'Я', 'вижу', 'множество', 'вещей']	['You', 'are', 'transparent', 'I', 'see', 'many', 'things']
53	I see plans within plans. 	Я вижу планы внутри планов. 	['Я', 'вижу', 'планы', 'внутри', 'планов']	['I', 'see', 'plans', 'within', 'plans']
54	I see two great houses, 	Я вижу два великих дома, 	['Я', 'вижу', 'два', 'великих', 'дома']	['I', 'see', 'two', 'great', 'houses']
55	House Atreides, House Harkonnen, feuding. 	Дом Атрейдиса и Дом Харконнена, враждующих между собой. 	['Дом', 'Атрейдиса', 'и', 'Дом', 'Харконнена', 'враждующих', 'между', 'собой']	['House', 'Atreides', 'House', 'Harkonnen', 'feuding']
56	- I see you behind it. - Yes. 	- Я вижу тебя за этим. - Да. 	['Я', 'вижу', 'тебя', 'за', 'этим', 'Да']	['I', 'see', 'you', 'behind', 'it', 'Yes']
57	You must share with us. 	Ты должен поделиться с нами. 	['Ты', 'должен', 'поделиться', 'с', 'нами']	['You', 'must', 'share', 'with', 'us']
58	The Atreides House is building a secret army... 	Дом Атрейдиса создает тайную армию... 	['Дом', 'Атрейдиса', 'создает', 'тайную', 'армию']	['The', 'Atreides', 'House', 'is', 'building', 'a', 'secret', 'army']
59	using a technique unknown to us. 	использую неизвестную нам технику. 	['использую', 'неизвестную', 'нам', 'технику']	['using', 'a', 'technique', 'unknown', 'to', 'us']
60	A technique involving sound. 	Технику, в основе которой лежит звук. 	['Технику', 'в', 'основе', 'которой', 'лежит', 'звук']	['A', 'technique', 'involving', 'sound']
61	The duke is becoming more popular in the Landsraad. 	Герцог становится все более популярен на Ландсрааде. 	['Герцог', 'становится', 'все', 'более', 'популярен', 'на', 'Ландсрааде']	['The', 'duke', 'is', 'becoming', 'more', 'popular', 'in', 'the', 'Landsraad']
62	He could threaten me. 	Он может стать опасен для меня. 	['Он', 'может', 'стать', 'опасен', 'для', 'меня']	['He', 'could', 'threaten', 'me']
63	I have ordered House Atreides to occupy Arrakis to mine the spice, 	Я приказал Дому Атрейдиса оккупировать Арракис и заняться... 	['Я', 'приказал', 'Дому', 'Атрейдиса', 'оккупировать', 'Арракис', 'и', 'заняться']	['I', 'have', 'ordered', 'House', 'Atreides', 'to', 'occupy', 'Arrakis', 'to', 'mine', 'the', 'spice']
