	en	ru	ru_tokens	en_tokens
0	- Captain. - Yes, sir? 	Капитан. Да, сэр? 	['Капитан', 'Да', 'сэр']	['Captain', 'Yes', 'sir']
1	Tell them we wish to board at once. 	Передайте, что мы желаем подняться на борт немедленно. 	['Передайте', 'что', 'мы', 'желаем', 'подняться', 'на', 'борт', 'немедленно']	['Tell', 'them', 'we', 'wish', 'to', 'board', 'at', 'once']
2	With all due respect... 	Со всем почтением. 	['Со', 'всем', 'почтением']	['With', 'all', 'due', 'respect']
3	the ambassadors for the supreme chancellor wish to board immediately. 	послы верховного канцлера желают подняться на борт немедля. 	['послы', 'верховного', 'канцлера', 'желают', 'подняться', 'на', 'борт', 'немедля']	['the', 'ambassadors', 'for', 'the', 'supreme', 'chancellor', 'wish', 'to', 'board', 'immediately']
4	Yes, of course. 	конечно. 	['конечно']	['Yes', 'of', 'course']
5	As you know, our blockade is perfectly legal... 	Как вам известно, наша блокада является совершенно законной... 	['Как', 'вам', 'известно', 'наша', 'блокада', 'является', 'совершенно', 'законной']	['As', 'you', 'know', 'our', 'blockade', 'is', 'perfectly', 'legal']
6	and we'd be happy to receive the ambassadors. 	и мы с радостью примем послов. 	['и', 'мы', 'с', 'радостью', 'примем', 'послов']	"['and', ""we'd"", 'be', 'happy', 'to', 'receive', 'the', 'ambassadors']"
7	I'm TC-1 4 at your service. 	Я, ТС-14, в вашем распоряжении. 	['Я', 'ТС-14', 'в', 'вашем', 'распоряжении']	"[""I'm"", 'TC-1', '4', 'at', 'your', 'service']"
8	This way, please. 	Сюда, прошу вас. 	['Сюда', 'прошу', 'вас']	['This', 'way', 'please']
9	We are greatly honoured by your visit, Ambassadors. 	Нам в высшей степени лестен ваш визит, господа послы. 	['Нам', 'в', 'высшей', 'степени', 'лестен', 'ваш', 'визит', 'господа', 'послы']	['We', 'are', 'greatly', 'honoured', 'by', 'your', 'visit', 'Ambassadors']
10	Make yourselves comfortable. 	Располагайтесь поудобней. 	['Располагайтесь', 'поудобней']	['Make', 'yourselves', 'comfortable']
11	My master will be with you shortly. 	Мой господин вскоре примет вас. 	['Мой', 'господин', 'вскоре', 'примет', 'вас']	['My', 'master', 'will', 'be', 'with', 'you', 'shortly']
12	I have a bad feeling about this. 	У меня нехорошее чувство. 	['У', 'меня', 'нехорошее', 'чувство']	['I', 'have', 'a', 'bad', 'feeling', 'about', 'this']
13	- I don't sense anything. - It's not about the mission, Master. 	- Странно, я не ощущаю ничего. - Дело не в миссии, учитель. 	['Странно', 'я', 'не', 'ощущаю', 'ничего', 'Дело', 'не', 'в', 'миссии', 'учитель']	"['I', ""don't"", 'sense', 'anything', ""It's"", 'not', 'about', 'the', 'mission', 'Master']"
14	It's something elsewhere, elusive. 	Тут что-то другое, трудноуловимое. 	['Тут', 'что-то', 'другое', 'трудноуловимое']	"[""It's"", 'something', 'elsewhere', 'elusive']"
15	Don't centre on your anxieties, Obi-Wan. 	Не сосредоточивайся на своих страхах, Оби-Ван. 	['Не', 'сосредоточивайся', 'на', 'своих', 'страхах', 'Оби-Ван']	"[""Don't"", 'centre', 'on', 'your', 'anxieties', 'Obi-Wan']"
16	Keep your concentration here and now, where it belongs. 	Тебе следует сосредоточиться на текущем моменте. 	['Тебе', 'следует', 'сосредоточиться', 'на', 'текущем', 'моменте']	['Keep', 'your', 'concentration', 'here', 'and', 'now', 'where', 'it', 'belongs']
17	But Master Yoda said I should be mindful of the future. 	Но магистр Йода говорит, что я должен держать в уме будущее. 	['Но', 'магистр', 'Йода', 'говорит', 'что', 'я', 'должен', 'держать', 'в', 'уме', 'будущее']	['But', 'Master', 'Yoda', 'said', 'I', 'should', 'be', 'mindful', 'of', 'the', 'future']
18	But not at the expense of the moment. 	Да, но не забывая о настоящем. 	['Да', 'но', 'не', 'забывая', 'о', 'настоящем']	['But', 'not', 'at', 'the', 'expense', 'of', 'the', 'moment']
19	Be mindful of the living Force, young Padawan. 	Всегда помни о жизненной Силе, юный падаван. 	['Всегда', 'помни', 'о', 'жизненной', 'Силе', 'юный', 'падаван']	['Be', 'mindful', 'of', 'the', 'living', 'Force', 'young', 'Padawan']
20	Yes, Master. 	Да, учитель. 	['Да', 'учитель']	['Yes', 'Master']
21	How do you think this trade viceroy will deal with the chancellor's demands? 	Как, по-вашему, торговый наместник ответит на требования канцлера? 	['Как', 'по-вашему', 'торговый', 'наместник', 'ответит', 'на', 'требования', 'канцлера']	"['How', 'do', 'you', 'think', 'this', 'trade', 'viceroy', 'will', 'deal', 'with', 'the', ""chancellor's"", 'demands']"
22	These Federation types are cowards. 	Эти типы из Федерации - трусы. 	['Эти', 'типы', 'из', 'Федерации', 'трусы']	['These', 'Federation', 'types', 'are', 'cowards']
23	The negotiations will be short. 	Переговоры будут краткими. 	['Переговоры', 'будут', 'краткими']	['The', 'negotiations', 'will', 'be', 'short']
24	What? What did you say? 	Что? Что ты сказал? 	['Что', 'Что', 'ты', 'сказал']	['What', 'What', 'did', 'you', 'say']
25	The ambassadors are Jedi knights, I believe. 	По-моему, эти послы - джедаи. 	['По-моему', 'эти', 'послы', 'джедаи']	['The', 'ambassadors', 'are', 'Jedi', 'knights', 'I', 'believe']
26	I knew it. 	Я так и знал. 	['Я', 'так', 'и', 'знал']	['I', 'knew', 'it']
27	They're here to force a settlement. 	Они прибыли, чтобы навязать нам соглашение. 	['Они', 'прибыли', 'чтобы', 'навязать', 'нам', 'соглашение']	"[""They're"", 'here', 'to', 'force', 'a', 'settlement']"
