	en	ru	ru_tokens	en_tokens
0	Katie! 	Кэти! 	['Кэти']	['Katie']
1	Cora! 	Кора! 	['Кора']	['Cora']
2	You love your sister? 	Ты любишь свою сестру? 	['Ты', 'любишь', 'свою', 'сестру']	['You', 'love', 'your', 'sister']
3	You make any noise, you know what happens. 	Будешь шуметь, ты знаешь что произойдёт. 	['Будешь', 'шуметь', 'ты', 'знаешь', 'что', 'произойдёт']	['You', 'make', 'any', 'noise', 'you', 'know', 'what', 'happens']
4	Good morning, Estelle. 	Доброе утро, Эстелл. 	['Доброе', 'утро', 'Эстелл']	['Good', 'morning', 'Estelle']
5	-How am I looking, Paul? -That`s better. That`s better. 	- Как я выгляжу,Пол? - Лучше. Лучше. 	['Как', 'я', 'выгляжу,Пол', 'Лучше', 'Лучше']	['How', 'am', 'I', 'looking', 'Paul', 'That`s', 'better', 'That`s', 'better']
6	Morning, Mr. Edgecomb. 	Доброе утро, Мистер Эджкомб. 	['Доброе', 'утро', 'Мистер', 'Эджкомб']	['Morning', 'Mr', 'Edgecomb']
7	Some Danish? 	Немного Датского? 	['Немного', 'Датского']	['Some', 'Danish']
8	No, just two pieces of dry toast, Hector. Thanks. 	Нет, только пару сухих тостов,Гектор.Спасибо. 	['Нет', 'только', 'пару', 'сухих', 'тостов,Гектор.Спасибо']	['No', 'just', 'two', 'pieces', 'of', 'dry', 'toast', 'Hector', 'Thanks']
9	Leftover`s fine. 	Штраф недоедающих. 	['Штраф', 'недоедающих']	['Leftover`s', 'fine']
10	Dry and cold, same as always. 	Сухие и холодные, как всегда. 	['Сухие', 'и', 'холодные', 'как', 'всегда']	['Dry', 'and', 'cold', 'same', 'as', 'always']
11	Cold is better. 	Чем холоднее,тем лучше. 	['Чем', 'холоднее,тем', 'лучше']	['Cold', 'is', 'better']
12	Especially on those long walks. 	Особенно на этих долгих прогулках. 	['Особенно', 'на', 'этих', 'долгих', 'прогулках']	['Especially', 'on', 'those', 'long', 'walks']
13	Am I right? 	Я прав? 	['Я', 'прав']	['Am', 'I', 'right']
14	Don`t let Nurse Godzilla catch you. She`ll raise holy hell. 	Не позволяйте Сестре Годзилле поймать вас. Она будет рвать и метать. 	['Не', 'позволяйте', 'Сестре', 'Годзилле', 'поймать', 'вас', 'Она', 'будет', 'рвать', 'и', 'метать']	['Don`t', 'let', 'Nurse', 'Godzilla', 'catch', 'you', 'She`ll', 'raise', 'holy', 'hell']
15	We`re not supposed to let you wander off. 	Нам не пологаеться позволять вам блуждать. 	['Нам', 'не', 'пологаеться', 'позволять', 'вам', 'блуждать']	['We`re', 'not', 'supposed', 'to', 'let', 'you', 'wander', 'off']
16	Where do you go every day? What do you do up in those hills? 	Куда вы ходите каждый день? Что вы делаете на этих холмах? 	['Куда', 'вы', 'ходите', 'каждый', 'день', 'Что', 'вы', 'делаете', 'на', 'этих', 'холмах']	['Where', 'do', 'you', 'go', 'every', 'day', 'What', 'do', 'you', 'do', 'up', 'in', 'those', 'hills']
17	Just walk. 	Просто гуляю. 	['Просто', 'гуляю']	['Just', 'walk']
18	I like to walk. 	Я люблю гулять. 	['Я', 'люблю', 'гулять']	['I', 'like', 'to', 'walk']
19	Try not to fall down, bust a hip. 	Постарайся не упасть и не переломать кости. 	['Постарайся', 'не', 'упасть', 'и', 'не', 'переломать', 'кости']	['Try', 'not', 'to', 'fall', 'down', 'bust', 'a', 'hip']
20	I don`t wanna be in no damn search party. 	Я не хочу быть в никакой чёртовой поисковой группе. 	['Я', 'не', 'хочу', 'быть', 'в', 'никакой', 'чёртовой', 'поисковой', 'группе']	['I', 'don`t', 'wanna', 'be', 'in', 'no', 'damn', 'search', 'party']
21	You want this man in your life? Explain the moral basis of that. 	Ты хочешь этого человека в своей жизни? Объясни причину. 	['Ты', 'хочешь', 'этого', 'человека', 'в', 'своей', 'жизни', 'Объясни', 'причину']	['You', 'want', 'this', 'man', 'in', 'your', 'life', 'Explain', 'the', 'moral', 'basis', 'of', 'that']
22	I`ve made mistakes. 	Я делала ошибки. 	['Я', 'делала', 'ошибки']	['I`ve', 'made', 'mistakes']
23	Tony doesn`t admit that he`s not a good father. 	Тони не признаётся что он не хороший отец. 	['Тони', 'не', 'признаётся', 'что', 'он', 'не', 'хороший', 'отец']	['Tony', 'doesn`t', 'admit', 'that', 'he`s', 'not', 'a', 'good', 'father']
24	You can`t ask nothing. I have six kids myself. 	Ты не можешь ничего спрашивать. У меня самой шесть детей. 	['Ты', 'не', 'можешь', 'ничего', 'спрашивать', 'У', 'меня', 'самой', 'шесть', 'детей']	['You', 'can`t', 'ask', 'nothing', 'I', 'have', 'six', 'kids', 'myself']
25	Why do we always watch this stuff? 	Почему мы всегда смотрим эту чушь? 	['Почему', 'мы', 'всегда', 'смотрим', 'эту', 'чушь']	['Why', 'do', 'we', 'always', 'watch', 'this', 'stuff']
26	It`s interesting. 	Это интересно. 	['Это', 'интересно']	['It`s', 'interesting']
27	Interesting? Bunch of inbred trailer trash? 	Интересно? Сборище прирождённых дегенератов? 	['Интересно', 'Сборище', 'прирождённых', 'дегенератов']	['Interesting', 'Bunch', 'of', 'inbred', 'trailer', 'trash']
28	All they ever talk about is fucking. 	Всё о чём они всё время говорят это траханье. 	['Всё', 'о', 'чём', 'они', 'всё', 'время', 'говорят', 'это', 'траханье']	['All', 'they', 'ever', 'talk', 'about', 'is', 'fucking']
29	Are you all right? 	Ты в порядке? 	['Ты', 'в', 'порядке']	['Are', 'you', 'all', 'right']
30	You look tired. You`re not yourself. 	Ты выглядишь уставшим.Ты сам не свой. 	['Ты', 'выглядишь', 'уставшим.Ты', 'сам', 'не', 'свой']	['You', 'look', 'tired', 'You`re', 'not', 'yourself']
31	No, I`m fine. I promise. 	Нет,я в порядке.Я обещаю. 	['Нет,я', 'в', 'порядке.Я', 'обещаю']	['No', 'I`m', 'fine', 'I', 'promise']
32	You`re wearing yourself out with those walks every day, I think. 	Ты утомляешь себя этими каждо-дневными прогулками. 	['Ты', 'утомляешь', 'себя', 'этими', 'каждо-дневными', 'прогулками']	['You`re', 'wearing', 'yourself', 'out', 'with', 'those', 'walks', 'every', 'day', 'I', 'think']
33	Not that you asked me. 	Не то что ты меня спрашиваешь... 	['Не', 'то', 'что', 'ты', 'меня', 'спрашиваешь']	['Not', 'that', 'you', 'asked', 'me']
34	I just didn`t sleep well, is all. 	Я просто плохо спал,это всё. 	['Я', 'просто', 'плохо', 'спал,это', 'всё']	['I', 'just', 'didn`t', 'sleep', 'well', 'is', 'all']
