	en	ru	ru_tokens	en_tokens
0	Subtitles downloaded from www.OpenSubtitles.org 	Subtitles downloaded from www.OpenSubtitles.org 	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']	['Subtitles', 'downloaded', 'from', 'www.OpenSubtitles.org']
1	So you want me to tell you the story of my life. 	Так ты хочешь чтобы я рассказал тебе историю моей жизни. 	['Так', 'ты', 'хочешь', 'чтобы', 'я', 'рассказал', 'тебе', 'историю', 'моей', 'жизни']	['So', 'you', 'want', 'me', 'to', 'tell', 'you', 'the', 'story', 'of', 'my', 'life']
2	Like I said, that's what I do. I interview people. 	Как я сказал, это то чем я занимаюсь. Я беру у людей интервью. 	['Как', 'я', 'сказал', 'это', 'то', 'чем', 'я', 'занимаюсь', 'Я', 'беру', 'у', 'людей', 'интервью']	"['Like', 'I', 'said', ""that's"", 'what', 'I', 'do', 'I', 'interview', 'people']"
3	I'm a collector of lives. 	Я коллекционирую биографии. 	['Я', 'коллекционирую', 'биографии']	"[""I'm"", 'a', 'collector', 'of', 'lives']"
4	FM radio, KFRC. 	FM радио, KFRC. 	['FM', 'радио', 'KFRC']	['FM', 'radio', 'KFRC']
5	You'll need a lot of tape for my story. 	Тебе потребуется много пленки для моей истории. 	['Тебе', 'потребуется', 'много', 'пленки', 'для', 'моей', 'истории']	"[""You'll"", 'need', 'a', 'lot', 'of', 'tape', 'for', 'my', 'story']"
6	No problem. I got a bag full of tape. 	Нет проблем. У меня полная сумка пленки. 	['Нет', 'проблем', 'У', 'меня', 'полная', 'сумка', 'пленки']	['No', 'problem', 'I', 'got', 'a', 'bag', 'full', 'of', 'tape']
7	You followed me here, didn't you? 	Ты следил за мной, не так ли? 	['Ты', 'следил', 'за', 'мной', 'не', 'так', 'ли']	"['You', 'followed', 'me', 'here', ""didn't"", 'you']"
8	Yeah, I suppose I did. 	Да, я полагаю, следил. 	['Да', 'я', 'полагаю', 'следил']	['Yeah', 'I', 'suppose', 'I', 'did']
9	You seemed very interesting. 	Вы казались очень интересным. 	['Вы', 'казались', 'очень', 'интересным']	['You', 'seemed', 'very', 'interesting']
10	This is where you live? 	Вы здесь живете? 	['Вы', 'здесь', 'живете']	['This', 'is', 'where', 'you', 'live']
11	No. 	Нет. 	['Нет']	['No']
12	It's just a room. 	Это просто комната. 	['Это', 'просто', 'комната']	"[""It's"", 'just', 'a', 'room']"
13	What do you say we get started? 	Так говорите мы можем начинать? 	['Так', 'говорите', 'мы', 'можем', 'начинать']	['What', 'do', 'you', 'say', 'we', 'get', 'started']
14	What do you do? 	Итак, чем вы занимаетесь? 	['Итак', 'чем', 'вы', 'занимаетесь']	['What', 'do', 'you', 'do']
15	I'm a vampire. 	Я - вампир. 	['Я', 'вампир']	"[""I'm"", 'a', 'vampire']"
16	I haven't heard that before. 	Я такого еще не слышал. 	['Я', 'такого', 'еще', 'не', 'слышал']	"['I', ""haven't"", 'heard', 'that', 'before']"
17	You mean this literally, I take it? 	Вы имеете это ввиду буквально,я использую это? 	['Вы', 'имеете', 'это', 'ввиду', 'буквально,я', 'использую', 'это']	['You', 'mean', 'this', 'literally', 'I', 'take', 'it']
18	Absolutely. 	Безусловно. 	['Безусловно']	['Absolutely']
19	I was waiting for you in that alley. 	Я ждал тебя в переулке. 	['Я', 'ждал', 'тебя', 'в', 'переулке']	['I', 'was', 'waiting', 'for', 'you', 'in', 'that', 'alley']
20	Watching you watching me. 	Наблюдая как ты следишь за мной. 	['Наблюдая', 'как', 'ты', 'следишь', 'за', 'мной']	['Watching', 'you', 'watching', 'me']
21	And then you began to speak. 	И тогда ты заговорил. 	['И', 'тогда', 'ты', 'заговорил']	['And', 'then', 'you', 'began', 'to', 'speak']
22	What a lucky break for me. 	Что явилось удачной случайностю для меня. 	['Что', 'явилось', 'удачной', 'случайностю', 'для', 'меня']	['What', 'a', 'lucky', 'break', 'for', 'me']
23	Perhaps lucky for both of us. 	Возможо удачной для нас обоих. 	['Возможо', 'удачной', 'для', 'нас', 'обоих']	['Perhaps', 'lucky', 'for', 'both', 'of', 'us']
24	You said you were... 	Вы сказали, вы... 	['Вы', 'сказали', 'вы']	['You', 'said', 'you', 'were']
25	...waiting for me. 	...ожидали меня. 	['ожидали', 'меня']	['waiting', 'for', 'me']
26	What were you going to do? Kill me, drink my blood? 	Что вы собирались сделать? Убить меня и выпить мою кровь? 	['Что', 'вы', 'собирались', 'сделать', 'Убить', 'меня', 'и', 'выпить', 'мою', 'кровь']	['What', 'were', 'you', 'going', 'to', 'do', 'Kill', 'me', 'drink', 'my', 'blood']
27	Yes. 	Да. 	['Да']	['Yes']
28	But you needn't be concerned now. 	Но теперь ты можешь не волноваться по этому поводу. 	['Но', 'теперь', 'ты', 'можешь', 'не', 'волноваться', 'по', 'этому', 'поводу']	"['But', 'you', ""needn't"", 'be', 'concerned', 'now']"
29	You really believe this, don't you, that you're a vampire? 	Вы действительно верите в это, неправда ли, в то что вы вампир? 	['Вы', 'действительно', 'верите', 'в', 'это', 'неправда', 'ли', 'в', 'то', 'что', 'вы', 'вампир']	"['You', 'really', 'believe', 'this', ""don't"", 'you', 'that', ""you're"", 'a', 'vampire']"
30	We can't begin this way. 	Мы не можем начинать разговор с этого. 	['Мы', 'не', 'можем', 'начинать', 'разговор', 'с', 'этого']	"['We', ""can't"", 'begin', 'this', 'way']"
31	Let me turn on the light. 	Позволь я включу свет. 	['Позволь', 'я', 'включу', 'свет']	['Let', 'me', 'turn', 'on', 'the', 'light']
32	I thought vampires didn't like light. - We love it. 	-Я думал вампирам не нравился свет. -Мы любим его. 	['Я', 'думал', 'вампирам', 'не', 'нравился', 'свет', 'Мы', 'любим', 'его']	"['I', 'thought', 'vampires', ""didn't"", 'like', 'light', 'We', 'love', 'it']"
33	I only wanted to prepare you. 	Я только хотел подготовить тебя. 	['Я', 'только', 'хотел', 'подготовить', 'тебя']	['I', 'only', 'wanted', 'to', 'prepare', 'you']
34	Christ. 	Господи! 	['Господи']	['Christ']
35	Don't be frightened. 	Не пугайся. 	['Не', 'пугайся']	"[""Don't"", 'be', 'frightened']"
