	en	ru	ru_tokens	en_tokens
0	# From the day we arrive 	Со дня, когда мы появились 	['Со', 'дня', 'когда', 'мы', 'появились']	['From', 'the', 'day', 'we', 'arrive']
1	# On the planet 	на этой планете 	['на', 'этой', 'планете']	['On', 'the', 'planet']
2	# And, blinking, step into the sun 	и, сощурясь, взглянули на солнечный свет, 	['и', 'сощурясь', 'взглянули', 'на', 'солнечный', 'свет']	['And', 'blinking', 'step', 'into', 'the', 'sun']
3	# There's more to see 	столько нужно увидеть, 	['столько', 'нужно', 'увидеть']	"[""There's"", 'more', 'to', 'see']"
4	# Than can ever be seen 	всей жизни не хватит, 	['всей', 'жизни', 'не', 'хватит']	['Than', 'can', 'ever', 'be', 'seen']
5	# More to do 	столько всего надо сделать, 	['столько', 'всего', 'надо', 'сделать']	['More', 'to', 'do']
6	# Than can ever be done 	вовек не успеть. 	['вовек', 'не', 'успеть']	['Than', 'can', 'ever', 'be', 'done']
7	# There's far too much 	Слишком много забот 	['Слишком', 'много', 'забот']	"[""There's"", 'far', 'too', 'much']"
8	# To take in here 	в этом мире огромном, 	['в', 'этом', 'мире', 'огромном']	['To', 'take', 'in', 'here']
9	# More to find 	слишком многое нам 	['слишком', 'многое', 'нам']	['More', 'to', 'find']
10	# Than can ever be found 	предстоит обрести. 	['предстоит', 'обрести']	['Than', 'can', 'ever', 'be', 'found']
11	# But the sun rolling high 	Но высокое солнце 	['Но', 'высокое', 'солнце']	['But', 'the', 'sun', 'rolling', 'high']
12	# Through the sapphire sky 	на сапфировом небе 	['на', 'сапфировом', 'небе']	['Through', 'the', 'sapphire', 'sky']
13	# Keeps great and small 	нас, огромных и малых, 	['нас', 'огромных', 'и', 'малых']	['Keeps', 'great', 'and', 'small']
14	# On the endless round 	по нескончаемому кругу ведет 	['по', 'нескончаемому', 'кругу', 'ведет']	['On', 'the', 'endless', 'round']
15	# It's the circIe of Iife 	Этот жизни круг, 	['Этот', 'жизни', 'круг']	"[""It's"", 'the', 'circIe', 'of', 'Iife']"
16	# And it moves us aII 	и он нас ведет 	['и', 'он', 'нас', 'ведет']	['And', 'it', 'moves', 'us', 'aII']
17	# Through despair and hope 	сквозь тоску и надежду, 	['сквозь', 'тоску', 'и', 'надежду']	['Through', 'despair', 'and', 'hope']
18	# Through faith and love 	сквозь любовь и веру, 	['сквозь', 'любовь', 'и', 'веру']	['Through', 'faith', 'and', 'love']
19	# Till we find our place 	пока мы не найдем 	['пока', 'мы', 'не', 'найдем']	['Till', 'we', 'find', 'our', 'place']
20	# On the path unwinding 	свой единственный путь, 	['свой', 'единственный', 'путь']	['On', 'the', 'path', 'unwinding']
21	# In the circIe 	свое место 	['свое', 'место']	['In', 'the', 'circIe']
22	# The circIe of Iife 	в круговороте жизни. 	['в', 'круговороте', 'жизни']	['The', 'circIe', 'of', 'Iife']
23	# It's the circIe of Iife 	Это жизни круг, 	['Это', 'жизни', 'круг']	"[""It's"", 'the', 'circIe', 'of', 'Iife']"
24	# And it moves us aII 	и он нас ведет 	['и', 'он', 'нас', 'ведет']	['And', 'it', 'moves', 'us', 'aII']
25	# Through despair and hope 	сквозь тоску и надежду, 	['сквозь', 'тоску', 'и', 'надежду']	['Through', 'despair', 'and', 'hope']
26	# Through faith and love 	сквозь любовь и веру, 	['сквозь', 'любовь', 'и', 'веру']	['Through', 'faith', 'and', 'love']
27	# Till we find our place 	пока мы не найдем 	['пока', 'мы', 'не', 'найдем']	['Till', 'we', 'find', 'our', 'place']
28	# On the path unwinding 	свой единственный путь, 	['свой', 'единственный', 'путь']	['On', 'the', 'path', 'unwinding']
29	# In the circIe 	свое место 	['свое', 'место']	['In', 'the', 'circIe']
30	# The circIe of Iife 	в круговороте жизни. 	['в', 'круговороте', 'жизни']	['The', 'circIe', 'of', 'Iife']
31	The Lion King (1994) 	КОРОЛЬ-ЛЕВ 	['КОРОЛЬ-ЛЕВ']	['The', 'Lion', 'King', '1994']
32	Life's not fair, is it? 	Жизнь так несправедлива. 	['Жизнь', 'так', 'несправедлива']	"[""Life's"", 'not', 'fair', 'is', 'it']"
33	You see, I... Well, I shall never be king. 	Видишь ли, мне... Мне никогда не стать королем. 	['Видишь', 'ли', 'мне', 'Мне', 'никогда', 'не', 'стать', 'королем']	['You', 'see', 'I', 'Well', 'I', 'shall', 'never', 'be', 'king']
34	And you shall never see the light of another day. 	А тебе... А тебе больше не видеть света дня. 	['А', 'тебе', 'А', 'тебе', 'больше', 'не', 'видеть', 'света', 'дня']	['And', 'you', 'shall', 'never', 'see', 'the', 'light', 'of', 'another', 'day']
35	Adieu. 	Прощай. 	['Прощай']	['Adieu']
36	Didn't your mother ever tell you not to play with your food? 	Разве мама тебе не говорила, что с едой играть нельзя? 	['Разве', 'мама', 'тебе', 'не', 'говорила', 'что', 'с', 'едой', 'играть', 'нельзя']	"[""Didn't"", 'your', 'mother', 'ever', 'tell', 'you', 'not', 'to', 'play', 'with', 'your', 'food']"
37	What do you want? 	Чего тебе? 	['Чего', 'тебе']	['What', 'do', 'you', 'want']
38	I'm here to announce that King Mufasa's on his way, 	Хочу предупредить, что сюда направляется король Муфаса. 	['Хочу', 'предупредить', 'что', 'сюда', 'направляется', 'король', 'Муфаса']	"[""I'm"", 'here', 'to', 'announce', 'that', 'King', ""Mufasa's"", 'on', 'his', 'way']"
39	so you'd better have a good excuse for missing this morning's ceremony. 	Надеюсь, ты пропустил утреннюю церемонию по уважительной причине. 	['Надеюсь', 'ты', 'пропустил', 'утреннюю', 'церемонию', 'по', 'уважительной', 'причине']	"['so', ""you'd"", 'better', 'have', 'a', 'good', 'excuse', 'for', 'missing', 'this', ""morning's"", 'ceremony']"
40	Oh, look, Zazu. 	Ты посмотри, Зазу! 	['Ты', 'посмотри', 'Зазу']	['Oh', 'look', 'Zazu']
41	You've made me lose my lunch. 	Из-за тебя я лишился обеда. 	['Из-за', 'тебя', 'я', 'лишился', 'обеда']	"[""You've"", 'made', 'me', 'lose', 'my', 'lunch']"
42	You'll lose more than that when the king gets through with you. 	Ты лишишься не только обеда, когда король разберется с тобой. 	['Ты', 'лишишься', 'не', 'только', 'обеда', 'когда', 'король', 'разберется', 'с', 'тобой']	"[""You'll"", 'lose', 'more', 'than', 'that', 'when', 'the', 'king', 'gets', 'through', 'with', 'you']"
43	He's as mad as a hippo with a hernia. 	Он разъярен, как бешеный бегемот. 	['Он', 'разъярен', 'как', 'бешеный', 'бегемот']	"[""He's"", 'as', 'mad', 'as', 'a', 'hippo', 'with', 'a', 'hernia']"
44	I quiver with fear! 	Я весь трепещу от страха. 	['Я', 'весь', 'трепещу', 'от', 'страха']	['I', 'quiver', 'with', 'fear']
45	Now, Scar, don't look at me that way. 	Скар, не надо на меня так смотреть! 	['Скар', 'не', 'надо', 'на', 'меня', 'так', 'смотреть']	"['Now', 'Scar', ""don't"", 'look', 'at', 'me', 'that', 'way']"
46	Help! 	Помогите! 	['Помогите']	['Help']
47	- Scar? - Mm-hmm? 	Скар! 	['Скар']	['Scar', 'Mm-hmm']
48	Drop him. 	Отпусти его! 	['Отпусти', 'его']	['Drop', 'him']
49	Impeccable timing, Your Majesty. 	Весьма кстати, Ваше Величество! 	['Весьма', 'кстати', 'Ваше', 'Величество']	['Impeccable', 'timing', 'Your', 'Majesty']
50	Why, if it isn't my big brother descending from on high 	Неужели мой старший брат 	['Неужели', 'мой', 'старший', 'брат']	"['Why', 'if', 'it', ""isn't"", 'my', 'big', 'brother', 'descending', 'from', 'on', 'high']"
51	to mingle with the commoners. 	снизошел до своих подданных? 	['снизошел', 'до', 'своих', 'подданных']	['to', 'mingle', 'with', 'the', 'commoners']
52	Sarabi and I didn't see you at the presentation of Simba. 	Мы с Сараби не видели тебя на явлении Симбы народу. 	['Мы', 'с', 'Сараби', 'не', 'видели', 'тебя', 'на', 'явлении', 'Симбы', 'народу']	"['Sarabi', 'and', 'I', ""didn't"", 'see', 'you', 'at', 'the', 'presentation', 'of', 'Simba']"
53	That was today? 	Разве это было сегодня? 	['Разве', 'это', 'было', 'сегодня']	['That', 'was', 'today']
54	I feel simply awful! 	Ужасно себя чувствую! 	['Ужасно', 'себя', 'чувствую']	['I', 'feel', 'simply', 'awful']
55	Must've slipped my mind. 	Совершенно вылетело из головы! 	['Совершенно', 'вылетело', 'из', 'головы']	"[""Must've"", 'slipped', 'my', 'mind']"
56	Yes, well, as slippery as your mind is, 	Интересно, чем же была так занята твоя голова? 	['Интересно', 'чем', 'же', 'была', 'так', 'занята', 'твоя', 'голова']	['Yes', 'well', 'as', 'slippery', 'as', 'your', 'mind', 'is']
57	as the king's brother, you should've been first in line! 	Тебе, как брату короля, следовало стоять в первых рядах. 	['Тебе', 'как', 'брату', 'короля', 'следовало', 'стоять', 'в', 'первых', 'рядах']	"['as', 'the', ""king's"", 'brother', 'you', ""should've"", 'been', 'first', 'in', 'line']"
58	Well, I was first in line, until the little hairball was born. 	Я и стоял в первых рядах, пока не появился этот комочек шерсти. 	['Я', 'и', 'стоял', 'в', 'первых', 'рядах', 'пока', 'не', 'появился', 'этот', 'комочек', 'шерсти']	['Well', 'I', 'was', 'first', 'in', 'line', 'until', 'the', 'little', 'hairball', 'was', 'born']
59	That hairball is my son and your future king. 	Этот комочек шерсти - мой сын и твой будущий повелитель. 	['Этот', 'комочек', 'шерсти', 'мой', 'сын', 'и', 'твой', 'будущий', 'повелитель']	['That', 'hairball', 'is', 'my', 'son', 'and', 'your', 'future', 'king']
60	I shall practise my curtsy! 	Надо будет отработать реверансы. 	['Надо', 'будет', 'отработать', 'реверансы']	['I', 'shall', 'practise', 'my', 'curtsy']
61	Don't turn your back on me, Scar. 	Не отворачивайся, когда я с тобой разговариваю, Скар. 	['Не', 'отворачивайся', 'когда', 'я', 'с', 'тобой', 'разговариваю', 'Скар']	"[""Don't"", 'turn', 'your', 'back', 'on', 'me', 'Scar']"
62	Oh, no, Mufasa. 	Нет, Муфаса. 	['Нет', 'Муфаса']	['Oh', 'no', 'Mufasa']
63	Perhaps you shouldn't turn your back on me. 	Это тебе не стоит от меня отворачиваться. 	['Это', 'тебе', 'не', 'стоит', 'от', 'меня', 'отворачиваться']	"['Perhaps', 'you', ""shouldn't"", 'turn', 'your', 'back', 'on', 'me']"
64	Is that a challenge? 	Это вызов? 	['Это', 'вызов']	['Is', 'that', 'a', 'challenge']
65	Temper, temper. 	Спокойно, спокойно. 	['Спокойно', 'спокойно']	['Temper', 'temper']
66	I wouldn't dream of challenging you. 	Разве я посмею? 	['Разве', 'я', 'посмею']	"['I', ""wouldn't"", 'dream', 'of', 'challenging', 'you']"
67	Pity. Why not? 	А жаль. Могли бы попробовать. 	['А', 'жаль', 'Могли', 'бы', 'попробовать']	['Pity', 'Why', 'not']
68	Well, as far as brains go, I got the lion's share. 	Видишь ли, в нашей семье львиная доля ума досталась мне. 	['Видишь', 'ли', 'в', 'нашей', 'семье', 'львиная', 'доля', 'ума', 'досталась', 'мне']	"['Well', 'as', 'far', 'as', 'brains', 'go', 'I', 'got', 'the', ""lion's"", 'share']"
69	But when it comes to brute strength, 	Но когда речь заходит о грубой силе... 	['Но', 'когда', 'речь', 'заходит', 'о', 'грубой', 'силе']	['But', 'when', 'it', 'comes', 'to', 'brute', 'strength']
70	I'm afraid I'm at the shallow end of the gene pool. 	Здесь гены меня, к сожалению, подвели. 	['Здесь', 'гены', 'меня', 'к', 'сожалению', 'подвели']	"[""I'm"", 'afraid', ""I'm"", 'at', 'the', 'shallow', 'end', 'of', 'the', 'gene', 'pool']"
71	There's one in every family, sire. 	Владыка, в семье не без урода. 	['Владыка', 'в', 'семье', 'не', 'без', 'урода']	"[""There's"", 'one', 'in', 'every', 'family', 'sire']"
72	Two in mine, actually, 	В нашей семье таких целых двое. 	['В', 'нашей', 'семье', 'таких', 'целых', 'двое']	['Two', 'in', 'mine', 'actually']
73	and they always manage to ruin special occasions. 	И они всегда портят любое мероприятие. 	['И', 'они', 'всегда', 'портят', 'любое', 'мероприятие']	['and', 'they', 'always', 'manage', 'to', 'ruin', 'special', 'occasions']
74	What am I going to do with him? 	Что же мне с ним делать? 	['Что', 'же', 'мне', 'с', 'ним', 'делать']	['What', 'am', 'I', 'going', 'to', 'do', 'with', 'him']
75	He'd make a very handsome throw rug. Zazu! 	Из него получился бы отличный коврик. -Зазу! 	['Из', 'него', 'получился', 'бы', 'отличный', 'коврик', 'Зазу']	"[""He'd"", 'make', 'a', 'very', 'handsome', 'throw', 'rug', 'Zazu']"
76	And just think, whenever he gets dirty, 	Нет, вы сами подумайте: как запачкается - 	['Нет', 'вы', 'сами', 'подумайте', 'как', 'запачкается']	['And', 'just', 'think', 'whenever', 'he', 'gets', 'dirty']
77	you could take him out and beat him. 	вы его отколотите хорошенько. 	['вы', 'его', 'отколотите', 'хорошенько']	['you', 'could', 'take', 'him', 'out', 'and', 'beat', 'him']
78	Hmm. 	Симба. 	['Симба']	['Hmm']
79	Simba. 	Папа! Папа! 	['Папа', 'Папа']	['Simba']
80	Dad! Dad! Come on, dad, we gotta go! Wake up! 	Ну, папа! Пошли! Давай, вставай! 	['Ну', 'папа', 'Пошли', 'Давай', 'вставай']	['Dad', 'Dad', 'Come', 'on', 'dad', 'we', 'gotta', 'go', 'Wake', 'up']
81	- Uhh! - Sorry. 	Извините. 	['Извините']	['Uhh', 'Sorry']
82	Dad! Dad! 	Папа! 	['Папа']	['Dad', 'Dad']
