	en	ru	ru_tokens	en_tokens
0	Let's talk business. 	Давай поговорим о делах. 	['Давай', 'поговорим', 'о', 'делах']	"[""Let's"", 'talk', 'business']"
1	This fat bastard is trying to move in on Maurizio's business. 	Этот жирный ублюдок мешает бизнесу Моризио. 	['Этот', 'жирный', 'ублюдок', 'мешает', 'бизнесу', 'Моризио']	"['This', 'fat', 'bastard', 'is', 'trying', 'to', 'move', 'in', 'on', ""Maurizio's"", 'business']"
2	Now you know Maurizio is a reasonable guy. 	Ты знаешь Моризио как благоразумного парня. 	['Ты', 'знаешь', 'Моризио', 'как', 'благоразумного', 'парня']	['Now', 'you', 'know', 'Maurizio', 'is', 'a', 'reasonable', 'guy']
3	He just wants...a little conversation. 	От только хочет небольшого разговора. 	['От', 'только', 'хочет', 'небольшого', 'разговора']	['He', 'just', 'wants...a', 'little', 'conversation']
4	But this guy, he don't wanna hear about it. Maybe he'll listen to you. 	Но этот тип, он не хочет даже слышать об этом. Может он послушает тебя. 	['Но', 'этот', 'тип', 'он', 'не', 'хочет', 'даже', 'слышать', 'об', 'этом', 'Может', 'он', 'послушает', 'тебя']	"['But', 'this', 'guy', 'he', ""don't"", 'wanna', 'hear', 'about', 'it', 'Maybe', ""he'll"", 'listen', 'to', 'you']"
5	He comes to town every Tuesday. Are you free Tuesday? 	Он приезжает в город каждый Вторник. Ты свободен во Вторник? 	['Он', 'приезжает', 'в', 'город', 'каждый', 'Вторник', 'Ты', 'свободен', 'во', 'Вторник']	['He', 'comes', 'to', 'town', 'every', 'Tuesday', 'Are', 'you', 'free', 'Tuesday']
6	Yeah, I'm free Tuesday. 	Да, я свободен во Вторник. 	['Да', 'я', 'свободен', 'во', 'Вторник']	"['Yeah', ""I'm"", 'free', 'Tuesday']"
7	Nice to see you again, Mr Jones. Remember, neatness counts. You got one half hour. 	Приятно видеть вас снова, мистер Джонс. Помни, проворность засчитывается. У тебя будет полчаса. 	['Приятно', 'видеть', 'вас', 'снова', 'мистер', 'Джонс', 'Помни', 'проворность', 'засчитывается', 'У', 'тебя', 'будет', 'полчаса']	['Nice', 'to', 'see', 'you', 'again', 'Mr', 'Jones', 'Remember', 'neatness', 'counts', 'You', 'got', 'one', 'half', 'hour']
8	One hour. 	Час. 	['Час']	['One', 'hour']
9	- Yeah, what? - This is Tonto downstairs. 	Что? 	['Что']	['Yeah', 'what', 'This', 'is', 'Tonto', 'downstairs']
10	- There's a guy who wants to talk to you. - What's he look like? 	Это Тонто, внизу. Тут парень хочет поговорить с тобой. Как он выглядит? 	['Это', 'Тонто', 'внизу', 'Тут', 'парень', 'хочет', 'поговорить', 'с', 'тобой', 'Как', 'он', 'выглядит']	"[""There's"", 'a', 'guy', 'who', 'wants', 'to', 'talk', 'to', 'you', ""What's"", 'he', 'look', 'like']"
11	Serious. 	Серьёзно. 	['Серьёзно']	['Serious']
12	- Tell him I'm coming up. - He's coming up. 	- Скажи ему, что я поднимаюсь. - Он поднимается. 	['Скажи', 'ему', 'что', 'я', 'поднимаюсь', 'Он', 'поднимается']	"['Tell', 'him', ""I'm"", 'coming', 'up', ""He's"", 'coming', 'up']"
13	Somebody's coming up. Somebody serious. 	Кто-то поднимается. Кто-то серьёзный. 	['Кто-то', 'поднимается', 'Кто-то', 'серьёзный']	"[""Somebody's"", 'coming', 'up', 'Somebody', 'serious']"
14	Mickey, open your eyes, we got company. 	Мики, открой свои глаза. У нас гости. 	['Мики', 'открой', 'свои', 'глаза', 'У', 'нас', 'гости']	['Mickey', 'open', 'your', 'eyes', 'we', 'got', 'company']
15	We got company. 	У нас гости. 	['У', 'нас', 'гости']	['We', 'got', 'company']
16	Come on. 	Ну давай. 	['Ну', 'давай']	['Come', 'on']
17	Stop! Stop, men! 	Тихо, парни! 	['Тихо', 'парни']	['Stop', 'Stop', 'men']
18	Tonto. Tell the driver to wait for us out back and hurry up! 	Скажи водителю, чтобы ждал нас снаружи, и поторопись. 	['Скажи', 'водителю', 'чтобы', 'ждал', 'нас', 'снаружи', 'и', 'поторопись']	['Tonto', 'Tell', 'the', 'driver', 'to', 'wait', 'for', 'us', 'out', 'back', 'and', 'hurry', 'up']
19	Hey, sweetie, what's going on? Don't worry, baby. It's cool. Take a nap. 	- Дорогой, что происходит? - Не волнуйся, детка. Всё клёво. Отдохни. 	['Дорогой', 'что', 'происходит', 'Не', 'волнуйся', 'детка', 'Всё', 'клёво', 'Отдохни']	"['Hey', 'sweetie', ""what's"", 'going', 'on', ""Don't"", 'worry', 'baby', ""It's"", 'cool', 'Take', 'a', 'nap']"
20	Oh, my God! 	О мой бог. 	['О', 'мой', 'бог']	['Oh', 'my', 'God']
