	en	ru	ru_tokens	en_tokens
0	Another one coming down. 	Спускаем еще одну.. 	['Спускаем', 'еще', 'одну']	['Another', 'one', 'coming', 'down']
1	Hang on. 	Подождите.. 	['Подождите']	['Hang', 'on']
2	THE MASK 	МАСКА 	['МАСКА']	['THE', 'MASK']
3	I got those... 	Я достал их... 	['Я', 'достал', 'их']	['I', 'got', 'those']
4	concert tickets you wanted. 	билеты на тот концерт, которые ты хотела. 	['билеты', 'на', 'тот', 'концерт', 'которые', 'ты', 'хотела']	['concert', 'tickets', 'you', 'wanted']
5	You're kidding! 	Ты шутишь! 	['Ты', 'шутишь']	"[""You're"", 'kidding']"
6	For Friday night? 	На пятницу ночью? 	['На', 'пятницу', 'ночью']	['For', 'Friday', 'night']
7	Stanley, this is great. 	Стэнли, это потрясающе. 	['Стэнли', 'это', 'потрясающе']	['Stanley', 'this', 'is', 'great']
8	What time do I pick you up? 	И во сколько мне за тобой заехать? 	['И', 'во', 'сколько', 'мне', 'за', 'тобой', 'заехать']	['What', 'time', 'do', 'I', 'pick', 'you', 'up']
9	Here's the thing. 	Есть одна вещь. 	['Есть', 'одна', 'вещь']	"[""Here's"", 'the', 'thing']"
10	My best girlfriend is here and she'd die to go to this... 	Моя лучшая подруга приехала и она готова умереть, чтобы попасть туда же... 	['Моя', 'лучшая', 'подруга', 'приехала', 'и', 'она', 'готова', 'умереть', 'чтобы', 'попасть', 'туда', 'же']	"['My', 'best', 'girlfriend', 'is', 'here', 'and', ""she'd"", 'die', 'to', 'go', 'to', 'this']"
11	so could we get an extra ticket for her? 	Может ты и для нее билетик достанешь? 	['Может', 'ты', 'и', 'для', 'нее', 'билетик', 'достанешь']	['so', 'could', 'we', 'get', 'an', 'extra', 'ticket', 'for', 'her']
12	They're sold out. That means there's no more. 	Но они все проданы. Их больше нигде не достать. 	['Но', 'они', 'все', 'проданы', 'Их', 'больше', 'нигде', 'не', 'достать']	"[""They're"", 'sold', 'out', 'That', 'means', ""there's"", 'no', 'more']"
13	I can't let her sit home all alone. 	Но я же не могу ее одну дома оставить. 	['Но', 'я', 'же', 'не', 'могу', 'ее', 'одну', 'дома', 'оставить']	"['I', ""can't"", 'let', 'her', 'sit', 'home', 'all', 'alone']"
14	I'll tell you what. 	Вот, что я тебе скажу. 	['Вот', 'что', 'я', 'тебе', 'скажу']	"[""I'll"", 'tell', 'you', 'what']"
15	Go with your friend. 	Иди со своей подругой. 	['Иди', 'со', 'своей', 'подругой']	['Go', 'with', 'your', 'friend']
16	I couldn't do that. 	Я не могу этого сделать. 	['Я', 'не', 'могу', 'этого', 'сделать']	"['I', ""couldn't"", 'do', 'that']"
17	No, come on. 	Ладно, брось.. 	['Ладно', 'брось']	['No', 'come', 'on']
18	Stanley, you are the nicest guy. 	Стэнли, ты потрясающий парень! 	['Стэнли', 'ты', 'потрясающий', 'парень']	['Stanley', 'you', 'are', 'the', 'nicest', 'guy']
19	Really, you are. 	Это правда. 	['Это', 'правда']	['Really', 'you', 'are']
