	en	ru	ru_tokens	en_tokens
0	It's 6:42 a.m. 	Сейчас 6.42. 	['Сейчас', '6.42']	"[""It's"", '6:42', 'a.m']"
1	Beth's Dad's place. 	Это квартира отца Бет. 	['Это', 'квартира', 'отца', 'Бет']	"[""Beth's"", ""Dad's"", 'place']"
2	He's out of town. 	Он в поездке. 	['Он', 'в', 'поездке']	"[""He's"", 'out', 'of', 'town']"
3	And it's already a good day. 	А день уже начался хорошо. 	['А', 'день', 'уже', 'начался', 'хорошо']	"['And', ""it's"", 'already', 'a', 'good', 'day']"
4	Beth. 	Бет. 	['Бет']	['Beth']
5	- Rob, what are you doing? - Nothing. 	— Роб, что ты делаешь? — Ничего. 	['—', 'Роб', 'что', 'ты', 'делаешь', '—', 'Ничего']	['Rob', 'what', 'are', 'you', 'doing', 'Nothing']
6	- Well, then stop. - Nothing. 	— Тогда перестань. — Ничего. 	['—', 'Тогда', 'перестань', '—', 'Ничего']	['Well', 'then', 'stop', 'Nothing']
7	- That's... - Stop it. 	— Это… — Хватит. 	['—', 'Это…', '—', 'Хватит']	"[""That's"", 'Stop', 'it']"
8	She's shy. 	Она застенчивая. 	['Она', 'застенчивая']	"[""She's"", 'shy']"
9	I could just see this ending up on the Internet. 	Я уже представляю, как это окажется в интернете. 	['Я', 'уже', 'представляю', 'как', 'это', 'окажется', 'в', 'интернете']	['I', 'could', 'just', 'see', 'this', 'ending', 'up', 'on', 'the', 'Internet']
10	Well, fine, cover up. See if I care. 	Ладно, прикройся. Мне все равно. 	['Ладно', 'прикройся', 'Мне', 'все', 'равно']	['Well', 'fine', 'cover', 'up', 'See', 'if', 'I', 'care']
11	- I'm interested in other things. - Like what? 	— Мне интересно другое. — Например? 	['—', 'Мне', 'интересно', 'другое', '—', 'Например']	"[""I'm"", 'interested', 'in', 'other', 'things', 'Like', 'what']"
12	Like you. 	Например, ты. 	['Например', 'ты']	['Like', 'you']
13	- Oh, man. - That was close. 	— Черт. — Почти. 	['—', 'Черт', '—', 'Почти']	['Oh', 'man', 'That', 'was', 'close']
14	Do it really... I'm scared of it. 	Он правда… Я боюсь. 	['Он', 'правда…', 'Я', 'боюсь']	"['Do', 'it', 'really', ""I'm"", 'scared', 'of', 'it']"
15	- It's only 30 minutes out. - Shut up. I've never been. 	— Всего полчаса езды. — Заткнись. Я не была там. 	['—', 'Всего', 'полчаса', 'езды', '—', 'Заткнись', 'Я', 'не', 'была', 'там']	"[""It's"", 'only', '30', 'minutes', 'out', 'Shut', 'up', ""I've"", 'never', 'been']"
16	You've never been to Coney Island? 	Никогда не была на Кони-Айленде? 	['Никогда', 'не', 'была', 'на', 'Кони-Айленде']	"[""You've"", 'never', 'been', 'to', 'Coney', 'Island']"
17	Oh, how have you never been to Coney Island? 	Почему ты никогда там не была? 	['Почему', 'ты', 'никогда', 'там', 'не', 'была']	['Oh', 'how', 'have', 'you', 'never', 'been', 'to', 'Coney', 'Island']
18	I don't know, I just... I've never been. 	Не знаю… Не была, и все. 	['Не', 'знаю…', 'Не', 'была', 'и', 'все']	"['I', ""don't"", 'know', 'I', 'just', ""I've"", 'never', 'been']"
