	en	ru	ru_tokens	en_tokens
0	Are you here to kill me? 	Ты здесь, чтобы убить меня? 	['Ты', 'здесь', 'чтобы', 'убить', 'меня']	['Are', 'you', 'here', 'to', 'kill', 'me']
1	I know what this is. 	Я знаю, что это. 	['Я', 'знаю', 'что', 'это']	['I', 'know', 'what', 'this', 'is']
2	I have seen one before. Many, many years ago. 	Я уже видел такой предмет. Много, много лет назад. 	['Я', 'уже', 'видел', 'такой', 'предмет', 'Много', 'много', 'лет', 'назад']	['I', 'have', 'seen', 'one', 'before', 'Many', 'many', 'years', 'ago']
3	It belonged to a man I met in a half-remembered dream. 	В руках человека, который мне повстречался в полузабытом сне. 	['В', 'руках', 'человека', 'который', 'мне', 'повстречался', 'в', 'полузабытом', 'сне']	['It', 'belonged', 'to', 'a', 'man', 'I', 'met', 'in', 'a', 'half-remembered', 'dream']
4	A man possessed of some radical notions. 	Человека, высказавшего несколько радикальных идей. 	['Человека', 'высказавшего', 'несколько', 'радикальных', 'идей']	['A', 'man', 'possessed', 'of', 'some', 'radical', 'notions']
5	What is the most resilient parasite? A bacteria? A virus? 	Какой из паразитов самый цепкий? Бактерия? Вирус? 	['Какой', 'из', 'паразитов', 'самый', 'цепкий', 'Бактерия', 'Вирус']	['What', 'is', 'the', 'most', 'resilient', 'parasite', 'A', 'bacteria', 'A', 'virus']
6	An intestinal worm? 	Кишечный глист? 	['Кишечный', 'глист']	['An', 'intestinal', 'worm']
7	Uh.... What Mr. Cobb is trying to say-- An idea. 	- Господин Кобб имеет в виду... - Идея. 	['Господин', 'Кобб', 'имеет', 'в', 'виду', 'Идея']	['Uh', 'What', 'Mr', 'Cobb', 'is', 'trying', 'to', 'say', 'An', 'idea']
8	Resilient. Highly contagious. 	Неотступна. Крайне заразна. 	['Неотступна', 'Крайне', 'заразна']	['Resilient', 'Highly', 'contagious']
9	Once an idea has taken hold of the brain, it's almost impossible to eradicate. 	Идею, которая засела в голове, искоренить почти невозможно. 	['Идею', 'которая', 'засела', 'в', 'голове', 'искоренить', 'почти', 'невозможно']	"['Once', 'an', 'idea', 'has', 'taken', 'hold', 'of', 'the', 'brain', ""it's"", 'almost', 'impossible', 'to', 'eradicate']"
10	An idea that is fully formed, fully understood, that sticks. 	Идея, завершённая и полностью осознанная, вцепится намертво. 	['Идея', 'завершённая', 'и', 'полностью', 'осознанная', 'вцепится', 'намертво']	['An', 'idea', 'that', 'is', 'fully', 'formed', 'fully', 'understood', 'that', 'sticks']
11	Right in there somewhere. For someone like you to steal? 	- Где-то здесь внутри. - Чтобы такие, как вы, её выкрали? 	['Где-то', 'здесь', 'внутри', 'Чтобы', 'такие', 'как', 'вы', 'её', 'выкрали']	['Right', 'in', 'there', 'somewhere', 'For', 'someone', 'like', 'you', 'to', 'steal']
12	Yes. In the dream state, your conscious defenses are lowered... 	Да. В состоянии сна защита вашего сознания ослаблена, 	['Да', 'В', 'состоянии', 'сна', 'защита', 'вашего', 'сознания', 'ослаблена']	['Yes', 'In', 'the', 'dream', 'state', 'your', 'conscious', 'defenses', 'are', 'lowered']
13	...and that makes your thoughts vulnerable to theft. It's called extraction. 	"и это делает ваши мысли уязвимыми для хищения. Так называемого ""извлечения"". "	['и', 'это', 'делает', 'ваши', 'мысли', 'уязвимыми', 'для', 'хищения', 'Так', 'называемого', 'извлечения']	"['and', 'that', 'makes', 'your', 'thoughts', 'vulnerable', 'to', 'theft', ""It's"", 'called', 'extraction']"
14	Mr. Saito, we can train your subconscious to defend itself... 	Господин Саито, мы можем подготовить ваше подсознание противостоять даже... 	['Господин', 'Саито', 'мы', 'можем', 'подготовить', 'ваше', 'подсознание', 'противостоять', 'даже']	['Mr', 'Saito', 'we', 'can', 'train', 'your', 'subconscious', 'to', 'defend', 'itself']
15	...from even the most skilled extractor. How can you do that? 	- ...самому искусному извлекателю. - Как мне это удастся? 	['самому', 'искусному', 'извлекателю', 'Как', 'мне', 'это', 'удастся']	['from', 'even', 'the', 'most', 'skilled', 'extractor', 'How', 'can', 'you', 'do', 'that']
16	Because I am the most skilled extractor. 	"Потому что в искусстве ""извлечения"" мне нет равных. "	['Потому', 'что', 'в', 'искусстве', 'извлечения', 'мне', 'нет', 'равных']	['Because', 'I', 'am', 'the', 'most', 'skilled', 'extractor']
17	I know how to search your mind and find your secrets. I know the tricks. 	Я знаю, как обыскать ваш разум и найти все секреты. 	['Я', 'знаю', 'как', 'обыскать', 'ваш', 'разум', 'и', 'найти', 'все', 'секреты']	['I', 'know', 'how', 'to', 'search', 'your', 'mind', 'and', 'find', 'your', 'secrets', 'I', 'know', 'the', 'tricks']
18	And I can teach them to you, so that even when you're asleep... 	Я знаю все уловки. И я могу обучить им вас, чтобы даже во сне ваша... 	['Я', 'знаю', 'все', 'уловки', 'И', 'я', 'могу', 'обучить', 'им', 'вас', 'чтобы', 'даже', 'во', 'сне', 'ваша']	"['And', 'I', 'can', 'teach', 'them', 'to', 'you', 'so', 'that', 'even', 'when', ""you're"", 'asleep']"
19	...your defense is never down. 	...защита была неприступной. 	['защита', 'была', 'неприступной']	['your', 'defense', 'is', 'never', 'down']
20	Look, if you want my help, you're going to have to be completely open with me. 	Если вам нужна моя помощь, вам придётся полностью мне открыться. 	['Если', 'вам', 'нужна', 'моя', 'помощь', 'вам', 'придётся', 'полностью', 'мне', 'открыться']	"['Look', 'if', 'you', 'want', 'my', 'help', ""you're"", 'going', 'to', 'have', 'to', 'be', 'completely', 'open', 'with', 'me']"
21	I need to know my way around your thoughts better than your wife... 	Я должен ориентироваться в ваших мыслях лучше, чем ваша жена... 	['Я', 'должен', 'ориентироваться', 'в', 'ваших', 'мыслях', 'лучше', 'чем', 'ваша', 'жена']	['I', 'need', 'to', 'know', 'my', 'way', 'around', 'your', 'thoughts', 'better', 'than', 'your', 'wife']
22	...better than your therapist, better than anyone. 	...чем ваш психиатр, лучше, чем кто бы то ни был. 	['чем', 'ваш', 'психиатр', 'лучше', 'чем', 'кто', 'бы', 'то', 'ни', 'был']	['better', 'than', 'your', 'therapist', 'better', 'than', 'anyone']
23	If this is a dream, and you have a safe full of secrets... 	И если во сне вам привидится сейф с вашими же секретами, 	['И', 'если', 'во', 'сне', 'вам', 'привидится', 'сейф', 'с', 'вашими', 'же', 'секретами']	['If', 'this', 'is', 'a', 'dream', 'and', 'you', 'have', 'a', 'safe', 'full', 'of', 'secrets']
24	...I need to know what's in that safe. 	то я должен знать о его содержимом. 	['то', 'я', 'должен', 'знать', 'о', 'его', 'содержимом']	"['I', 'need', 'to', 'know', ""what's"", 'in', 'that', 'safe']"
