	en	ru	ru_tokens	en_tokens
0	This is Mr Mathison. He's a doctor. 	Это мистер Мэтисон. Он врач. 	['Это', 'мистер', 'Мэтисон', 'Он', 'врач']	"['This', 'is', 'Mr', 'Mathison', ""He's"", 'a', 'doctor']"
1	- Are you okay? - An ambulance is on the way. 	Вы в порядке? Скорая уже едет. 	['Вы', 'в', 'порядке', 'Скорая', 'уже', 'едет']	['Are', 'you', 'okay', 'An', 'ambulance', 'is', 'on', 'the', 'way']
2	Thank you. 	Спасибо. 	['Спасибо']	['Thank', 'you']
3	Is there a name yet? 	У него уже есть имя? 	['У', 'него', 'уже', 'есть', 'имя']	['Is', 'there', 'a', 'name', 'yet']
4	Elijah. 	Элайджа. 	['Элайджа']	['Elijah']
5	Is he supposed to be crying like this? 	Он должен так кричать? 	['Он', 'должен', 'так', 'кричать']	['Is', 'he', 'supposed', 'to', 'be', 'crying', 'like', 'this']
6	May I? 	Можно мне? 	['Можно', 'мне']	['May', 'I']
7	Can I have him back? 	Могу я теперь взять его? 	['Могу', 'я', 'теперь', 'взять', 'его']	['Can', 'I', 'have', 'him', 'back']
8	What happened during the delivery? 	что произошло во время родов? 	['что', 'произошло', 'во', 'время', 'родов']	['What', 'happened', 'during', 'the', 'delivery']
9	Nothing. It was very quick. 	Ничего. Все произошло очень быстро. 	['Ничего', 'Все', 'произошло', 'очень', 'быстро']	['Nothing', 'It', 'was', 'very', 'quick']
10	The babyjust wanted to come right out. 	Ребенок захотел родиться именно в этот момент. 	['Ребенок', 'захотел', 'родиться', 'именно', 'в', 'этот', 'момент']	['The', 'babyjust', 'wanted', 'to', 'come', 'right', 'out']
11	And there were no problems. 	Осложнений не было. 	['Осложнений', 'не', 'было']	['And', 'there', 'were', 'no', 'problems']
12	Did you drop him? 	Вы роняли его? 	['Вы', 'роняли', 'его']	['Did', 'you', 'drop', 'him']
13	What? 	что? 	['что']	['What']
14	Did you drop this baby? 	Этого ребенка роняли? 	['Этого', 'ребенка', 'роняли']	['Did', 'you', 'drop', 'this', 'baby']
15	Jesus Christ, no. 	Нет, конечно. 	['Нет', 'конечно']	['Jesus', 'Christ', 'no']
16	Inform the ambulance that we have a situation. 	Сообщите ''Скорой'', что у нас сложный случай. 	"['Сообщите', ""''Скорой''"", 'что', 'у', 'нас', 'сложный', 'случай']"	['Inform', 'the', 'ambulance', 'that', 'we', 'have', 'a', 'situation']
17	All right. Molly. 	Хорошо, Моли. 	['Хорошо', 'Моли']	['All', 'right', 'Molly']
18	I've never seen this. 	Я никогда не видел такого. 	['Я', 'никогда', 'не', 'видел', 'такого']	"[""I've"", 'never', 'seen', 'this']"
19	It appears that your baby has sustained some fractures... 	Кажется, ваш ребенок перенес несколько переломов, 	['Кажется', 'ваш', 'ребенок', 'перенес', 'несколько', 'переломов']	['It', 'appears', 'that', 'your', 'baby', 'has', 'sustained', 'some', 'fractures']
20	while inside your uterus. 	пока был еще в животе матери. 	['пока', 'был', 'еще', 'в', 'животе', 'матери']	['while', 'inside', 'your', 'uterus']
21	His arms and his legs are broken. 	У него поломаны руки и ноги. Тачстоун Пикчерс совместно с компанией Блайндин Едж Пикчерс И Бэри Мэндел Продакшн представляют: Брюса Уиллиса Сэмуэля Эл. Джексона В фильме: ''Неуязвимый'' 	"['У', 'него', 'поломаны', 'руки', 'и', 'ноги', 'Тачстоун', 'Пикчерс', 'совместно', 'с', 'компанией', 'Блайндин', 'Едж', 'Пикчерс', 'И', 'Бэри', 'Мэндел', 'Продакшн', 'представляют', 'Брюса', 'Уиллиса', 'Сэмуэля', 'Эл', 'Джексона', 'В', 'фильме', ""''Неуязвимый''""]"	['His', 'arms', 'and', 'his', 'legs', 'are', 'broken']
22	This is Eastrail 177. 	Истрэйловский поезд - 1 77. 	['Истрэйловский', 'поезд', '1', '77']	['This', 'is', 'Eastrail', '177']
23	Nextstop, Philadelphia. 	Следующая остановка - Филадельфия. 	['Следующая', 'остановка', 'Филадельфия']	['Nextstop', 'Philadelphia']
24	Are you alone? 	Свободно? 	['Свободно']	['Are', 'you', 'alone']
25	- Yeah. - Yeah. 	Да. Отлично. Джэймс Хэнди и Имонн Уокер Элизабет Лоуренс и Лесли Стефэнсон 	['Да', 'Отлично', 'Джэймс', 'Хэнди', 'и', 'Имонн', 'Уокер', 'Элизабет', 'Лоуренс', 'и', 'Лесли', 'Стефэнсон']	['Yeah', 'Yeah']
26	Someone left this magazine. 	Кто-то забыл журнал. 	['Кто-то', 'забыл', 'журнал']	['Someone', 'left', 'this', 'magazine']
27	Want to take a look at it? 	Не хотите посмотреть? 	['Не', 'хотите', 'посмотреть']	['Want', 'to', 'take', 'a', 'look', 'at', 'it']
28	Could I take a look at that one? 	А можно мне тот? 	['А', 'можно', 'мне', 'тот']	['Could', 'I', 'take', 'a', 'look', 'at', 'that', 'one']
29	Thanks. 	Благодарю. 	['Благодарю']	['Thanks']
