	en	ru	ru_tokens	en_tokens
0	Good morning, James. 	Доброе утро, Джеймс! 	['Доброе', 'утро', 'Джеймс']	['Good', 'morning', 'James']
1	How are you feeling? Wait. What? 	- Как себя чувствуете? - Что? Не понял! 	['Как', 'себя', 'чувствуете', 'Что', 'Не', 'понял']	['How', 'are', 'you', 'feeling', 'Wait', 'What']
2	It's perfectly normal to feel confused. 	Растерянность - это абсолютно нормально. 	['Растерянность', 'это', 'абсолютно', 'нормально']	"[""It's"", 'perfectly', 'normal', 'to', 'feel', 'confused']"
3	You just spent 120 years in suspended animation. 	Вы провели в полном анабиозе 120 лет. 	['Вы', 'провели', 'в', 'полном', 'анабиозе', '120', 'лет']	['You', 'just', 'spent', '120', 'years', 'in', 'suspended', 'animation']
4	What? It's okay, James. 	- Что? - Всё в порядке, Джеймс. 	['Что', 'Всё', 'в', 'порядке', 'Джеймс']	"['What', ""It's"", 'okay', 'James']"
5	- It's Jim. - Jim. 	- Я Джим. - Джим. 	['Я', 'Джим', 'Джим']	"[""It's"", 'Jim', 'Jim']"
6	Just breathe. Everything is okay. 	Дышите. С вами всё в порядке. 	['Дышите', 'С', 'вами', 'всё', 'в', 'порядке']	['Just', 'breathe', 'Everything', 'is', 'okay']
7	Where am I? You're a passenger on the Starship Avalon, 	- Где я? - На межгалактическом корабле «Авалон»! 	['Где', 'я', 'На', 'межгалактическом', 'корабле', '«Авалон»']	"['Where', 'am', 'I', ""You're"", 'a', 'passenger', 'on', 'the', 'Starship', 'Avalon']"
8	the Homestead Company's premier interstellar starliner. 	Первом космическом лайнере компании «Родная обитель». 	['Первом', 'космическом', 'лайнере', 'компании', '«Родная', 'обитель»']	"['the', 'Homestead', ""Company's"", 'premier', 'interstellar', 'starliner']"
9	We've nearly completed the voyage from Earth to your new home. 	Мы практически завершили путешествие в ваш новый дом. 	['Мы', 'практически', 'завершили', 'путешествие', 'в', 'ваш', 'новый', 'дом']	"[""We've"", 'nearly', 'completed', 'the', 'voyage', 'from', 'Earth', 'to', 'your', 'new', 'home']"
10	The colony world of Homestead II. 	Поселение «Родная обитель 2». 	['Поселение', '«Родная', 'обитель', '2»']	['The', 'colony', 'world', 'of', 'Homestead', 'II']
11	A new world. A fresh start. Room to grow. 	Новый мир. Новое начало. Перспективы. 	['Новый', 'мир', 'Новое', 'начало', 'Перспективы']	['A', 'new', 'world', 'A', 'fresh', 'start', 'Room', 'to', 'grow']
12	Oh, yeah. 	Ах, да! 	['Ах', 'да']	['Oh', 'yeah']
13	The Avalon is on final approach. 	Мы на финальном отрезке пути. 	['Мы', 'на', 'финальном', 'отрезке', 'пути']	['The', 'Avalon', 'is', 'on', 'final', 'approach']
14	For the next four months, you'll enjoy space travel 	Вы будете наслаждаться роскошью космического путешествия. 	['Вы', 'будете', 'наслаждаться', 'роскошью', 'космического', 'путешествия']	"['For', 'the', 'next', 'four', 'months', ""you'll"", 'enjoy', 'space', 'travel']"
15	at its most luxurious. Food. Fun. Friends. 	Досуг. Еда. Друзья. 	['Досуг', 'Еда', 'Друзья']	['at', 'its', 'most', 'luxurious', 'Food', 'Fun', 'Friends']
16	- My friends. - That's right, Jim. 	- Мои друзья. - Всё верно, Джим. 	['Мои', 'друзья', 'Всё', 'верно', 'Джим']	"['My', 'friends', ""That's"", 'right', 'Jim']"
17	The ID band on your wrist is your key to the wonders of the Avalon. 	Идентификационный браслет даст доступ к чудесам «Авалона». 	['Идентификационный', 'браслет', 'даст', 'доступ', 'к', 'чудесам', '«Авалона»']	['The', 'ID', 'band', 'on', 'your', 'wrist', 'is', 'your', 'key', 'to', 'the', 'wonders', 'of', 'the', 'Avalon']
18	You're in perfect health, Jim. 	Вы совершенно здоровы! 	['Вы', 'совершенно', 'здоровы']	"[""You're"", 'in', 'perfect', 'health', 'Jim']"
19	Let's get you to your cabin, where you can get some rest. 	Давайте отправимся в каюту, где вы сможете отдохнуть. 	['Давайте', 'отправимся', 'в', 'каюту', 'где', 'вы', 'сможете', 'отдохнуть']	"[""Let's"", 'get', 'you', 'to', 'your', 'cabin', 'where', 'you', 'can', 'get', 'some', 'rest']"
20	You may be experiencing post-hibernation sickness. 	Вы можете испытывать постгибернальную тошноту. 	['Вы', 'можете', 'испытывать', 'постгибернальную', 'тошноту']	['You', 'may', 'be', 'experiencing', 'post-hibernation', 'sickness']
21	Your door will illuminate for you. 	Дверь в вашу каюту подсвечена. 	['Дверь', 'в', 'вашу', 'каюту', 'подсвечена']	['Your', 'door', 'will', 'illuminate', 'for', 'you']
22	Welcome to your cabin, your home until we make landfall. 	Эта каюта станет вашим домом вплоть до прибытия. 	['Эта', 'каюта', 'станет', 'вашим', 'домом', 'вплоть', 'до', 'прибытия']	['Welcome', 'to', 'your', 'cabin', 'your', 'home', 'until', 'we', 'make', 'landfall']
23	Over the next four months, you'll prepare for your new life on Homestead II, 	Следующие 4 месяца вы будете готовиться здесь к новой жизни. 	['Следующие', '4', 'месяца', 'вы', 'будете', 'готовиться', 'здесь', 'к', 'новой', 'жизни']	"['Over', 'the', 'next', 'four', 'months', ""you'll"", 'prepare', 'for', 'your', 'new', 'life', 'on', 'Homestead', 'II']"
24	meet your fellow passengers, take skill-building classes, 	Познакомитесь с остальными, повысите квалификацию. 	['Познакомитесь', 'с', 'остальными', 'повысите', 'квалификацию']	['meet', 'your', 'fellow', 'passengers', 'take', 'skill-building', 'classes']
25	and learn about colonial living. 	Узнаете о жизни в поселении. 	['Узнаете', 'о', 'жизни', 'в', 'поселении']	['and', 'learn', 'about', 'colonial', 'living']
26	You've been assigned to learning group 38 for passengers with engineering and technical trade skills. 	Вы член группы учащихся 38 - для пассажиров с инженерными навыками. 	['Вы', 'член', 'группы', 'учащихся', '38', 'для', 'пассажиров', 'с', 'инженерными', 'навыками']	"[""You've"", 'been', 'assigned', 'to', 'learning', 'group', '38', 'for', 'passengers', 'with', 'engineering', 'and', 'technical', 'trade', 'skills']"
27	Please scan your ID to confirm luggage delivery. 	Просканируйте браслет и получите ваш багаж. 	['Просканируйте', 'браслет', 'и', 'получите', 'ваш', 'багаж']	['Please', 'scan', 'your', 'ID', 'to', 'confirm', 'luggage', 'delivery']
28	Jim. 	Джим! 	['Джим']	['Jim']
29	Please scan your ID to confirm luggage delivery. 	Просканируйте браслет и получите ваш багаж. 	['Просканируйте', 'браслет', 'и', 'получите', 'ваш', 'багаж']	['Please', 'scan', 'your', 'ID', 'to', 'confirm', 'luggage', 'delivery']
30	To help you recover from hibernation, be sure to drink plenty of fluids. 	Чтобы помочь организму быстрее восстановиться, надо пить много жидкости. 	['Чтобы', 'помочь', 'организму', 'быстрее', 'восстановиться', 'надо', 'пить', 'много', 'жидкости']	['To', 'help', 'you', 'recover', 'from', 'hibernation', 'be', 'sure', 'to', 'drink', 'plenty', 'of', 'fluids']
31	Enjoy the rest of your voyage on the Avalon, 	Приятно провести оставшееся в полёте время… 	['Приятно', 'провести', 'оставшееся', 'в', 'полёте', 'время…']	['Enjoy', 'the', 'rest', 'of', 'your', 'voyage', 'on', 'the', 'Avalon']
32	a Homestead Company Starship. 	на межпланетном корабле «Авалон» компании «Родная обитель». 	['на', 'межпланетном', 'корабле', '«Авалон»', 'компании', '«Родная', 'обитель»']	['a', 'Homestead', 'Company', 'Starship']
33	Good morning, one and all. It's a beautiful morning here on the Starship Avalon. 	Доброе утро! Какое прекрасное утро на «Авалоне»! 	['Доброе', 'утро', 'Какое', 'прекрасное', 'утро', 'на', '«Авалоне»']	"['Good', 'morning', 'one', 'and', 'all', ""It's"", 'a', 'beautiful', 'morning', 'here', 'on', 'the', 'Starship', 'Avalon']"
34	Whatever you do, don't get homesick, get Homestead. 	Не тоскуйте по родному дому, ведь вас ждёт «Родная обитель». 	['Не', 'тоскуйте', 'по', 'родному', 'дому', 'ведь', 'вас', 'ждёт', '«Родная', 'обитель»']	"['Whatever', 'you', 'do', ""don't"", 'get', 'homesick', 'get', 'Homestead']"
35	Let's start things off with one of my favorites back on Earth. Once upon a time You dressed so fine Threw the bums a dime in your prime Didn't you? 	Начнём с одной из моих любимых ещё там, на Земле, композиций. 	['Начнём', 'с', 'одной', 'из', 'моих', 'любимых', 'ещё', 'там', 'на', 'Земле', 'композиций']	"[""Let's"", 'start', 'things', 'off', 'with', 'one', 'of', 'my', 'favorites', 'back', 'on', 'Earth', 'Once', 'upon', 'a', 'time', 'You', 'dressed', 'so', 'fine', 'Threw', 'the', 'bums', 'a', 'dime', 'in', 'your', 'prime', ""Didn't"", 'you']"
36	No. 	Нет. 	['Нет']	['No']
37	That's stupid. 	Глупо. 	['Глупо']	"[""That's"", 'stupid']"
38	Just own it. Own it, Jim. You got a cool jacket. 	Смелее. Смелее, Джим. У тебя крутой куртец. 	['Смелее', 'Смелее', 'Джим', 'У', 'тебя', 'крутой', 'куртец']	['Just', 'own', 'it', 'Own', 'it', 'Jim', 'You', 'got', 'a', 'cool', 'jacket']
39	Hello, passengers. 	Здравствуйте, пассажиры. 	['Здравствуйте', 'пассажиры']	['Hello', 'passengers']
40	Will you all please take a seat. 	Я попрошу вас всех сесть. 	['Я', 'попрошу', 'вас', 'всех', 'сесть']	['Will', 'you', 'all', 'please', 'take', 'a', 'seat']
41	Welcome, learning group 38. Your introduction to colonial life. 	Приветствую, группа номер 38. Это вводный курс в колониальную жизнь. 	['Приветствую', 'группа', 'номер', '38', 'Это', 'вводный', 'курс', 'в', 'колониальную', 'жизнь']	['Welcome', 'learning', 'group', '38', 'Your', 'introduction', 'to', 'colonial', 'life']
42	Earth is a prosperous planet, the cradle of civilization. 	Земля - плодородная планета, колыбель цивилизации. 	['Земля', 'плодородная', 'планета', 'колыбель', 'цивилизации']	['Earth', 'is', 'a', 'prosperous', 'planet', 'the', 'cradle', 'of', 'civilization']
43	But for many, it's also overpopulated, overpriced, overrated. 	Но жизнь на ней слишком дорогостояща. Она мала и неудобна. 	['Но', 'жизнь', 'на', 'ней', 'слишком', 'дорогостояща', 'Она', 'мала', 'и', 'неудобна']	"['But', 'for', 'many', ""it's"", 'also', 'overpopulated', 'overpriced', 'overrated']"
44	I'm sorry, I think I may be in the wrong... Hold all questions till the end, please. 	Простите, я… - Я подумал, что, возможно… - Вопросы в конце, не перебивайте. 	['Простите', 'я…', 'Я', 'подумал', 'что', 'возможно…', 'Вопросы', 'в', 'конце', 'не', 'перебивайте']	"[""I'm"", 'sorry', 'I', 'think', 'I', 'may', 'be', 'in', 'the', 'wrong', 'Hold', 'all', 'questions', 'till', 'the', 'end', 'please']"
45	Oh, sorry. The colonies offer an alternative, a better way of life. 	- Простите. - Колонии предлагают альтернативу. Жизнь в них намного лучше. 	['Простите', 'Колонии', 'предлагают', 'альтернативу', 'Жизнь', 'в', 'них', 'намного', 'лучше']	['Oh', 'sorry', 'The', 'colonies', 'offer', 'an', 'alternative', 'a', 'better', 'way', 'of', 'life']
46	Where are all the other... And there's no colony more beautiful than Homestead II, the jewel of the occupied world. 	- Простите, а остальные... - И нет колонии прекраснее… чем «Родная обитель 2» - жемчужина Захваченных Миров. 	['Простите', 'а', 'остальные', 'И', 'нет', 'колонии', 'прекраснее…', 'чем', '«Родная', 'обитель', '2»', 'жемчужина', 'Захваченных', 'Миров']	"['Where', 'are', 'all', 'the', 'other', 'And', ""there's"", 'no', 'colony', 'more', 'beautiful', 'than', 'Homestead', 'II', 'the', 'jewel', 'of', 'the', 'occupied', 'world']"
47	I'm sorry. 	Простите. 	['Простите']	"[""I'm"", 'sorry']"
48	Where is everybody? We are all on the Starship Avalon. 	- А где остальные? - Мы на межпланетном корабле «Авалон». 	['А', 'где', 'остальные', 'Мы', 'на', 'межпланетном', 'корабле', '«Авалон»']	['Where', 'is', 'everybody', 'We', 'are', 'all', 'on', 'the', 'Starship', 'Avalon']
49	But I'm the only one here. 	Но я же здесь один. 	['Но', 'я', 'же', 'здесь', 'один']	"['But', ""I'm"", 'the', 'only', 'one', 'here']"
50	There are 5,000 passengers and 258 crew members. 	Здесь 5 000 пассажиров и 258 членов экипажа. 	['Здесь', '5', '000', 'пассажиров', 'и', '258', 'членов', 'экипажа']	['There', 'are', '5,000', 'passengers', 'and', '258', 'crew', 'members']
51	So why am I alone? 	Тогда почему я один? 	['Тогда', 'почему', 'я', 'один']	['So', 'why', 'am', 'I', 'alone']
52	We're all in this together. 	Вы не одиноки. Мы вместе на этом корабле. 	['Вы', 'не', 'одиноки', 'Мы', 'вместе', 'на', 'этом', 'корабле']	"[""We're"", 'all', 'in', 'this', 'together']"
53	Hello? 	Эй! 	['Эй']	['Hello']
54	Anybody here? 	Тут кто-нибудь есть?! Ау! 	['Тут', 'кто-нибудь', 'есть', 'Ау']	['Anybody', 'here']
55	Hello? Please buckle up and secure any loose items. 	Пристегнитесь и придерживайте незакреплённые предметы. 	['Пристегнитесь', 'и', 'придерживайте', 'незакреплённые', 'предметы']	['Hello', 'Please', 'buckle', 'up', 'and', 'secure', 'any', 'loose', 'items']
56	This elevator will experience a momentary lapse in gravity. 	Лифт будет находиться в состоянии невесомости. 	['Лифт', 'будет', 'находиться', 'в', 'состоянии', 'невесомости']	['This', 'elevator', 'will', 'experience', 'a', 'momentary', 'lapse', 'in', 'gravity']
57	Grand concourse. 	Главный вестибюль. 	['Главный', 'вестибюль']	['Grand', 'concourse']
58	Hello. 	Здравствуйте! 	['Здравствуйте']	['Hello']
59	Welcome to the grand concourse aboard the Avalon. Can I help you? 	Вы в Главном вестибюле корабля «Авалон». Чем могу вам помочь? 	['Вы', 'в', 'Главном', 'вестибюле', 'корабля', '«Авалон»', 'Чем', 'могу', 'вам', 'помочь']	['Welcome', 'to', 'the', 'grand', 'concourse', 'aboard', 'the', 'Avalon', 'Can', 'I', 'help', 'you']
60	I need to talk to a person. 	Я хочу поговорить с кем-нибудь. 	['Я', 'хочу', 'поговорить', 'с', 'кем-нибудь']	['I', 'need', 'to', 'talk', 'to', 'a', 'person']
61	A real live person, please? What sort of person? Personal trainer? Travel planner? - Therapist? - I... I don't know. Somebody in charge. 	- С живым человеком, если можно. - С кем именно? - С тренером? С турагентом? С врачом? - Не знаю. С кем-то из начальства. 	['С', 'живым', 'человеком', 'если', 'можно', 'С', 'кем', 'именно', 'С', 'тренером', 'С', 'турагентом', 'С', 'врачом', 'Не', 'знаю', 'С', 'кем-то', 'из', 'начальства']	"['A', 'real', 'live', 'person', 'please', 'What', 'sort', 'of', 'person', 'Personal', 'trainer', 'Travel', 'planner', 'Therapist', 'I', 'I', ""don't"", 'know', 'Somebody', 'in', 'charge']"
62	The ship's steward handles passenger affairs. It's on level three of the grand concourse. 	Стюард, отвечающий за пассажиров, на 3 уровне Главного вестибюля. 	['Стюард', 'отвечающий', 'за', 'пассажиров', 'на', '3', 'уровне', 'Главного', 'вестибюля']	"['The', ""ship's"", 'steward', 'handles', 'passenger', 'affairs', ""It's"", 'on', 'level', 'three', 'of', 'the', 'grand', 'concourse']"
63	- Thank you. - Happy to help. 	- Спасибо. - Рад помочь. 	['Спасибо', 'Рад', 'помочь']	['Thank', 'you', 'Happy', 'to', 'help']
64	Not good. 	Хреново. 	['Хреново']	['Not', 'good']
65	- Hello. - Who's flying the ship? 	- Здравствуйте. - Кто ведёт корабль? 	['Здравствуйте', 'Кто', 'ведёт', 'корабль']	"['Hello', ""Who's"", 'flying', 'the', 'ship']"
66	The flight crew, the captain, the pilot, the chief navigator... 	Экипаж: капитан, пилот, главный штурман. 	['Экипаж', 'капитан', 'пилот', 'главный', 'штурман']	['The', 'flight', 'crew', 'the', 'captain', 'the', 'pilot', 'the', 'chief', 'navigator']
67	Captain. I want to speak to the captain. 	Я хочу поговорить с капитаном. 	['Я', 'хочу', 'поговорить', 'с', 'капитаном']	['Captain', 'I', 'want', 'to', 'speak', 'to', 'the', 'captain']
68	The captain rarely handles passenger queries... It's an emergency! Please. 	- Он не занимается вопросами пассажиров. - Нештатная ситуация! Пожалуйста! 	['Он', 'не', 'занимается', 'вопросами', 'пассажиров', 'Нештатная', 'ситуация', 'Пожалуйста']	"['The', 'captain', 'rarely', 'handles', 'passenger', 'queries', ""It's"", 'an', 'emergency', 'Please']"
69	The captain is usually found on the bridge, in the command ring. 	Капитана можно найти на мостике в кольцевой зоне экипажа. 	['Капитана', 'можно', 'найти', 'на', 'мостике', 'в', 'кольцевой', 'зоне', 'экипажа']	['The', 'captain', 'is', 'usually', 'found', 'on', 'the', 'bridge', 'in', 'the', 'command', 'ring']
70	Bridge access requires special authorization. 	Для доступа на мостик требуется особое разрешение. 	['Для', 'доступа', 'на', 'мостик', 'требуется', 'особое', 'разрешение']	['Bridge', 'access', 'requires', 'special', 'authorization']
71	Bridge access requires special authorization. 	Для доступа на мостик требуется особое разрешение. 	['Для', 'доступа', 'на', 'мостик', 'требуется', 'особое', 'разрешение']	['Bridge', 'access', 'requires', 'special', 'authorization']
72	You got to be kidding me. 	Вы издеваетесь, да?! 	['Вы', 'издеваетесь', 'да']	['You', 'got', 'to', 'be', 'kidding', 'me']
