	en	ru	ru_tokens	en_tokens
0	Go, go, go, go! Move it, move it! 	Пошёл, пошёл!                             Давай, двигай! 	['Пошёл', 'пошёл', 'Давай', 'двигай']	['Go', 'go', 'go', 'go', 'Move', 'it', 'move', 'it']
1	Move it! Let's go! 	Двигай! Пошли! 	['Двигай', 'Пошли']	"['Move', 'it', ""Let's"", 'go']"
2	Move, move! In the car! Let's go. 	Шевелись! В машину!                       Поехали. 	['Шевелись', 'В', 'машину', 'Поехали']	"['Move', 'move', 'In', 'the', 'car', ""Let's"", 'go']"
3	Let's go! 	Поехали! 	['Поехали']	"[""Let's"", 'go']"
4	There's 4 of you. 	Вас четверо. 	['Вас', 'четверо']	"[""There's"", '4', 'of', 'you']"
5	You can count. I'm impressed. Now drive. 	Ты умеешь считать.                        Я поражён. Теперь езжай. 	['Ты', 'умеешь', 'считать', 'Я', 'поражён', 'Теперь', 'езжай']	"['You', 'can', 'count', ""I'm"", 'impressed', 'Now', 'drive']"
6	Rule one... Never change the deal. 	Правило номер один...                     Никогда не изменяй сделку. 	['Правило', 'номер', 'один', 'Никогда', 'не', 'изменяй', 'сделку']	['Rule', 'one', 'Never', 'change', 'the', 'deal']
7	The deal was transportation... 	Сделкой была транспортировка... 	['Сделкой', 'была', 'транспортировка']	['The', 'deal', 'was', 'transportation']
8	for 3 men with a combined weight... 	3-х человек общим весом... 	['3-х', 'человек', 'общим', 'весом']	['for', '3', 'men', 'with', 'a', 'combined', 'weight']
9	of 254 kilos. 	254 килограмма. 	['254', 'килограмма']	['of', '254', 'kilos']
10	Yeah? Well, this is a new deal. 	Да ну? Хорошо, это новая сделка. 	['Да', 'ну', 'Хорошо', 'это', 'новая', 'сделка']	['Yeah', 'Well', 'this', 'is', 'a', 'new', 'deal']
11	An extra 80 kilos means we'll not make... 	80 кило экстра означают, что мы не сможем 	['80', 'кило', 'экстра', 'означают', 'что', 'мы', 'не', 'сможем']	"['An', 'extra', '80', 'kilos', 'means', ""we'll"", 'not', 'make']"
12	your destination on the gas I have allotted. 	доехать до цели без дозаправки. 	['доехать', 'до', 'цели', 'без', 'дозаправки']	['your', 'destination', 'on', 'the', 'gas', 'I', 'have', 'allotted']
13	So we'll stop and get more gas! 	Так остановимся и заправимся! 	['Так', 'остановимся', 'и', 'заправимся']	"['So', ""we'll"", 'stop', 'and', 'get', 'more', 'gas']"
14	Every stop we make exposes us. 	Каждая остановка нас обнаруживает. 	['Каждая', 'остановка', 'нас', 'обнаруживает']	['Every', 'stop', 'we', 'make', 'exposes', 'us']
15	Every exposure... 	Каждое обнаружение... 	['Каждое', 'обнаружение']	['Every', 'exposure']
16	increases the risk of getting caught. 	увеличивает риск быть пойманным. 	['увеличивает', 'риск', 'быть', 'пойманным']	['increases', 'the', 'risk', 'of', 'getting', 'caught']
17	An extra 80 kilos means the Koni shock absorbers... 	80 экстра кило означает,                  что конические амортизаторы... 	['80', 'экстра', 'кило', 'означает', 'что', 'конические', 'амортизаторы']	['An', 'extra', '80', 'kilos', 'means', 'the', 'Koni', 'shock', 'absorbers']
18	I installed for this job will not give us... 	которые я поставил для этой               работы, не дадут... 	['которые', 'я', 'поставил', 'для', 'этой', 'работы', 'не', 'дадут']	['I', 'installed', 'for', 'this', 'job', 'will', 'not', 'give', 'us']
19	the ability to outmaneuver... 	полной отдачи для ухода... 	['полной', 'отдачи', 'для', 'ухода']	['the', 'ability', 'to', 'outmaneuver']
20	any police that might be chasing us. 	от полиции, которая может нас преследовать. 	['от', 'полиции', 'которая', 'может', 'нас', 'преследовать']	['any', 'police', 'that', 'might', 'be', 'chasing', 'us']
21	Which means, if there is a chase... 	Что означает, в случае погони... 	['Что', 'означает', 'в', 'случае', 'погони']	['Which', 'means', 'if', 'there', 'is', 'a', 'chase']
