	en	ru	ru_tokens	en_tokens
0	♪ If I didn't care 	* Если бы я не чувствовал что-то большее * 	['Если', 'бы', 'я', 'не', 'чувствовал', 'что-то', 'большее']	"['♪', 'If', 'I', ""didn't"", 'care']"
1	♪ More than words can say 	* Чем мог сказать * 	['Чем', 'мог', 'сказать']	['♪', 'More', 'than', 'words', 'can', 'say']
2	♪ If I didn't care 	* Если бы я не чувствовал что-то большее * 	['Если', 'бы', 'я', 'не', 'чувствовал', 'что-то', 'большее']	"['♪', 'If', 'I', ""didn't"", 'care']"
3	♪ Would I feel this way? 	* Разве я ощущал бы это? * 	['Разве', 'я', 'ощущал', 'бы', 'это']	['♪', 'Would', 'I', 'feel', 'this', 'way']
4	♪ If this isn't love 	* И если это не любовь * 	['И', 'если', 'это', 'не', 'любовь']	"['♪', 'If', 'this', ""isn't"", 'love']"
5	♪ Then why do I thrill? 	* То почему я так взволнован? * 	['То', 'почему', 'я', 'так', 'взволнован']	['♪', 'Then', 'why', 'do', 'I', 'thrill']
6	♪ And what makes my head go round and round 	* И что тогда заставляет меня * * все время думать о тебе * 	['И', 'что', 'тогда', 'заставляет', 'меня', 'все', 'время', 'думать', 'о', 'тебе']	['♪', 'And', 'what', 'makes', 'my', 'head', 'go', 'round', 'and', 'round']
7	♪ While my heart stands still? 	* В то время, как мое сердце бьется ровно? * 	['В', 'то', 'время', 'как', 'мое', 'сердце', 'бьется', 'ровно']	['♪', 'While', 'my', 'heart', 'stands', 'still']
8	♪ If I didn't care 	* Если бы я не чувствовал что-то большее * 	['Если', 'бы', 'я', 'не', 'чувствовал', 'что-то', 'большее']	"['♪', 'If', 'I', ""didn't"", 'care']"
9	♪ Would it be the same? 	* Разве бы было так, как сейчас? * 	['Разве', 'бы', 'было', 'так', 'как', 'сейчас']	['♪', 'Would', 'it', 'be', 'the', 'same']
10	♪ Would my every prayer begin and end 	* Когда любая моя мольба * * начинается и заканчивается * 	['Когда', 'любая', 'моя', 'мольба', 'начинается', 'и', 'заканчивается']	['♪', 'Would', 'my', 'every', 'prayer', 'begin', 'and', 'end']
11	♪ With just your name? 	* Твоим именем? * 	['Твоим', 'именем']	['♪', 'With', 'just', 'your', 'name']
12	♪ And would I be sure 	* И разве был бы я уверен * 	['И', 'разве', 'был', 'бы', 'я', 'уверен']	['♪', 'And', 'would', 'I', 'be', 'sure']
13	♪ That this is love beyond compare? 	* Что это любовь, какой ни у кого не было? * 	['Что', 'это', 'любовь', 'какой', 'ни', 'у', 'кого', 'не', 'было']	['♪', 'That', 'this', 'is', 'love', 'beyond', 'compare']
14	♪ Would all this be true 	* Разве было бы все именно так * 	['Разве', 'было', 'бы', 'все', 'именно', 'так']	['♪', 'Would', 'all', 'this', 'be', 'true']
15	♪ If I didn't care for you? 	* Если бы я не любил тебя * * больше жизни? * 	['Если', 'бы', 'я', 'не', 'любил', 'тебя', 'больше', 'жизни']	"['♪', 'If', 'I', ""didn't"", 'care', 'for', 'you']"
