	en	ru	ru_tokens	en_tokens
0	No, I can't concentrate! 	Нет, я не могу сосредоточиться! 	['Нет', 'я', 'не', 'могу', 'сосредоточиться']	"['No', 'I', ""can't"", 'concentrate']"
1	Maestro, I'm sorry, but I can't carry on like this. 	Маэстро, к сожалению, я не могу продолжать так. 	['Маэстро', 'к', 'сожалению', 'я', 'не', 'могу', 'продолжать', 'так']	"['Maestro', ""I'm"", 'sorry', 'but', 'I', ""can't"", 'carry', 'on', 'like', 'this']"
2	Let's take itfrom number37. 	С 37 цифры, пожалуйста. 	['С', '37', 'цифры', 'пожалуйста']	"[""Let's"", 'take', 'itfrom', 'number37']"
3	Oh, my God! No! No! 	О, Боже! Нет! 	['О', 'Боже', 'Нет']	['Oh', 'my', 'God', 'No', 'No']
4	Maestro, Iet's take it from ''Qui e aItrove''. 	Маэстро, начните  с ''Qui e altrove''. 	"['Маэстро', 'начните', 'с', ""''Qui"", 'e', ""altrove''""]"	"['Maestro', ""Iet's"", 'take', 'it', 'from', ""''Qui"", 'e', ""aItrove''""]"
5	Stop! Stop! 	Стоп! 	['Стоп']	['Stop', 'Stop']
6	I can't stand it anymore! 	Я этого больше не вынесу! 	['Я', 'этого', 'больше', 'не', 'вынесу']	"['I', ""can't"", 'stand', 'it', 'anymore']"
7	- It's ridicuIous. - Poorthing, are you hurt? 	- Это же нелепо. - Бедняжка, тебе больно? 	['Это', 'же', 'нелепо', 'Бедняжка', 'тебе', 'больно']	"[""It's"", 'ridicuIous', 'Poorthing', 'are', 'you', 'hurt']"
8	It's ridiculous! This is ''Macbeth'' by Giuseppe Verdi. 	"Нелепость! И это ""Макбет"" Джузеппе Верди. "	['Нелепость', 'И', 'это', 'Макбет', 'Джузеппе', 'Верди']	"[""It's"", 'ridiculous', 'This', 'is', ""''Macbeth''"", 'by', 'Giuseppe', 'Verdi']"
9	l've neverseen such Iousy direction! 	Никогда не видела такой  отвратительной постановки! 	['Никогда', 'не', 'видела', 'такой', 'отвратительной', 'постановки']	"[""l've"", 'neverseen', 'such', 'Iousy', 'direction']"
10	-We have a probIem? -Yes, you! 	-У нас проблема? -Да, Вы! 	['У', 'нас', 'проблема', 'Да', 'Вы']	['We', 'have', 'a', 'probIem', 'Yes', 'you']
11	This isn't one of your crud movies! Birds on stage, bad projection! 	Это - не какой-то там Ваш дрянной фильм! Птицы на сцене, лазерные лучи! 	['Это', 'не', 'какой-то', 'там', 'Ваш', 'дрянной', 'фильм', 'Птицы', 'на', 'сцене', 'лазерные', 'лучи']	"['This', ""isn't"", 'one', 'of', 'your', 'crud', 'movies', 'Birds', 'on', 'stage', 'bad', 'projection']"
12	ls this an opera or an amusement park? 	Это опера или  парк аттракционов? 	['Это', 'опера', 'или', 'парк', 'аттракционов']	['ls', 'this', 'an', 'opera', 'or', 'an', 'amusement', 'park']
