	en	ru	ru_tokens	en_tokens
0	Hi! 	А, здравствуйте. Отлично, рад вас видеть. Так, пожалуйста. Отлично. 	['А', 'здравствуйте', 'Отлично', 'рад', 'вас', 'видеть', 'Так', 'пожалуйста', 'Отлично']	['Hi']
1	Happy, happy, happy... 	Поздравляем! Поздравляем! Поздравляем! 	['Поздравляем', 'Поздравляем', 'Поздравляем']	['Happy', 'happy', 'happy']
2	Anniversary. 	С годовщиной. 	['С', 'годовщиной']	['Anniversary']
3	Some things never change, do they? 	Время идёт, а ты всё та же, да? 	['Время', 'идёт', 'а', 'ты', 'всё', 'та', 'же', 'да']	['Some', 'things', 'never', 'change', 'do', 'they']
4	I just thought you might be drifting. 	Да, а я думала ты слова забыл! 	['Да', 'а', 'я', 'думала', 'ты', 'слова', 'забыл']	['I', 'just', 'thought', 'you', 'might', 'be', 'drifting']
5	- He was pausing. - Exactly. 	- Это Фауст - Вот именно. 	['Это', 'Фауст', 'Вот', 'именно']	['He', 'was', 'pausing', 'Exactly']
6	- Okay. - Happy anniversary. 	С годовщиной. 	['С', 'годовщиной']	['Okay', 'Happy', 'anniversary']
7	You two have led an extraordinarily blessed life. 	Вы столько лет вместе 	['Вы', 'столько', 'лет', 'вместе']	['You', 'two', 'have', 'led', 'an', 'extraordinarily', 'blessed', 'life']
8	For as long as I've known you, 	и ваш союз всё ещё полон любви. 	['и', 'ваш', 'союз', 'всё', 'ещё', 'полон', 'любви']	"['For', 'as', 'long', 'as', ""I've"", 'known', 'you']"
9	you've managed to always somehow  do everything entirely right. 	Сколько вас знаю, вам всегда удавалось делать всё, как надо! 	['Сколько', 'вас', 'знаю', 'вам', 'всегда', 'удавалось', 'делать', 'всё', 'как', 'надо']	"[""you've"", 'managed', 'to', 'always', 'somehow', 'do', 'everything', 'entirely', 'right']"
10	That's so true. 	Словно на зависть! 	['Словно', 'на', 'зависть']	"[""That's"", 'so', 'true']"
11	But honestly, how could it be?  30 years? 	- Это точно - Неужели 30 лет прошло? 	['Это', 'точно', 'Неужели', '30', 'лет', 'прошло']	['But', 'honestly', 'how', 'could', 'it', 'be', '30', 'years']
12	When did we do that trip to Spain? It was for both of our what? 	В Испании в четвером вы какую годовщину отмечали? 	['В', 'Испании', 'в', 'четвером', 'вы', 'какую', 'годовщину', 'отмечали']	['When', 'did', 'we', 'do', 'that', 'trip', 'to', 'Spain', 'It', 'was', 'for', 'both', 'of', 'our', 'what']
13	Fifteenth anniversaries. 	- 15 лет вместе. 	['15', 'лет', 'вместе']	['Fifteenth', 'anniversaries']
14	God, that was a great trip. 	Чудесная была поездочка. 	['Чудесная', 'была', 'поездочка']	['God', 'that', 'was', 'a', 'great', 'trip']
15	Yeah. 	Да. 	['Да']	['Yeah']
16	- Hey, guys. How's it going? - Hey! 	- Эй, привет, молодёжь. - Привет. 	['Эй', 'привет', 'молодёжь', 'Привет']	"['Hey', 'guys', ""How's"", 'it', 'going', 'Hey']"
17	- Hey, Ollie. - How was graduation? 	Привет, Олли. 	['Привет', 'Олли']	['Hey', 'Ollie', 'How', 'was', 'graduation']
18	It was fantastic. When's Luke's graduation? 	- Как прошёл выпускной? - Просто фантастика! А у Люка когда? 	['Как', 'прошёл', 'выпускной', 'Просто', 'фантастика', 'А', 'у', 'Люка', 'когда']	"['It', 'was', 'fantastic', ""When's"", ""Luke's"", 'graduation']"
19	Next week. 	На следующей неделе. 	['На', 'следующей', 'неделе']	['Next', 'week']
20	It's in three days. Oh, I'm sorry. I mean, this week. 	- Через 3 дня. - Виноват, на этой неделе. 	['Через', '3', 'дня', 'Виноват', 'на', 'этой', 'неделе']	"[""It's"", 'in', 'three', 'days', 'Oh', ""I'm"", 'sorry', 'I', 'mean', 'this', 'week']"
21	Are the girls going? 	А девочки пойдут? 	['А', 'девочки', 'пойдут']	['Are', 'the', 'girls', 'going']
22	Yeah, they can't wait. 	- А как же, все пойдут. - Они волнуются, наверное. Да, ждут не дождутся. 	['А', 'как', 'же', 'все', 'пойдут', 'Они', 'волнуются', 'наверное', 'Да', 'ждут', 'не', 'дождутся']	"['Yeah', 'they', ""can't"", 'wait']"
23	How long is Luke home before he has to go back to work? 	А Люку когда на работу? Сколько он дома пробудет? 	['А', 'Люку', 'когда', 'на', 'работу', 'Сколько', 'он', 'дома', 'пробудет']	['How', 'long', 'is', 'Luke', 'home', 'before', 'he', 'has', 'to', 'go', 'back', 'to', 'work']
24	- Um... Only a week. - Oh! 	Эм... Всего неделю. 	['Эм', 'Всего', 'неделю']	['Um', 'Only', 'a', 'week', 'Oh']
25	That's it? 	И всё? 	['И', 'всё']	"[""That's"", 'it']"
26	I know. I hate it. 	Да, я сама в ужасе. 	['Да', 'я', 'сама', 'в', 'ужасе']	['I', 'know', 'I', 'hate', 'it']
27	- Hi, I'm back. - Hey. 	Привет, а вот и я. 	['Привет', 'а', 'вот', 'и', 'я']	"['Hi', ""I'm"", 'back', 'Hey']"
28	Here you go, babe. 	Тортик тебе принесла. 	['Тортик', 'тебе', 'принесла']	['Here', 'you', 'go', 'babe']
29	Well, congrats again. Great, great party. 	Что-ж. Ещё раз вас поздравляю. Это прекрасный вечер. 	['Что-ж', 'Ещё', 'раз', 'вас', 'поздравляю', 'Это', 'прекрасный', 'вечер']	['Well', 'congrats', 'again', 'Great', 'great', 'party']
30	And I'll see you two in New York. 	А вас двоих я увижу в Нью-Йорке. 	['А', 'вас', 'двоих', 'я', 'увижу', 'в', 'Нью-Йорке']	"['And', ""I'll"", 'see', 'you', 'two', 'in', 'New', 'York']"
31	Absolutely, I'm looking forward to it. 	Обязательно, я очень жду. 	['Обязательно', 'я', 'очень', 'жду']	"['Absolutely', ""I'm"", 'looking', 'forward', 'to', 'it']"
32	Yeah. Good. Well... 	Да, хорошо. 	['Да', 'хорошо']	['Yeah', 'Good', 'Well']
33	Hey, Jane, what are you  wearing to the graduation? 	Джейн, вы на выпускной Люка что наденете? 	['Джейн', 'вы', 'на', 'выпускной', 'Люка', 'что', 'наденете']	['Hey', 'Jane', 'what', 'are', 'you', 'wearing', 'to', 'the', 'graduation']
34	Oh! A suit or a dress. Probably a suit. Fine. Okay. I like that. 	Костюм или платье. - Наверное костюм. - О, стильно! Одобряю. 	['Костюм', 'или', 'платье', 'Наверное', 'костюм', 'О', 'стильно', 'Одобряю']	['Oh', 'A', 'suit', 'or', 'a', 'dress', 'Probably', 'a', 'suit', 'Fine', 'Okay', 'I', 'like', 'that']
35	Uh, Janey, we'll see you there. Where are you staying? 	Дженни, мы ещё увидимся. А ты где остановишься? 	['Дженни', 'мы', 'ещё', 'увидимся', 'А', 'ты', 'где', 'остановишься']	"['Uh', 'Janey', ""we'll"", 'see', 'you', 'there', 'Where', 'are', 'you', 'staying']"
36	We're at the Park Regent. 	В Парк Реган. 	['В', 'Парк', 'Реган']	"[""We're"", 'at', 'the', 'Park', 'Regent']"
37	You said you were at the Four Seasons, right? 	Ты говорил, вы в Порт Юдженс? Так? 	['Ты', 'говорил', 'вы', 'в', 'Порт', 'Юдженс', 'Так']	['You', 'said', 'you', 'were', 'at', 'the', 'Four', 'Seasons', 'right']
38	I don't know. Where are we? We're at the Park Regent, too. 	- Я и не знаю, где мы живём, дорогая? - Тоже в Парк Юджен. 	['Я', 'и', 'не', 'знаю', 'где', 'мы', 'живём', 'дорогая', 'Тоже', 'в', 'Парк', 'Юджен']	"['I', ""don't"", 'know', 'Where', 'are', 'we', ""We're"", 'at', 'the', 'Park', 'Regent', 'too']"
39	Oh. Good. That's... That'll be convenient, actually for... 	Славно! Там всем будет даже удобнее... 	['Славно', 'Там', 'всем', 'будет', 'даже', 'удобнее']	"['Oh', 'Good', ""That's"", ""That'll"", 'be', 'convenient', 'actually', 'for']"
40	Okay. So, well... See you soon. 	Хорошо. 	['Хорошо']	['Okay', 'So', 'well', 'See', 'you', 'soon']
41	Bye, Janey. 	- Ну до встречи. - Пока Джейн. 	['Ну', 'до', 'встречи', 'Пока', 'Джейн']	['Bye', 'Janey']
42	I'll walk you out. 	Я тебя провожу. 	['Я', 'тебя', 'провожу']	"[""I'll"", 'walk', 'you', 'out']"
