	en	ru	ru_tokens	en_tokens
0	Ana, take my car. 	Ана, возьми мою машину. 	['Ана', 'возьми', 'мою', 'машину']	['Ana', 'take', 'my', 'car']
1	I gave you the recorder, right? 	Я отдала тебе диктофон? 	['Я', 'отдала', 'тебе', 'диктофон']	['I', 'gave', 'you', 'the', 'recorder', 'right']
2	Oh, yes. 	Да. 	['Да']	['Oh', 'yes']
3	And you have all the questions? 	И у тебя есть список вопросов? 	['И', 'у', 'тебя', 'есть', 'список', 'вопросов']	['And', 'you', 'have', 'all', 'the', 'questions']
4	Yes. 	Да. 	['Да']	['Yes']
5	And you know where you're going? 	- И ты знаешь, куда ехать? 	['И', 'ты', 'знаешь', 'куда', 'ехать']	"['And', 'you', 'know', 'where', ""you're"", 'going']"
6	Yes, I do have a GPS. 	- Да, у меня есть навигатор. 	['Да', 'у', 'меня', 'есть', 'навигатор']	['Yes', 'I', 'do', 'have', 'a', 'GPS']
7	And a 4.0 GPA. 	И я отличница. 	['И', 'я', 'отличница']	['And', 'a', '4.0', 'GPA']
8	I can figure it out. 	Как-нибудь разберусь. 	['Как-нибудь', 'разберусь']	['I', 'can', 'figure', 'it', 'out']
9	Are you wearing that? 	Ты поедешь вот в этом? 	['Ты', 'поедешь', 'вот', 'в', 'этом']	['Are', 'you', 'wearing', 'that']
10	Okay, maybe a little less talking, 	Слушай, может тебе поменьше говорить 	['Слушай', 'может', 'тебе', 'поменьше', 'говорить']	['Okay', 'maybe', 'a', 'little', 'less', 'talking']
11	more eating. 	и больше есть. 	['и', 'больше', 'есть']	['more', 'eating']
12	How about that? 	Как насчет этого? 	['Как', 'насчет', 'этого']	['How', 'about', 'that']
13	Wow. 	Ого. 	['Ого']	['Wow']
14	Miss Kavanagh? 	Мисс Кавана? 	['Мисс', 'Кавана']	['Miss', 'Kavanagh']
15	May I take your coat? 	Позвольте мне взять у вас пальто. 	['Позвольте', 'мне', 'взять', 'у', 'вас', 'пальто']	['May', 'I', 'take', 'your', 'coat']
16	Oh. Yeah. Um... 	Да. 	['Да']	['Oh', 'Yeah', 'Um']
17	She's... Okay, so... 	Она... Видите ли... 	['Она', 'Видите', 'ли']	"[""She's"", 'Okay', 'so']"
18	Mr. Grey will see you now. 	- М-р Грей вас ждет. 	['М-р', 'Грей', 'вас', 'ждет']	['Mr', 'Grey', 'will', 'see', 'you', 'now']
19	Okay. 	- Хорошо. 	['Хорошо']	['Okay']
20	This way, please. 	Сюда, пожалуйста. 	['Сюда', 'пожалуйста']	['This', 'way', 'please']
21	Okay Mr. Grey has a conference call at 11 :15. 	- Ладно. - У м-ра Грея телеконференция в 11.15. 	['Ладно', 'У', 'м-ра', 'Грея', 'телеконференция', 'в', '11.15']	['Okay', 'Mr', 'Grey', 'has', 'a', 'conference', 'call', 'at', '11', '15']
22	Right this way. 	Сюда. 	['Сюда']	['Right', 'this', 'way']
23	Miss Kavanagh. 	Мисс Кавана. 	['Мисс', 'Кавана']	['Miss', 'Kavanagh']
24	Are you all right? 	Вы не ушиблись? 	['Вы', 'не', 'ушиблись']	['Are', 'you', 'all', 'right']
25	Christian Grey. 	Кристиан Грей. 	['Кристиан', 'Грей']	['Christian', 'Grey']
26	I'm Anastasia Steele. 	Я Анастейша Стил. 	['Я', 'Анастейша', 'Стил']	"[""I'm"", 'Anastasia', 'Steele']"
27	Um, Miss Kavanagh has the flu, so she asked me to fill in. 	Мисс Кавана заболела, она попросила меня заменить ее. 	['Мисс', 'Кавана', 'заболела', 'она', 'попросила', 'меня', 'заменить', 'ее']	['Um', 'Miss', 'Kavanagh', 'has', 'the', 'flu', 'so', 'she', 'asked', 'me', 'to', 'fill', 'in']
28	I see. 	Понятно. 	['Понятно']	['I', 'see']
29	So, you're studying journalism as well. 	Вы тоже учитесь на журфаке. 	['Вы', 'тоже', 'учитесь', 'на', 'журфаке']	"['So', ""you're"", 'studying', 'journalism', 'as', 'well']"
30	No, English Lit. 	Нет, я изучаю английскую литературу. 	['Нет', 'я', 'изучаю', 'английскую', 'литературу']	['No', 'English', 'Lit']
31	Kate's my roommate. 	Кейт - моя соседка по комнате. 	['Кейт', 'моя', 'соседка', 'по', 'комнате']	"[""Kate's"", 'my', 'roommate']"
32	As I said, I only have 10 minutes. 	Как я говорил, что у меня всего 10 минут. 	['Как', 'я', 'говорил', 'что', 'у', 'меня', 'всего', '10', 'минут']	['As', 'I', 'said', 'I', 'only', 'have', '10', 'minutes']
33	Please, have a seat,  Miss Steele. 	Пожалуйста, садитесь, мисс Стил. 	['Пожалуйста', 'садитесь', 'мисс', 'Стил']	['Please', 'have', 'a', 'seat', 'Miss', 'Steele']
34	Okay. 	Хорошо. 	['Хорошо']	['Okay']
35	Thank you. 	Спасибо. 	['Спасибо']	['Thank', 'you']
36	Ready? 	Готовы? 	['Готовы']	['Ready']
37	Whenever you are. 	Да, если вы готовы. 	['Да', 'если', 'вы', 'готовы']	['Whenever', 'you', 'are']
38	Okay. Urn... 	Хорошо. 	['Хорошо']	['Okay', 'Urn']
39	So, this is for the special graduation issue of the student newspaper. 	Это интервью для выпускного номера студенческой газеты. 	['Это', 'интервью', 'для', 'выпускного', 'номера', 'студенческой', 'газеты']	['So', 'this', 'is', 'for', 'the', 'special', 'graduation', 'issue', 'of', 'the', 'student', 'newspaper']
40	Yes, I'm giving the commencement address at this year's ceremony. 	Да, я выступаю с речью перед студентами на церемонии выпуска. 	['Да', 'я', 'выступаю', 'с', 'речью', 'перед', 'студентами', 'на', 'церемонии', 'выпуска']	"['Yes', ""I'm"", 'giving', 'the', 'commencement', 'address', 'at', 'this', ""year's"", 'ceremony']"
41	You are? 	Правда? 	['Правда']	['You', 'are']
42	Imean, urn... 	То есть... 	['То', 'есть']	['Imean', 'urn']
43	I know. 	Я знаю. 	['Я', 'знаю']	['I', 'know']
44	You are very young to have amassed such an empire. 	"""Вы очень молоды, но при этом заработали огромное состояние. "	['Вы', 'очень', 'молоды', 'но', 'при', 'этом', 'заработали', 'огромное', 'состояние']	['You', 'are', 'very', 'young', 'to', 'have', 'amassed', 'such', 'an', 'empire']
45	To what do you owe your... 	"Чему вы обязаны своим..."" "	['Чему', 'вы', 'обязаны', 'своим']	['To', 'what', 'do', 'you', 'owe', 'your']
46	To what do I owe my success? 	Чему я обязан своим успехом? 	['Чему', 'я', 'обязан', 'своим', 'успехом']	['To', 'what', 'do', 'I', 'owe', 'my', 'success']
47	Yep. 	Да. 	['Да']	['Yep']
48	Seriously? 	Вы это всерьез? 	['Вы', 'это', 'всерьез']	['Seriously']
49	Yes. 	Да. 	['Да']	['Yes']
50	Business is about people. 	Главное в бизнесе - это люди. 	['Главное', 'в', 'бизнесе', 'это', 'люди']	['Business', 'is', 'about', 'people']
51	And I've always been good at people. 	Я всегда хорошо разбирался в людях. 	['Я', 'всегда', 'хорошо', 'разбирался', 'в', 'людях']	"['And', ""I've"", 'always', 'been', 'good', 'at', 'people']"
52	What motivates them, what incentivizes them, 	Что их мотивирует, что побуждает их работать, 	['Что', 'их', 'мотивирует', 'что', 'побуждает', 'их', 'работать']	['What', 'motivates', 'them', 'what', 'incentivizes', 'them']
53	what inspires them. 	что их вдохновляет. 	['что', 'их', 'вдохновляет']	['what', 'inspires', 'them']
54	Um, maybe you're just lucky. 	Может быть, вам просто повезло. 	['Может', 'быть', 'вам', 'просто', 'повезло']	"['Um', 'maybe', ""you're"", 'just', 'lucky']"
55	I've always found that the harder I work, the more luck I seem to have. 	Мне всегда казалось, что чем больше я работаю, тем больше мне везет. 	['Мне', 'всегда', 'казалось', 'что', 'чем', 'больше', 'я', 'работаю', 'тем', 'больше', 'мне', 'везет']	"[""I've"", 'always', 'found', 'that', 'the', 'harder', 'I', 'work', 'the', 'more', 'luck', 'I', 'seem', 'to', 'have']"
56	The key to my success has been in identifying talented individuals 	Ключ к моему успеху - умение находить талантливых людей 	['Ключ', 'к', 'моему', 'успеху', 'умение', 'находить', 'талантливых', 'людей']	['The', 'key', 'to', 'my', 'success', 'has', 'been', 'in', 'identifying', 'talented', 'individuals']
57	and harnessing their efforts. 	и направлять их усилия в нужное мне русло. 	['и', 'направлять', 'их', 'усилия', 'в', 'нужное', 'мне', 'русло']	['and', 'harnessing', 'their', 'efforts']
58	So, you're a control freak? 	Так вы любите все контролировать? 	['Так', 'вы', 'любите', 'все', 'контролировать']	"['So', ""you're"", 'a', 'control', 'freak']"
59	Oh, I exercise control in all things, Miss Steele. 	Я люблю контроль во всем, мисс Стил. 	['Я', 'люблю', 'контроль', 'во', 'всем', 'мисс', 'Стил']	['Oh', 'I', 'exercise', 'control', 'in', 'all', 'things', 'Miss', 'Steele']
60	Okay. Urn... 	Понятно. 	['Понятно']	['Okay', 'Urn']
61	Your company is involved primarily in the telecommunications sector, 	"""Ваша компания в основном работает в сфере телекоммуникаций, "	['Ваша', 'компания', 'в', 'основном', 'работает', 'в', 'сфере', 'телекоммуникаций']	['Your', 'company', 'is', 'involved', 'primarily', 'in', 'the', 'telecommunications', 'sector']
62	yet you also invest in numerous agricultural projects, 	но вы много инвестируете и в сельскохозяйственные проекты, 	['но', 'вы', 'много', 'инвестируете', 'и', 'в', 'сельскохозяйственные', 'проекты']	['yet', 'you', 'also', 'invest', 'in', 'numerous', 'agricultural', 'projects']
