	en	ru	ru_tokens	en_tokens
0	Although each of the world's countries would like to dispute this fact, 	Хотя многие народы хотели бы оспорить этот факт, 	['Хотя', 'многие', 'народы', 'хотели', 'бы', 'оспорить', 'этот', 'факт']	"['Although', 'each', 'of', 'the', ""world's"", 'countries', 'would', 'like', 'to', 'dispute', 'this', 'fact']"
1	we French know the truth: 	мы, французы, знаем правду: 	['мы', 'французы', 'знаем', 'правду']	['we', 'French', 'know', 'the', 'truth']
2	The best food in the world is made in France. 	лучшая кухня в мире - французская. 	['лучшая', 'кухня', 'в', 'мире', 'французская']	['The', 'best', 'food', 'in', 'the', 'world', 'is', 'made', 'in', 'France']
3	The best food in France is made in Paris. 	Лучшая французская кухня - в Париже. 	['Лучшая', 'французская', 'кухня', 'в', 'Париже']	['The', 'best', 'food', 'in', 'France', 'is', 'made', 'in', 'Paris']
4	And the best food in Paris, some say, is made by Chef Auguste Gusteau. 	И по мнению некоторых, лучший шеф-повар Парижа - Огюст Гюсто. РЕСТОРАН ГЮСТО 	['И', 'по', 'мнению', 'некоторых', 'лучший', 'шеф-повар', 'Парижа', 'Огюст', 'Гюсто', 'РЕСТОРАН', 'ГЮСТО']	['And', 'the', 'best', 'food', 'in', 'Paris', 'some', 'say', 'is', 'made', 'by', 'Chef', 'Auguste', 'Gusteau']
5	Gusteau's restaurant is the toast of Paris, 	Ресторан Гюсто - самый популярный в Париже, 	['Ресторан', 'Гюсто', 'самый', 'популярный', 'в', 'Париже']	"[""Gusteau's"", 'restaurant', 'is', 'the', 'toast', 'of', 'Paris']"
6	booked five months in advance. 	где столики заказывают за пять месяцев. Гурман 	['где', 'столики', 'заказывают', 'за', 'пять', 'месяцев', 'Гурман']	['booked', 'five', 'months', 'in', 'advance']
7	And his dazzling ascent to the top of fine French cuisine 	И его яркий взлет на вершину французской кухни 	['И', 'его', 'яркий', 'взлет', 'на', 'вершину', 'французской', 'кухни']	['And', 'his', 'dazzling', 'ascent', 'to', 'the', 'top', 'of', 'fine', 'French', 'cuisine']
8	has made his competitors envious. 	вызвал зависть у конкурентов. 	['вызвал', 'зависть', 'у', 'конкурентов']	['has', 'made', 'his', 'competitors', 'envious']
9	He is the youngest chef ever to achieve a five-star rating. 	Он самый молодой шеф-повар пятизвездочного ресторана. 	['Он', 'самый', 'молодой', 'шеф-повар', 'пятизвездочного', 'ресторана']	['He', 'is', 'the', 'youngest', 'chef', 'ever', 'to', 'achieve', 'a', 'five-star', 'rating']
10	Chef Gusteau's cookbook, Anyone Can Cook! 	"Готовить МОГУТ ВСЕ! Его поваренная книга ""Готовить могут все!"" "	['Готовить', 'МОГУТ', 'ВСЕ', 'Его', 'поваренная', 'книга', 'Готовить', 'могут', 'все']	"['Chef', ""Gusteau's"", 'cookbook', 'Anyone', 'Can', 'Cook']"
11	climbed to the top of the bestseller list. 	раскупается как горячие пирожки. 	['раскупается', 'как', 'горячие', 'пирожки']	['climbed', 'to', 'the', 'top', 'of', 'the', 'bestseller', 'list']
12	But not everyone celebrates Its success. 	Но не всем по душе ее успех. 	['Но', 'не', 'всем', 'по', 'душе', 'ее', 'успех']	['But', 'not', 'everyone', 'celebrates', 'Its', 'success']
13	Amusing title, Anyone Can Cook! 	"Странное название: ""Готовить могут все!"" Антуан Эго - Ресторанный критик ""ВЪЕДЛИВЫЙ ЕДОК"" "	['Странное', 'название', 'Готовить', 'могут', 'все', 'Антуан', 'Эго', 'Ресторанный', 'критик', 'ВЪЕДЛИВЫЙ', 'ЕДОК']	['Amusing', 'title', 'Anyone', 'Can', 'Cook']
14	What's even more amusing is that Gusteau actually seems to believe it. 	Еще более странно, что Гюсто, кажется, сам в это верит. 	['Еще', 'более', 'странно', 'что', 'Гюсто', 'кажется', 'сам', 'в', 'это', 'верит']	"[""What's"", 'even', 'more', 'amusing', 'is', 'that', 'Gusteau', 'actually', 'seems', 'to', 'believe', 'it']"
15	I, on the other hand, take cooking seriously. 	Я, напротив, отношусь к кулинарии серьезно. 	['Я', 'напротив', 'отношусь', 'к', 'кулинарии', 'серьезно']	['I', 'on', 'the', 'other', 'hand', 'take', 'cooking', 'seriously']
16	And, no, I don't think anyone can do it. 	И не считаю, что готовить могут все. 	['И', 'не', 'считаю', 'что', 'готовить', 'могут', 'все']	"['And', 'no', 'I', ""don't"", 'think', 'anyone', 'can', 'do', 'it']"
17	This is me. 	РАТАТУЙ Это я. 	['РАТАТУЙ', 'Это', 'я']	['This', 'is', 'me']
18	I think it's apparent I need to rethink my life a little bit. 	Очевидно, мне нужно задуматься о своей жизни. 	['Очевидно', 'мне', 'нужно', 'задуматься', 'о', 'своей', 'жизни']	"['I', 'think', ""it's"", 'apparent', 'I', 'need', 'to', 'rethink', 'my', 'life', 'a', 'little', 'bit']"
19	What's my problem? 	Спросите, в чем дело? 	['Спросите', 'в', 'чем', 'дело']	"[""What's"", 'my', 'problem']"
20	First of all, I'm a rat. 	Во-первых, я крыса. 	['Во-первых', 'я', 'крыса']	"['First', 'of', 'all', ""I'm"", 'a', 'rat']"
21	Which means life is hard. 	А значит, мне приходится непросто. 	['А', 'значит', 'мне', 'приходится', 'непросто']	['Which', 'means', 'life', 'is', 'hard']
22	And second, I have a highly developed sense of taste and smell. 	Во-вторых, у меня отлично развиты вкус и обоняние. 	['Во-вторых', 'у', 'меня', 'отлично', 'развиты', 'вкус', 'и', 'обоняние']	['And', 'second', 'I', 'have', 'a', 'highly', 'developed', 'sense', 'of', 'taste', 'and', 'smell']
23	Flour, eggs, sugar, vanilla bean... 	Мука, яйца, сахар, стручок ванили... 	['Мука', 'яйца', 'сахар', 'стручок', 'ванили']	['Flour', 'eggs', 'sugar', 'vanilla', 'bean']
24	Oh! Small twist of lemon. 	Ого! Ломтик лимона! 	['Ого', 'Ломтик', 'лимона']	['Oh', 'Small', 'twist', 'of', 'lemon']
25	Whoa, you can smell all that? You have a gift. 	Ты можешь унюхать все это? У тебя дар. 	['Ты', 'можешь', 'унюхать', 'все', 'это', 'У', 'тебя', 'дар']	['Whoa', 'you', 'can', 'smell', 'all', 'that', 'You', 'have', 'a', 'gift']
26	This is Emile, my brother. He's easily impressed. 	Это мой брат Эмиль. Его легко удивить. 	['Это', 'мой', 'брат', 'Эмиль', 'Его', 'легко', 'удивить']	"['This', 'is', 'Emile', 'my', 'brother', ""He's"", 'easily', 'impressed']"
27	So you can smell ingredients? So what? 	Ты различаешь все ингредиенты? Ну и что? 	['Ты', 'различаешь', 'все', 'ингредиенты', 'Ну', 'и', 'что']	['So', 'you', 'can', 'smell', 'ingredients', 'So', 'what']
28	This is my dad. He's never impressed. 	Это мой папа. Его ничем не удивить. 	['Это', 'мой', 'папа', 'Его', 'ничем', 'не', 'удивить']	"['This', 'is', 'my', 'dad', ""He's"", 'never', 'impressed']"
29	He also happens to be the leader of our clan. 	Кроме того, он вожак нашего клана. 	['Кроме', 'того', 'он', 'вожак', 'нашего', 'клана']	['He', 'also', 'happens', 'to', 'be', 'the', 'leader', 'of', 'our', 'clan']
30	So, what's wrong with having highly developed senses? 	Спросите, почему плохо обладать отлично развитым нюхом? 	['Спросите', 'почему', 'плохо', 'обладать', 'отлично', 'развитым', 'нюхом']	"['So', ""what's"", 'wrong', 'with', 'having', 'highly', 'developed', 'senses']"
31	- Whoa, whoa, whoa! Don't eat that! - What's going on here? 	- Стой, стой, стой! Не ешь это! - В чем дело? 	['Стой', 'стой', 'стой', 'Не', 'ешь', 'это', 'В', 'чем', 'дело']	"['Whoa', 'whoa', 'whoa', ""Don't"", 'eat', 'that', ""What's"", 'going', 'on', 'here']"
32	Turns out that funny smell was rat poison. 	Оказывается, так забавно пахнет крысиный яд. КРЫСИНЫЙ ЯД 	['Оказывается', 'так', 'забавно', 'пахнет', 'крысиный', 'яд', 'КРЫСИНЫЙ', 'ЯД']	['Turns', 'out', 'that', 'funny', 'smell', 'was', 'rat', 'poison']
33	Suddenly, Dad didn't think my talent was useless. 	Неожиданно папа решил, что мой дар полезен. 	['Неожиданно', 'папа', 'решил', 'что', 'мой', 'дар', 'полезен']	"['Suddenly', 'Dad', ""didn't"", 'think', 'my', 'talent', 'was', 'useless']"
34	I was feeling pretty good about my gift, 	Я был весьма рад своему таланту, 	['Я', 'был', 'весьма', 'рад', 'своему', 'таланту']	['I', 'was', 'feeling', 'pretty', 'good', 'about', 'my', 'gift']
35	until Dad gave me a job. 	пока отец не нашел мне работу. 	['пока', 'отец', 'не', 'нашел', 'мне', 'работу']	['until', 'Dad', 'gave', 'me', 'a', 'job']
36	Clean. 	Чисто. 	['Чисто']	['Clean']
37	Clean. 	Чисто. 	['Чисто']	['Clean']
38	That's right. Poison checker. 	Именно. Проверять еду на яд. 	['Именно', 'Проверять', 'еду', 'на', 'яд']	"[""That's"", 'right', 'Poison', 'checker']"
39	Cleanerific. 	Очень чисто. 	['Очень', 'чисто']	['Cleanerific']
40	Cleanerino. 	Чище некуда. 	['Чище', 'некуда']	['Cleanerino']
41	Close to godliness. 	Просто красота. 	['Просто', 'красота']	['Close', 'to', 'godliness']
42	Which means clean. You know, cleanliness is close to... 	Это значит, чисто. Ты в курсе, чистота - лучшая красота. 	['Это', 'значит', 'чисто', 'Ты', 'в', 'курсе', 'чистота', 'лучшая', 'красота']	['Which', 'means', 'clean', 'You', 'know', 'cleanliness', 'is', 'close', 'to']
43	Never mind. Move on. 	Неважно. Продолжим. 	['Неважно', 'Продолжим']	['Never', 'mind', 'Move', 'on']
44	Well, it made my dad proud. 	Папа мной гордился. 	['Папа', 'мной', 'гордился']	['Well', 'it', 'made', 'my', 'dad', 'proud']
45	Now, don't you feel better, Remy? You've helped a noble cause. 	Чувствуешь себя полезным, Реми? Ты занят благородным делом. 	['Чувствуешь', 'себя', 'полезным', 'Реми', 'Ты', 'занят', 'благородным', 'делом']	"['Now', ""don't"", 'you', 'feel', 'better', 'Remy', ""You've"", 'helped', 'a', 'noble', 'cause']"
46	Noble? We're thieves, Dad. 	Благородным? Папа, мы воры. 	['Благородным', 'Папа', 'мы', 'воры']	"['Noble', ""We're"", 'thieves', 'Dad']"
47	And what we're stealing is, let's face it, garbage. 	И воруем мы, сам знаешь, с помойки. 	['И', 'воруем', 'мы', 'сам', 'знаешь', 'с', 'помойки']	"['And', 'what', ""we're"", 'stealing', 'is', ""let's"", 'face', 'it', 'garbage']"
48	It isn't stealing if no one wants it. 	Это никому не нужно, значит, мы не воруем. 	['Это', 'никому', 'не', 'нужно', 'значит', 'мы', 'не', 'воруем']	"['It', ""isn't"", 'stealing', 'if', 'no', 'one', 'wants', 'it']"
49	If no one wants it, why are we stealing it? 	Если это никому не нужно, то зачем оно нам? 	['Если', 'это', 'никому', 'не', 'нужно', 'то', 'зачем', 'оно', 'нам']	['If', 'no', 'one', 'wants', 'it', 'why', 'are', 'we', 'stealing', 'it']
