	en	ru	ru_tokens	en_tokens
0	Who's there?. 	Кто здесь? 	['Кто', 'здесь']	"[""Who's"", 'there']"
1	What do you want?. 	Что вам нужно?! 	['Что', 'вам', 'нужно']	['What', 'do', 'you', 'want']
2	Some say the world will end in fire. Some say in ice... 	Одни говорят: мир умрёт в огне, Другие твердят про лед. 	['Одни', 'говорят', 'мир', 'умрёт', 'в', 'огне', 'Другие', 'твердят', 'про', 'лед']	['Some', 'say', 'the', 'world', 'will', 'end', 'in', 'fire', 'Some', 'say', 'in', 'ice']
3	From what I've tasted of desire, I hold with those who favor fire. 	Я долго жил, и кажется мне, Огонь скорей подойдет. 	['Я', 'долго', 'жил', 'и', 'кажется', 'мне', 'Огонь', 'скорей', 'подойдет']	"['From', 'what', ""I've"", 'tasted', 'of', 'desire', 'I', 'hold', 'with', 'those', 'who', 'favor', 'fire']"
4	But if I had to perish twice... 	Но если бы кто-нибудь мне сказал, что дважды нас гибель ждет,я не удивился бы… 	['Но', 'если', 'бы', 'кто-нибудь', 'мне', 'сказал', 'что', 'дважды', 'нас', 'гибель', 'ждет,я', 'не', 'удивился', 'бы…']	['But', 'if', 'I', 'had', 'to', 'perish', 'twice']
5	I think I know enough of hate, To say that, for destruction,Ice,is also great. And would suffice. 	Я узнал, что ненависть –толще, чем лёд. 	['Я', 'узнал', 'что', 'ненависть', '–толще', 'чем', 'лёд']	['I', 'think', 'I', 'know', 'enough', 'of', 'hate', 'To', 'say', 'that', 'for', 'destruction,Ice,is', 'also', 'great', 'And', 'would', 'suffice']
6	You know, I've got an english final. I gotta focus. 	У меня экзамен по литературе. А ты отвлекаешь. 	['У', 'меня', 'экзамен', 'по', 'литературе', 'А', 'ты', 'отвлекаешь']	"['You', 'know', ""I've"", 'got', 'an', 'english', 'final', 'I', 'gotta', 'focus']"
7	Marry me.  No. 	- Выходи за меня. - Нет. 	['Выходи', 'за', 'меня', 'Нет']	['Marry', 'me', 'No']
8	Change me. 	Обрати меня. 	['Обрати', 'меня']	['Change', 'me']
9	Okey I will if you marry me, It's called a compromise. 	Обращу, если выйдешь за меня... Это, компромисс. 	['Обращу', 'если', 'выйдешь', 'за', 'меня', 'Это', 'компромисс']	"['Okey', 'I', 'will', 'if', 'you', 'marry', 'me', ""It's"", 'called', 'a', 'compromise']"
10	It's just called coercion. It's not fair. 	Нет, это - насилие... Так не честно... 	['Нет', 'это', 'насилие', 'Так', 'не', 'честно']	"[""It's"", 'just', 'called', 'coercion', ""It's"", 'not', 'fair']"
11	Marriage is just… Is a piece of paper. 	Брак ведь... просто листок бумаги. 	['Брак', 'ведь', 'просто', 'листок', 'бумаги']	['Marriage', 'is', 'just…', 'Is', 'a', 'piece', 'of', 'paper']
12	Where I am from, it's the way one says, 'I love you'. 	"У нас это был способ сказать ""я люблю тебя"". "	['У', 'нас', 'это', 'был', 'способ', 'сказать', 'я', 'люблю', 'тебя']	"['Where', 'I', 'am', 'from', ""it's"", 'the', 'way', 'one', 'says', ""'I"", 'love', ""you'""]"
13	Where I come from, at my age… It's the way one says, 'I just got knocked up'. 	"Ну а у нас, это способ сказать... ""ой, я залетела"". "	['Ну', 'а', 'у', 'нас', 'это', 'способ', 'сказать', 'ой', 'я', 'залетела']	"['Where', 'I', 'come', 'from', 'at', 'my', 'age…', ""It's"", 'the', 'way', 'one', 'says', ""'I"", 'just', 'got', 'knocked', ""up'""]"
14	So, you're worried about what people will think. 	Тебя тревожит, что будут говорить люди? 	['Тебя', 'тревожит', 'что', 'будут', 'говорить', 'люди']	"['So', ""you're"", 'worried', 'about', 'what', 'people', 'will', 'think']"
15	You know, it's two out of three marriages end in divorce. 	Два из трех браков заканчиваются разводом. 	['Два', 'из', 'трех', 'браков', 'заканчиваются', 'разводом']	"['You', 'know', ""it's"", 'two', 'out', 'of', 'three', 'marriages', 'end', 'in', 'divorce']"
16	Well, I think you'll find the Vampire, human divorce rate is a little lower. 	Ну, я подозреваю, что вампиры с людьми разводятся редко. 	['Ну', 'я', 'подозреваю', 'что', 'вампиры', 'с', 'людьми', 'разводятся', 'редко']	"['Well', 'I', 'think', ""you'll"", 'find', 'the', 'Vampire', 'human', 'divorce', 'rate', 'is', 'a', 'little', 'lower']"
17	Just marry me. 	Будь моей женой. 	['Будь', 'моей', 'женой']	['Just', 'marry', 'me']
18	I can't. I have to be back at four. 	Я не могую Я должна быть дома в четыре. 	['Я', 'не', 'могую', 'Я', 'должна', 'быть', 'дома', 'в', 'четыре']	"['I', ""can't"", 'I', 'have', 'to', 'be', 'back', 'at', 'four']"
19	Four o'clock on the dot. That kid trying to brown nose me now or something? 	Ровно четыре часа... Этот твой парень подмазаться хочет? 	['Ровно', 'четыре', 'часа', 'Этот', 'твой', 'парень', 'подмазаться', 'хочет']	"['Four', ""o'clock"", 'on', 'the', 'dot', 'That', 'kid', 'trying', 'to', 'brown', 'nose', 'me', 'now', 'or', 'something']"
20	He has a name. And now he's too punctual for you? 	У него есть имя... Теперь тебе и это не нравится? 	['У', 'него', 'есть', 'имя', 'Теперь', 'тебе', 'и', 'это', 'не', 'нравится']	"['He', 'has', 'a', 'name', 'And', 'now', ""he's"", 'too', 'punctual', 'for', 'you']"
21	Okey... 	Так... 	['Так']	['Okey']
22	You understand why you're being punished, right? 	Ты не поняла, за что была наказана? 	['Ты', 'не', 'поняла', 'за', 'что', 'была', 'наказана']	"['You', 'understand', 'why', ""you're"", 'being', 'punished', 'right']"
23	I know, I put you through hell. - Yes, you did. 	Ты с ума тут сходил. Вот именно… 	['Ты', 'с', 'ума', 'тут', 'сходил', 'Вот', 'именно…']	['I', 'know', 'I', 'put', 'you', 'through', 'hell', 'Yes', 'you', 'did']
24	But I have other reasons, for grounding you. 	Были и ещё причины запереть тебя дома. 	['Были', 'и', 'ещё', 'причины', 'запереть', 'тебя', 'дома']	['But', 'I', 'have', 'other', 'reasons', 'for', 'grounding', 'you']
25	Like… I just want you to get some separation from him. 	Хотел, чтобы ты побыла в стороне от него. 	['Хотел', 'чтобы', 'ты', 'побыла', 'в', 'стороне', 'от', 'него']	['Like…', 'I', 'just', 'want', 'you', 'to', 'get', 'some', 'separation', 'from', 'him']
26	Dad, there is nothing you can say. 	Пап, ты ничего не изменишь. 	['Пап', 'ты', 'ничего', 'не', 'изменишь']	['Dad', 'there', 'is', 'nothing', 'you', 'can', 'say']
27	Edward is in my life. 	Эдвард - часть моей жизни. 	['Эдвард', 'часть', 'моей', 'жизни']	['Edward', 'is', 'in', 'my', 'life']
28	Yeah, I'm gathering that. 	Да я уже догадался. 	['Да', 'я', 'уже', 'догадался']	"['Yeah', ""I'm"", 'gathering', 'that']"
29	So, alright. How about this? I'll make you a deal. 	Тогда, давай с тобой договоримся. Я предлагаю сделку. 	['Тогда', 'давай', 'с', 'тобой', 'договоримся', 'Я', 'предлагаю', 'сделку']	"['So', 'alright', 'How', 'about', 'this', ""I'll"", 'make', 'you', 'a', 'deal']"
30	You're not grounded anymore,if… 	Ты больше не арестована, если... 	['Ты', 'больше', 'не', 'арестована', 'если']	"[""You're"", 'not', 'grounded', 'anymore,if…']"
31	you use your new found freedom... ...to see some of your other friends too, Like Jacob. 	...в круг твоих друзей войдут и другие ребята, такие, как Джейкоб. 	['в', 'круг', 'твоих', 'друзей', 'войдут', 'и', 'другие', 'ребята', 'такие', 'как', 'Джейкоб']	['you', 'use', 'your', 'new', 'found', 'freedom', 'to', 'see', 'some', 'of', 'your', 'other', 'friends', 'too', 'Like', 'Jacob']
32	He's going through a really tough time right now, His Dad's really worried about him. 	Ему сейчас нелегко приходится, отец за него волнуется. 	['Ему', 'сейчас', 'нелегко', 'приходится', 'отец', 'за', 'него', 'волнуется']	"[""He's"", 'going', 'through', 'a', 'really', 'tough', 'time', 'right', 'now', 'His', ""Dad's"", 'really', 'worried', 'about', 'him']"
33	I remember when that was you. 	И с тобой бывало такое... 	['И', 'с', 'тобой', 'бывало', 'такое']	['I', 'remember', 'when', 'that', 'was', 'you']
34	You needed a friend, Jake was there. 	Был нужен друг... И Джейк был рядом. 	['Был', 'нужен', 'друг', 'И', 'Джейк', 'был', 'рядом']	['You', 'needed', 'a', 'friend', 'Jake', 'was', 'there']
35	Hey, it's Jake. Leave a message. 	Привет, это Джейк... Оставьте сообщение после сигнала. 	['Привет', 'это', 'Джейк', 'Оставьте', 'сообщение', 'после', 'сигнала']	"['Hey', ""it's"", 'Jake', 'Leave', 'a', 'message']"
