	en	ru	ru_tokens	en_tokens
0	I'd never given much thought to how I would die. 	Я никогда не думала про то как я умру. 	['Я', 'никогда', 'не', 'думала', 'про', 'то', 'как', 'я', 'умру']	"[""I'd"", 'never', 'given', 'much', 'thought', 'to', 'how', 'I', 'would', 'die']"
1	But dying in the place of someone I love seems like a good way to go. 	Но по-моему отдать жизнь за любимого человека не худшая смерть. 	['Но', 'по-моему', 'отдать', 'жизнь', 'за', 'любимого', 'человека', 'не', 'худшая', 'смерть']	['But', 'dying', 'in', 'the', 'place', 'of', 'someone', 'I', 'love', 'seems', 'like', 'a', 'good', 'way', 'to', 'go']
2	So I can't bring myself to regret the decision to leave home. 	И я совсем не жалею, что распрощалась с домом. 	['И', 'я', 'совсем', 'не', 'жалею', 'что', 'распрощалась', 'с', 'домом']	"['So', 'I', ""can't"", 'bring', 'myself', 'to', 'regret', 'the', 'decision', 'to', 'leave', 'home']"
3	I would miss Phoenix. 	Конечно я буду скучать по Фениксу. 	['Конечно', 'я', 'буду', 'скучать', 'по', 'Фениксу']	['I', 'would', 'miss', 'Phoenix']
4	I'd miss the heat. 	Скучать по зною. 	['Скучать', 'по', 'зною']	"[""I'd"", 'miss', 'the', 'heat']"
5	I would miss my loving, erratic, harebrained mother. 	Скучать по любящей, суетливой, недалёкой матери. 	['Скучать', 'по', 'любящей', 'суетливой', 'недалёкой', 'матери']	['I', 'would', 'miss', 'my', 'loving', 'erratic', 'harebrained', 'mother']
6	Okay. 	Хорошо. 	['Хорошо']	['Okay']
7	Renee, come on. - And her new husband. 	И ее новому мужу. 	['И', 'ее', 'новому', 'мужу']	['Renee', 'come', 'on', 'And', 'her', 'new', 'husband']
8	Guys, come on. I love you both. We got a plane to catch. 	Девочки, ну поехали! Ну хватит нежностей, опоздаем на рейс. 	['Девочки', 'ну', 'поехали', 'Ну', 'хватит', 'нежностей', 'опоздаем', 'на', 'рейс']	['Guys', 'come', 'on', 'I', 'love', 'you', 'both', 'We', 'got', 'a', 'plane', 'to', 'catch']
9	But they want to go on the road, so I'm gonna spend some time with my dad, 	Но их ждут разъезды по стране, а мне придётся пожить у отца, 	['Но', 'их', 'ждут', 'разъезды', 'по', 'стране', 'а', 'мне', 'придётся', 'пожить', 'у', 'отца']	"['But', 'they', 'want', 'to', 'go', 'on', 'the', 'road', 'so', ""I'm"", 'gonna', 'spend', 'some', 'time', 'with', 'my', 'dad']"
10	and this will be a good thing. 	это не так уж плохо. 	['это', 'не', 'так', 'уж', 'плохо']	['and', 'this', 'will', 'be', 'a', 'good', 'thing']
11	I think. When the thorn bush turns white That's when I'll come home I am going out to see what I can sow And I don't know where I'll go And I don't know what I'll see 	Я думаю. 	['Я', 'думаю']	"['I', 'think', 'When', 'the', 'thorn', 'bush', 'turns', 'white', ""That's"", 'when', ""I'll"", 'come', 'home', 'I', 'am', 'going', 'out', 'to', 'see', 'what', 'I', 'can', 'sow', 'And', 'I', ""don't"", 'know', 'where', ""I'll"", 'go', 'And', 'I', ""don't"", 'know', 'what', ""I'll"", 'see']"
12	In the state of Washington, 	В штате Вашингтон, 	['В', 'штате', 'Вашингтон']	['In', 'the', 'state', 'of', 'Washington']
13	under a near constant cover of clouds and rain, 	под покровом туч и за пеленой дождя, 	['под', 'покровом', 'туч', 'и', 'за', 'пеленой', 'дождя']	['under', 'a', 'near', 'constant', 'cover', 'of', 'clouds', 'and', 'rain']
14	there's a small town named Forks. 	есть городок Форкс. 	['есть', 'городок', 'Форкс']	"[""there's"", 'a', 'small', 'town', 'named', 'Forks']"
15	Population, 3, 120 people. 	С населением в 3120 человек. 	['С', 'населением', 'в', '3120', 'человек']	['Population', '3', '120', 'people']
16	This is where I'm moving. 	Туда я и переехала. 	['Туда', 'я', 'и', 'переехала']	"['This', 'is', 'where', ""I'm"", 'moving']"
17	My dad's Charlie. 	Мой отец Чарли. 	['Мой', 'отец', 'Чарли']	"['My', ""dad's"", 'Charlie']"
18	He's the chief of police. Curse the powers that be Cause all I want is... 	Он шериф полиции. 	['Он', 'шериф', 'полиции']	"[""He's"", 'the', 'chief', 'of', 'police', 'Curse', 'the', 'powers', 'that', 'be', 'Cause', 'all', 'I', 'want', 'is']"
19	Your hair's longer. 	Ну и кудри. 	['Ну', 'и', 'кудри']	"['Your', ""hair's"", 'longer']"
20	I cut it since the last time I saw you. 	Я недавно стриглась. 	['Я', 'недавно', 'стриглась']	['I', 'cut', 'it', 'since', 'the', 'last', 'time', 'I', 'saw', 'you']
21	Guess it grew out again. 	Уже опять отросли. 	['Уже', 'опять', 'отросли']	['Guess', 'it', 'grew', 'out', 'again']
22	I used to spend two weeks here almost every summer, 	Я проводила здесь по две недели каждое лето, 	['Я', 'проводила', 'здесь', 'по', 'две', 'недели', 'каждое', 'лето']	['I', 'used', 'to', 'spend', 'two', 'weeks', 'here', 'almost', 'every', 'summer']
23	but it's been years. 	но это было давно. 	['но', 'это', 'было', 'давно']	"['but', ""it's"", 'been', 'years']"
24	I've cleared some shelves off in the bathroom. 	Я разобрал хлам на полках в ванной. 	['Я', 'разобрал', 'хлам', 'на', 'полках', 'в', 'ванной']	"[""I've"", 'cleared', 'some', 'shelves', 'off', 'in', 'the', 'bathroom']"
25	Right. One bathroom. 	Отлично. Одна ванная. 	['Отлично', 'Одна', 'ванная']	['Right', 'One', 'bathroom']
26	It's a pretty good work lamp. 	Лампа вроде приличная. 	['Лампа', 'вроде', 'приличная']	"[""It's"", 'a', 'pretty', 'good', 'work', 'lamp']"
27	The sales lady picked out the bed stuff. 	Постельное бельё выбирала продавщица. 	['Постельное', 'бельё', 'выбирала', 'продавщица']	['The', 'sales', 'lady', 'picked', 'out', 'the', 'bed', 'stuff']
28	You like purple, right? 	Ты ведь любишь сиреневый, да? 	['Ты', 'ведь', 'любишь', 'сиреневый', 'да']	['You', 'like', 'purple', 'right']
29	Purple's cool. 	Сиреневый отличный. 	['Сиреневый', 'отличный']	"[""Purple's"", 'cool']"
30	Thanks. 	Спасибо. 	['Спасибо']	['Thanks']
31	Okay. 	Ладно. 	['Ладно']	['Okay']
