	en	ru	ru_tokens	en_tokens
0	3 billon human lives ended on August 29th, 1997. 	Три миллиарда человеческих жизней закончились 29 августа 1997 года. 	['Три', 'миллиарда', 'человеческих', 'жизней', 'закончились', '29', 'августа', '1997', 'года']	['3', 'billon', 'human', 'lives', 'ended', 'on', 'August', '29th', '1997']
1	The survivors of the nuclear fire called the war Judgment Day. 	Выжившие в ядерном пожаре... назвали эту войну Судным днём 	['Выжившие', 'в', 'ядерном', 'пожаре', 'назвали', 'эту', 'войну', 'Судным', 'днём']	['The', 'survivors', 'of', 'the', 'nuclear', 'fire', 'called', 'the', 'war', 'Judgment', 'Day']
2	They lived only to face a new nightmare, 	Дальше их ждал новый кошмар - 	['Дальше', 'их', 'ждал', 'новый', 'кошмар']	['They', 'lived', 'only', 'to', 'face', 'a', 'new', 'nightmare']
3	the war against the machines. 	война против машин. 	['война', 'против', 'машин']	['the', 'war', 'against', 'the', 'machines']
4	The computer which controlled the machines, Skynet, 	Компьютер, который управлял машинами - Скайнет... 	['Компьютер', 'который', 'управлял', 'машинами', 'Скайнет']	['The', 'computer', 'which', 'controlled', 'the', 'machines', 'Skynet']
5	sent two terminators back through time. 	отправил в прошлое двух терминаторов. 	['отправил', 'в', 'прошлое', 'двух', 'терминаторов']	['sent', 'two', 'terminators', 'back', 'through', 'time']
6	Their mission: to destroy the leader of the human resistance: 	Их задачей было уничтожение лидера сопротивления людей. 	['Их', 'задачей', 'было', 'уничтожение', 'лидера', 'сопротивления', 'людей']	['Their', 'mission', 'to', 'destroy', 'the', 'leader', 'of', 'the', 'human', 'resistance']
7	John Connor. My son. 	Джона Коннора, моего сына. 	['Джона', 'Коннора', 'моего', 'сына']	['John', 'Connor', 'My', 'son']
8	The first terminator was programmed to strike at me. 	Первый терминатор был запрограммирован убрать меня 	['Первый', 'терминатор', 'был', 'запрограммирован', 'убрать', 'меня']	['The', 'first', 'terminator', 'was', 'programmed', 'to', 'strike', 'at', 'me']
9	in the year 1984, before John was born. 	в 1984 году... ещё до рождения Джона. 	['в', '1984', 'году', 'ещё', 'до', 'рождения', 'Джона']	['in', 'the', 'year', '1984', 'before', 'John', 'was', 'born']
10	It failed. 	Задачу он не выполнил. 	['Задачу', 'он', 'не', 'выполнил']	['It', 'failed']
11	The second was set to strike at John himself, 	Второй должен был убить самого Джона... 	['Второй', 'должен', 'был', 'убить', 'самого', 'Джона']	['The', 'second', 'was', 'set', 'to', 'strike', 'at', 'John', 'himself']
12	when he was still a child. 	когда Джон был ещё ребёнком. 	['когда', 'Джон', 'был', 'ещё', 'ребёнком']	['when', 'he', 'was', 'still', 'a', 'child']
13	As before, the Resistance was able to send a lone warrior. 	Как и в прошлый раз, сопротивление смогло послать в прошлое одного воина... 	['Как', 'и', 'в', 'прошлый', 'раз', 'сопротивление', 'смогло', 'послать', 'в', 'прошлое', 'одного', 'воина']	['As', 'before', 'the', 'Resistance', 'was', 'able', 'to', 'send', 'a', 'lone', 'warrior']
14	A protector for John. 	защитника Джона. 	['защитника', 'Джона']	['A', 'protector', 'for', 'John']
15	It was just a question of which one of them would reach him first. 	Вопрос был только в том кто из них доберётся до Джона первым. АРНОЛЬД ШВАРЦЕНЕГГЕР В ХУДОЖЕСТВЕННОМ ФИЛЬМЕ ТЕРМИНАТОР 2: СУДНЫЙ ДЕНЬ В РОЛЯХ ЛИНДА ХЭМИЛТОН РОБЕРТ ПАТРИК РЕЖИССЕР И ПРОДЮССЕР ДЖЕЙМС КАМЕРОН 	['Вопрос', 'был', 'только', 'в', 'том', 'кто', 'из', 'них', 'доберётся', 'до', 'Джона', 'первым', 'АРНОЛЬД', 'ШВАРЦЕНЕГГЕР', 'В', 'ХУДОЖЕСТВЕННОМ', 'ФИЛЬМЕ', 'ТЕРМИНАТОР', '2', 'СУДНЫЙ', 'ДЕНЬ', 'В', 'РОЛЯХ', 'ЛИНДА', 'ХЭМИЛТОН', 'РОБЕРТ', 'ПАТРИК', 'РЕЖИССЕР', 'И', 'ПРОДЮССЕР', 'ДЖЕЙМС', 'КАМЕРОН']	['It', 'was', 'just', 'a', 'question', 'of', 'which', 'one', 'of', 'them', 'would', 'reach', 'him', 'first']
