	en	ru	ru_tokens	en_tokens
0	Excuse me. 	Извините. 	['Извините']	['Excuse', 'me']
1	Could you tell me how to get to the medical school? 	Как проехать к медицинскому колледжу? 	['Как', 'проехать', 'к', 'медицинскому', 'колледжу']	['Could', 'you', 'tell', 'me', 'how', 'to', 'get', 'to', 'the', 'medical', 'school']
2	I'm supposed to be doing a lecture in about 20 minutes, 	Мне лекцию через 20 минут читать, 	['Мне', 'лекцию', 'через', '20', 'минут', 'читать']	"[""I'm"", 'supposed', 'to', 'be', 'doing', 'a', 'lecture', 'in', 'about', '20', 'minutes']"
3	and my driver's a bit lost. 	а мой водитель заблудился. 	['а', 'мой', 'водитель', 'заблудился']	"['and', 'my', ""driver's"", 'a', 'bit', 'lost']"
4	(Austrian accent) You go straight ahead, 	Езжайте прямо, 	['Езжайте', 'прямо']	['Austrian', 'accent', 'You', 'go', 'straight', 'ahead']
5	and, uh, you make a left over the bridge. 	и после моста поверните налево. 	['и', 'после', 'моста', 'поверните', 'налево']	['and', 'uh', 'you', 'make', 'a', 'left', 'over', 'the', 'bridge']
6	That's a lovely accent you have. 	Какой приятный у вас акцент. 	['Какой', 'приятный', 'у', 'вас', 'акцент']	"[""That's"", 'a', 'lovely', 'accent', 'you', 'have']"
7	- New Jersey? - Austria. 	Нью-Джерси? Австрия? 	['Нью-Джерси', 'Австрия']	['New', 'Jersey', 'Austria']
8	Austria! Ha ha! Well, then... 	Австрия. Ну-Ну... 	['Австрия', 'Ну-Ну']	['Austria', 'Ha', 'ha', 'Well', 'then']
9	(Australian accent) G'day, mate. 	'Привет, подруга.' 	"[""'Привет"", ""подруга.'""]"	"['Australian', 'accent', ""G'day"", 'mate']"
10	Let's put another shrimp on the barbie. 	Давай подбросим еще креветочку на барбекю.' 	"['Давай', 'подбросим', 'еще', 'креветочку', 'на', ""барбекю.'""]"	"[""Let's"", 'put', 'another', 'shrimp', 'on', 'the', 'barbie']"
11	"Let's not. Oh. (""Boom shack-a-lak"" playing) # Boom shack-a-lak-a, what the people want # # Women them a flex and the men them a chant # # 'Ca' the '60s style, it have fe come back # # Draw fe bell-bottom, block heel and frock # # Boom shak-a-lak, rude boy # # Here when we tell them now, sir # # Wine your body, wriggle your belly # "	Давай не будем. 	['Давай', 'не', 'будем']	"[""Let's"", 'not', 'Oh', 'Boom', 'shack-a-lak', 'playing', 'Boom', 'shack-a-lak-a', 'what', 'the', 'people', 'want', 'Women', 'them', 'a', 'flex', 'and', 'the', 'men', 'them', 'a', 'chant', ""'Ca'"", 'the', ""'60s"", 'style', 'it', 'have', 'fe', 'come', 'back', 'Draw', 'fe', 'bell-bottom', 'block', 'heel', 'and', 'frock', 'Boom', 'shak-a-lak', 'rude', 'boy', 'Here', 'when', 'we', 'tell', 'them', 'now', 'sir', 'Wine', 'your', 'body', 'wriggle', 'your', 'belly']"
12	# Dip and go down-ee in the new stylee # # Wine and go up, wine and go down # # Bubble and a rocka to the new style around # # You fe line it up, you fe wine it up # # Do the Boom shak-a-lak till the dance hall fill up # # I say the Boom shack-a-lak are the brand new style # # Wicked say it wicked, jah jah, no say it wild # # Ragamuffin style fe the discipline child # # Dip and go downa 'ca' it well versatile # # You fe move fe your waist, move fe your back # # Wine and go down, do the shack-a-lak-a-lak # # Get in a groove 'ca' you are the top notch # # Bubble and a wine gal right 'pon the spot. # Now, who's got the wiener schnitzel? (dog barks) 	Кому сосиску венскую? 	['Кому', 'сосиску', 'венскую']	"['Dip', 'and', 'go', 'down-ee', 'in', 'the', 'new', 'stylee', 'Wine', 'and', 'go', 'up', 'wine', 'and', 'go', 'down', 'Bubble', 'and', 'a', 'rocka', 'to', 'the', 'new', 'style', 'around', 'You', 'fe', 'line', 'it', 'up', 'you', 'fe', 'wine', 'it', 'up', 'Do', 'the', 'Boom', 'shak-a-lak', 'till', 'the', 'dance', 'hall', 'fill', 'up', 'I', 'say', 'the', 'Boom', 'shack-a-lak', 'are', 'the', 'brand', 'new', 'style', 'Wicked', 'say', 'it', 'wicked', 'jah', 'jah', 'no', 'say', 'it', 'wild', 'Ragamuffin', 'style', 'fe', 'the', 'discipline', 'child', 'Dip', 'and', 'go', 'downa', ""'ca'"", 'it', 'well', 'versatile', 'You', 'fe', 'move', 'fe', 'your', 'waist', 'move', 'fe', 'your', 'back', 'Wine', 'and', 'go', 'down', 'do', 'the', 'shack-a-lak-a-lak', 'Get', 'in', 'a', 'groove', ""'ca'"", 'you', 'are', 'the', 'top', 'notch', 'Bubble', 'and', 'a', 'wine', 'gal', 'right', ""'pon"", 'the', 'spot', 'Now', ""who's"", 'got', 'the', 'wiener', 'schnitzel', 'dog', 'barks']"
13	Beautiful. There you go, Dolf. 	Прекрасно. Держи, Дольф. 	['Прекрасно', 'Держи', 'Дольф']	['Beautiful', 'There', 'you', 'go', 'Dolf']
14	There you go, buddy. Yeah. 	Держи, дружище. Наслаждайся 	['Держи', 'дружище', 'Наслаждайся']	['There', 'you', 'go', 'buddy', 'Yeah']
15	Let's see. 	Посмотрим… 	['Посмотрим…']	"[""Let's"", 'see']"
16	Next, we got roast beef au jus. (dog whines) 	дальше у нас ростбиф «а жю». 	['дальше', 'у', 'нас', 'ростбиф', '«а', 'жю»']	['Next', 'we', 'got', 'roast', 'beef', 'au', 'jus', 'dog', 'whines']
