	en	ru	ru_tokens	en_tokens
0	(IN FRENCH) Thank you, captain. 	Спасибо, комиссар. 	['Спасибо', 'комиссар']	['IN', 'FRENCH', 'Thank', 'you', 'captain']
1	Well? The target is still in the same place. 	– Ну? – Цель все еще на месте. 	['–', 'Ну', '–', 'Цель', 'все', 'еще', 'на', 'месте']	['Well', 'The', 'target', 'is', 'still', 'in', 'the', 'same', 'place']
2	Target is leaving the apartment. Ten seconds. 	Цель идет из квартиры. Десять секунд. 	['Цель', 'идет', 'из', 'квартиры', 'Десять', 'секунд']	['Target', 'is', 'leaving', 'the', 'apartment', 'Ten', 'seconds']
3	Start the engine. (SPEAKS FRENCH) (♪♪♪) 	Заводи. 	['Заводи']	['Start', 'the', 'engine', 'SPEAKS', 'FRENCH', '♪♪♪']
4	Underwear or no underwear today? 	Трусики надела сегодня или нет? 	['Трусики', 'надела', 'сегодня', 'или', 'нет']	['Underwear', 'or', 'no', 'underwear', 'today']
5	Be a little more professional, guys. (♪♪♪) 	Парни, не забывайте о работе. 	['Парни', 'не', 'забывайте', 'о', 'работе']	['Be', 'a', 'little', 'more', 'professional', 'guys', '♪♪♪']
6	She's turning left. She's going to her usual cafe. 	Она повернула налево. Идет в свое любимое кафе. 	['Она', 'повернула', 'налево', 'Идет', 'в', 'свое', 'любимое', 'кафе']	"[""She's"", 'turning', 'left', ""She's"", 'going', 'to', 'her', 'usual', 'cafe']"
7	(IN FRENCH) Hello. Hello. 	Доброе утро! Доброе утро! 	['Доброе', 'утро', 'Доброе', 'утро']	['IN', 'FRENCH', 'Hello', 'Hello']
8	May I take your order? 	Чего желаете? 	['Чего', 'желаете']	['May', 'I', 'take', 'your', 'order']
9	A tea with milk, an orange juice and... 	Чай с молоком, апельсиновый сок и… 	['Чай', 'с', 'молоком', 'апельсиновый', 'сок', 'и…']	['A', 'tea', 'with', 'milk', 'an', 'orange', 'juice', 'and']
10	And a croissant. 	И круасан. 	['И', 'круасан']	['And', 'a', 'croissant']
11	It's already ordered. 	Уже заказали. 	['Уже', 'заказали']	"[""It's"", 'already', 'ordered']"
12	Thank you. 	Спасибо. 	['Спасибо']	['Thank', 'you']
13	Do you have a visual? 	Цель на виду? 	['Цель', 'на', 'виду']	['Do', 'you', 'have', 'a', 'visual']
