	en	ru	ru_tokens	en_tokens
0	Do you find me sadistic? 	Ты думаешь, я - садист? 	['Ты', 'думаешь', 'я', 'садист']	['Do', 'you', 'find', 'me', 'sadistic']
1	You know, I'll bet I could fry an egg on your head right now. 	Держу пари, сейчас я мог бы сварить яйцо на твоем личике... 	['Держу', 'пари', 'сейчас', 'я', 'мог', 'бы', 'сварить', 'яйцо', 'на', 'твоем', 'личике']	"['You', 'know', ""I'll"", 'bet', 'I', 'could', 'fry', 'an', 'egg', 'on', 'your', 'head', 'right', 'now']"
2	If I wanted to. 	если бы захотел. 	['если', 'бы', 'захотел']	['If', 'I', 'wanted', 'to']
3	You know, kiddo... 	Знаешь, крошка... 	['Знаешь', 'крошка']	['You', 'know', 'kiddo']
4	I'd like to believe you're aware enough, even now, 	Мне хочется верить, даже в сложившейся ситуации, тебе известно достаточно... 	['Мне', 'хочется', 'верить', 'даже', 'в', 'сложившейся', 'ситуации', 'тебе', 'известно', 'достаточно']	"[""I'd"", 'like', 'to', 'believe', ""you're"", 'aware', 'enough', 'even', 'now']"
5	to know that there's nothing sadistic in my actions. 	чтобы согласиться - в моих действиях нет и следа садизма. 	['чтобы', 'согласиться', 'в', 'моих', 'действиях', 'нет', 'и', 'следа', 'садизма']	"['to', 'know', 'that', ""there's"", 'nothing', 'sadistic', 'in', 'my', 'actions']"
6	Well, maybe towards those other jokers. 	Может быть и есть, по отношению ко всем этим клоунам, 	['Может', 'быть', 'и', 'есть', 'по', 'отношению', 'ко', 'всем', 'этим', 'клоунам']	['Well', 'maybe', 'towards', 'those', 'other', 'jokers']
7	But not you. 	но никак не к тебе. 	['но', 'никак', 'не', 'к', 'тебе']	['But', 'not', 'you']
8	No, kiddo. 	Знаешь, малышка, с этого момента... 	['Знаешь', 'малышка', 'с', 'этого', 'момента']	['No', 'kiddo']
9	At this moment... This is me at my most masochistic. 	никому не будет до этого дела. Только я и мое самое лучшее. 	['никому', 'не', 'будет', 'до', 'этого', 'дела', 'Только', 'я', 'и', 'мое', 'самое', 'лучшее']	['At', 'this', 'moment', 'This', 'is', 'me', 'at', 'my', 'most', 'masochistic']
10	Bill, it's your baby. 	Билл, это твой ребенок. 	['Билл', 'это', 'твой', 'ребенок']	"['Bill', ""it's"", 'your', 'baby']"
11	"# I was 5 and he was 6 # # We rode on horses made of sticks # # He wore black and I wore white # # He would always win the fight # # Bang bang # # He shot me down # # Bang bang # # I hit the ground # # Bang bang # # That awful sound # # Bang bang # # My baby shot me down # # Seasons came and changed the time # # When I grew up, I called him mine # # He would always laugh and say # # ""Remember when we used to play?"" # # Bang bang # # I shot you down # # Bang bang # # You hit the ground # # Bang bang # # That awful sound # # Bang bang # "	4-ый фильм Квентина Тарантино Ума Турман 	['4-ый', 'фильм', 'Квентина', 'Тарантино', 'Ума', 'Турман']	['I', 'was', '5', 'and', 'he', 'was', '6', 'We', 'rode', 'on', 'horses', 'made', 'of', 'sticks', 'He', 'wore', 'black', 'and', 'I', 'wore', 'white', 'He', 'would', 'always', 'win', 'the', 'fight', 'Bang', 'bang', 'He', 'shot', 'me', 'down', 'Bang', 'bang', 'I', 'hit', 'the', 'ground', 'Bang', 'bang', 'That', 'awful', 'sound', 'Bang', 'bang', 'My', 'baby', 'shot', 'me', 'down', 'Seasons', 'came', 'and', 'changed', 'the', 'time', 'When', 'I', 'grew', 'up', 'I', 'called', 'him', 'mine', 'He', 'would', 'always', 'laugh', 'and', 'say', 'Remember', 'when', 'we', 'used', 'to', 'play', 'Bang', 'bang', 'I', 'shot', 'you', 'down', 'Bang', 'bang', 'You', 'hit', 'the', 'ground', 'Bang', 'bang', 'That', 'awful', 'sound', 'Bang', 'bang']
