	en	ru	ru_tokens	en_tokens
0	Hello. My name's Forrest. Forrest Gump. 	Здравствуйте. Меня зовут Форрест. Форрест Гамп. 	['Здравствуйте', 'Меня', 'зовут', 'Форрест', 'Форрест', 'Гамп']	"['Hello', 'My', ""name's"", 'Forrest', 'Forrest', 'Gump']"
1	Do you want a chocolate? 	Хотите шоколад? 	['Хотите', 'шоколад']	['Do', 'you', 'want', 'a', 'chocolate']
2	I could eat about a million and a half of these. 	Я могу съесть полтора миллиона таких. 	['Я', 'могу', 'съесть', 'полтора', 'миллиона', 'таких']	['I', 'could', 'eat', 'about', 'a', 'million', 'and', 'a', 'half', 'of', 'these']
3	My mama always said life was like a box of chocolates. 	Мама всегда говорила, что жизнь похожа на коробку с шоколадом. 	['Мама', 'всегда', 'говорила', 'что', 'жизнь', 'похожа', 'на', 'коробку', 'с', 'шоколадом']	['My', 'mama', 'always', 'said', 'life', 'was', 'like', 'a', 'box', 'of', 'chocolates']
4	You never know what you're gonna get. 	Никогда не знаешь, какую вытащишь. 	['Никогда', 'не', 'знаешь', 'какую', 'вытащишь']	"['You', 'never', 'know', 'what', ""you're"", 'gonna', 'get']"
5	Those must be comfortable shoes. 	Это должно быть удобные туфли. 	['Это', 'должно', 'быть', 'удобные', 'туфли']	['Those', 'must', 'be', 'comfortable', 'shoes']
6	I'll bet you could walk all day in shoes like that and not feel a thing. 	Бьюсь об заклад, Вы можете весь день гулять в таких вот туфлях и ничего не будете чувствовать. 	['Бьюсь', 'об', 'заклад', 'Вы', 'можете', 'весь', 'день', 'гулять', 'в', 'таких', 'вот', 'туфлях', 'и', 'ничего', 'не', 'будете', 'чувствовать']	"[""I'll"", 'bet', 'you', 'could', 'walk', 'all', 'day', 'in', 'shoes', 'like', 'that', 'and', 'not', 'feel', 'a', 'thing']"
7	I wish I had shoes like that. 	Я хотел бы, чтобы у меня были такие туфли. 	['Я', 'хотел', 'бы', 'чтобы', 'у', 'меня', 'были', 'такие', 'туфли']	['I', 'wish', 'I', 'had', 'shoes', 'like', 'that']
8	My feet hurt. 	У меня болят ступни. 	['У', 'меня', 'болят', 'ступни']	['My', 'feet', 'hurt']
9	Mama always said there's an awful lot 	Мама всегда говорила, что ужасно много 	['Мама', 'всегда', 'говорила', 'что', 'ужасно', 'много']	"['Mama', 'always', 'said', ""there's"", 'an', 'awful', 'lot']"
10	you could tell about a person by their shoes: 	можно сказать о человеке по его туфлям. 	['можно', 'сказать', 'о', 'человеке', 'по', 'его', 'туфлям']	['you', 'could', 'tell', 'about', 'a', 'person', 'by', 'their', 'shoes']
11	where they're going, where they've been. 	Куда он идет, где он был. 	['Куда', 'он', 'идет', 'где', 'он', 'был']	"['where', ""they're"", 'going', 'where', ""they've"", 'been']"
12	I've worn lots of shoes. 	У меня было много обуви. 	['У', 'меня', 'было', 'много', 'обуви']	"[""I've"", 'worn', 'lots', 'of', 'shoes']"
