	en	ru	ru_tokens	en_tokens
0	All right, we're good to go. 	Порядок,мы готовы. 	['Порядок,мы', 'готовы']	"['All', 'right', ""we're"", 'good', 'to', 'go']"
1	You got this? You bet your ass, bubba. 	Справишься? На все сто, малыш. 	['Справишься', 'На', 'все', 'сто', 'малыш']	['You', 'got', 'this', 'You', 'bet', 'your', 'ass', 'bubba']
2	Let's make some money! 	Срубим бабла! 	['Срубим', 'бабла']	"[""Let's"", 'make', 'some', 'money']"
3	Everyone in position. 	Все по местам. 	['Все', 'по', 'местам']	['Everyone', 'in', 'position']
4	I thought we'd be robbing banks by now, 	Я хочу чтобы мы банки грабили, 	['Я', 'хочу', 'чтобы', 'мы', 'банки', 'грабили']	"['I', 'thought', ""we'd"", 'be', 'robbing', 'banks', 'by', 'now']"
5	not some gas truck in the middle of nowhere. 	а не фуры перехватывали в пустынях. 	['а', 'не', 'фуры', 'перехватывали', 'в', 'пустынях']	['not', 'some', 'gas', 'truck', 'in', 'the', 'middle', 'of', 'nowhere']
6	Down here, gas is gold, bubba. 	Бензин здесь золото, малыш. 	['Бензин', 'здесь', 'золото', 'малыш']	['Down', 'here', 'gas', 'is', 'gold', 'bubba']
7	Yeah, but banks don't move. 	Ну да,только банки не движуться! 	['Ну', 'да,только', 'банки', 'не', 'движуться']	"['Yeah', 'but', 'banks', ""don't"", 'move']"
8	Anytime you get near a bank... ...we have to break your ass out of prison. 	Ты всегда рядом с банком... ...мы должны будем вытащить твою задницу из тюрьмы. 	['Ты', 'всегда', 'рядом', 'с', 'банком', 'мы', 'должны', 'будем', 'вытащить', 'твою', 'задницу', 'из', 'тюрьмы']	['Anytime', 'you', 'get', 'near', 'a', 'bank', 'we', 'have', 'to', 'break', 'your', 'ass', 'out', 'of', 'prison']
9	Kill the chatter! Game time. 	Хватит трепатся! Время игры. 	['Хватит', 'трепатся', 'Время', 'игры']	['Kill', 'the', 'chatter', 'Game', 'time']
10	I wouldn't piss him off, guys. 	Я бы не выводила его, парни. 	['Я', 'бы', 'не', 'выводила', 'его', 'парни']	"['I', ""wouldn't"", 'piss', 'him', 'off', 'guys']"
11	Yeah, yeah, I hear you. 	Ага, я тебя слышу. 	['Ага', 'я', 'тебя', 'слышу']	['Yeah', 'yeah', 'I', 'hear', 'you']
12	Okay, guys, we're gonna have to hit this hard and fast. 	Эй, жадная сучка! Хорошо, ребята, мы должны сделать это жёстко и быстро. 	['Эй', 'жадная', 'сучка', 'Хорошо', 'ребята', 'мы', 'должны', 'сделать', 'это', 'жёстко', 'и', 'быстро']	"['Okay', 'guys', ""we're"", 'gonna', 'have', 'to', 'hit', 'this', 'hard', 'and', 'fast']"
13	We got 4K left before the downgrade. 	До спуска остаётся 4 километра. 	['До', 'спуска', 'остаётся', '4', 'километра']	['We', 'got', '4K', 'left', 'before', 'the', 'downgrade']
14	Locked and loaded! 	Закрепляй и загружай! 	['Закрепляй', 'и', 'загружай']	['Locked', 'and', 'loaded']
15	This is all you, Han. 	Твой ход, Хан. 	['Твой', 'ход', 'Хан']	['This', 'is', 'all', 'you', 'Han']
16	Liquid gold. 	Жидкое золото. 	['Жидкое', 'золото']	['Liquid', 'gold']
17	We're clear. 	Мы чисты. 	['Мы', 'чисты']	"[""We're"", 'clear']"
18	Okay, T, you're up. 	Хорошо, Т, твоя очередь. 	['Хорошо', 'Т', 'твоя', 'очередь']	"['Okay', 'T', ""you're"", 'up']"
19	Let's see if you can get it under 6 tries this time, huh, T? 	Посмотрим справишься ли ты с шестого раза, а, Т? 	['Посмотрим', 'справишься', 'ли', 'ты', 'с', 'шестого', 'раза', 'а', 'Т']	"[""Let's"", 'see', 'if', 'you', 'can', 'get', 'it', 'under', '6', 'tries', 'this', 'time', 'huh', 'T']"
20	What are you talking about? I'll do it in one try! 	О чем ты говоришь? Я сделаю это с одной попытки! 	['О', 'чем', 'ты', 'говоришь', 'Я', 'сделаю', 'это', 'с', 'одной', 'попытки']	"['What', 'are', 'you', 'talking', 'about', ""I'll"", 'do', 'it', 'in', 'one', 'try']"
21	It's more like 3. Come on, Tego, keep it real. 	Скорее с третей. Брось, Тэго, будь реалистом. 	['Скорее', 'с', 'третей', 'Брось', 'Тэго', 'будь', 'реалистом']	"[""It's"", 'more', 'like', '3', 'Come', 'on', 'Tego', 'keep', 'it', 'real']"
22	Just one K left. We're running out of road. Get in there, brother. 	Остался только километр. Мы сьезжаем с дороги. Не тяни, брат. 	['Остался', 'только', 'километр', 'Мы', 'сьезжаем', 'с', 'дороги', 'Не', 'тяни', 'брат']	"['Just', 'one', 'K', 'left', ""We're"", 'running', 'out', 'of', 'road', 'Get', 'in', 'there', 'brother']"
23	I got it, I got it. 	Я взял, я взял. 	['Я', 'взял', 'я', 'взял']	['I', 'got', 'it', 'I', 'got', 'it']
24	Shit! 	Дерьмо! 	['Дерьмо']	['Shit']
