	en	ru	ru_tokens	en_tokens
0	Where are you? Come out! 	Где ты? Выходи! 	['Где', 'ты', 'Выходи']	['Where', 'are', 'you', 'Come', 'out']
1	Come out! 	Выходи! 	['Выходи']	['Come', 'out']
2	Come on out. 	Выходи же! 	['Выходи', 'же']	['Come', 'on', 'out']
3	I'm coming to get you. 	Я тебя найду. 	['Я', 'тебя', 'найду']	"[""I'm"", 'coming', 'to', 'get', 'you']"
4	Where are you, you little rascal? I'm coming to get you. 	Где ты, баловница? Я поймаю тебя! 	['Где', 'ты', 'баловница', 'Я', 'поймаю', 'тебя']	"['Where', 'are', 'you', 'you', 'little', 'rascal', ""I'm"", 'coming', 'to', 'get', 'you']"
5	Where is my little birthday girl? 	Где же моя именинница? 	['Где', 'же', 'моя', 'именинница']	['Where', 'is', 'my', 'little', 'birthday', 'girl']
6	I'm going to gobble her up when I find her. 	Я проглочу её, как только поймаю. 	['Я', 'проглочу', 'её', 'как', 'только', 'поймаю']	"[""I'm"", 'going', 'to', 'gobble', 'her', 'up', 'when', 'I', 'find', 'her']"
7	I'm going to eat you. I am. 	Я съем тебя. Съем! 	['Я', 'съем', 'тебя', 'Съем']	"[""I'm"", 'going', 'to', 'eat', 'you', 'I', 'am']"
8	Fergus, no weapons on the table. 	Фергус, не клади оружие на стол. 	['Фергус', 'не', 'клади', 'оружие', 'на', 'стол']	['Fergus', 'no', 'weapons', 'on', 'the', 'table']
9	Can I shoot an arrow? Can I? Can I? Can I? Can I? 	Можно мне выстрелить разок? Пожалуйста, пожалуйста! 	['Можно', 'мне', 'выстрелить', 'разок', 'Пожалуйста', 'пожалуйста']	['Can', 'I', 'shoot', 'an', 'arrow', 'Can', 'I', 'Can', 'I', 'Can', 'I', 'Can', 'I']
10	Please? Can I? 	Ну пожалуйста! 	['Ну', 'пожалуйста']	['Please', 'Can', 'I']
11	Not with that. Why not 	Но не из этого лука. Ты лучше 	['Но', 'не', 'из', 'этого', 'лука', 'Ты', 'лучше']	['Not', 'with', 'that', 'Why', 'not']
12	use your very own? 	выстрели из своего. 	['выстрели', 'из', 'своего']	['use', 'your', 'very', 'own']
13	Happy birthday, my wee darling! 	С днём рождения, моя малышка! 	['С', 'днём', 'рождения', 'моя', 'малышка']	['Happy', 'birthday', 'my', 'wee', 'darling']
14	Now, there's a good girl. 	Вот так, умница. 	['Вот', 'так', 'умница']	"['Now', ""there's"", 'a', 'good', 'girl']"
15	Draw all the way back now to your cheek. That's right. 	Натягивай тетиву, пока рука не окажется у щеки. Правильно. 	['Натягивай', 'тетиву', 'пока', 'рука', 'не', 'окажется', 'у', 'щеки', 'Правильно']	"['Draw', 'all', 'the', 'way', 'back', 'now', 'to', 'your', 'cheek', ""That's"", 'right']"
16	Keep both eyes open. 	Глаза открыты. 	['Глаза', 'открыты']	['Keep', 'both', 'eyes', 'open']
17	And, loose! 	Отпускай! 	['Отпускай']	['And', 'loose']
18	- I missed. - Go and fetch it, then. 	– Мимо. – Тогда беги и найди стрелу. 	['–', 'Мимо', '–', 'Тогда', 'беги', 'и', 'найди', 'стрелу']	['I', 'missed', 'Go', 'and', 'fetch', 'it', 'then']
19	A bow, Fergus? She's a lady. 	Ты подарил ей лук? Она же леди. 	['Ты', 'подарил', 'ей', 'лук', 'Она', 'же', 'леди']	"['A', 'bow', 'Fergus', ""She's"", 'a', 'lady']"
20	You! 	Ой! 	['Ой']	['You']
21	A will-o'-the-wisp. 	Блуждающий огонёк. 	['Блуждающий', 'огонёк']	"['A', ""will-o'-the-wisp""]"
22	They are real. 	Значит, они существуют. 	['Значит', 'они', 'существуют']	['They', 'are', 'real']
23	Merida, come along, sweetheart. 	Мерида, иди сюда, милая! 	['Мерида', 'иди', 'сюда', 'милая']	['Merida', 'come', 'along', 'sweetheart']
24	- We're leaving now. - I saw a wisp. 	– Мы уезжаем. – Я видела огонёк. 	['–', 'Мы', 'уезжаем', '–', 'Я', 'видела', 'огонёк']	"[""We're"", 'leaving', 'now', 'I', 'saw', 'a', 'wisp']"
25	- I saw a wisp. - A wisp? 	– Огонёк. – Огонёк? 	['–', 'Огонёк', '–', 'Огонёк']	['I', 'saw', 'a', 'wisp', 'A', 'wisp']
26	You know, some say that will-o'-the-wisps lead you to your fate. 	Говорят, что блуждающие огоньки ведут тебя к твоей судьбе. 	['Говорят', 'что', 'блуждающие', 'огоньки', 'ведут', 'тебя', 'к', 'твоей', 'судьбе']	"['You', 'know', 'some', 'say', 'that', ""will-o'-the-wisps"", 'lead', 'you', 'to', 'your', 'fate']"
27	Aye. Or an arrow. 	Да. Или к стреле. 	['Да', 'Или', 'к', 'стреле']	['Aye', 'Or', 'an', 'arrow']
28	Come on, let's be off before we see a dancing Tatty Bogle. 	Поехали, пока не увидели танцующего домового 	['Поехали', 'пока', 'не', 'увидели', 'танцующего', 'домового']	"['Come', 'on', ""let's"", 'be', 'off', 'before', 'we', 'see', 'a', 'dancing', 'Tatty', 'Bogle']"
29	Or a giant having a jigger in the bluebells. 	или великана, решившего промочить горло. 	['или', 'великана', 'решившего', 'промочить', 'горло']	['Or', 'a', 'giant', 'having', 'a', 'jigger', 'in', 'the', 'bluebells']
30	Your father doesn't believe in magic. 	Твой отец не верит в волшебство. 	['Твой', 'отец', 'не', 'верит', 'в', 'волшебство']	"['Your', 'father', ""doesn't"", 'believe', 'in', 'magic']"
31	Well, he should. Because it's true. 	А зря. Ведь оно существует. 	['А', 'зря', 'Ведь', 'оно', 'существует']	"['Well', 'he', 'should', 'Because', ""it's"", 'true']"
32	Mor'du! Elinor, run! 	Морду! Элинор, беги! 	['Морду', 'Элинор', 'беги']	"[""Mor'du"", 'Elinor', 'run']"
33	Sire! 	Сир! 	['Сир']	['Sire']
34	Come on, you! 	Ну давай! ХРАБРАЯ СЕРДЦЕМ 	['Ну', 'давай', 'ХРАБРАЯ', 'СЕРДЦЕМ']	['Come', 'on', 'you']
35	Some say our destiny is tied to the land 	Одни говорят, что наша судьба связана с землёй, 	['Одни', 'говорят', 'что', 'наша', 'судьба', 'связана', 'с', 'землёй']	['Some', 'say', 'our', 'destiny', 'is', 'tied', 'to', 'the', 'land']
36	as much a part of us as we are of it. 	и она зависит от нас так же, как мы – от неё. 	['и', 'она', 'зависит', 'от', 'нас', 'так', 'же', 'как', 'мы', '–', 'от', 'неё']	['as', 'much', 'a', 'part', 'of', 'us', 'as', 'we', 'are', 'of', 'it']
37	Others say fate is woven together like a cloth. 	Кто-то считает, что судьба подобна сотканному полотну. 	['Кто-то', 'считает', 'что', 'судьба', 'подобна', 'сотканному', 'полотну']	['Others', 'say', 'fate', 'is', 'woven', 'together', 'like', 'a', 'cloth']
38	So that one's destiny intertwines with many others. 	Судьба одного человека переплетается с судьбами других. 	['Судьба', 'одного', 'человека', 'переплетается', 'с', 'судьбами', 'других']	"['So', 'that', ""one's"", 'destiny', 'intertwines', 'with', 'many', 'others']"
39	It's the one thing we search for or fight to change. 	Мы ищем свою судьбу или хотим изменить её. 	['Мы', 'ищем', 'свою', 'судьбу', 'или', 'хотим', 'изменить', 'её']	"[""It's"", 'the', 'one', 'thing', 'we', 'search', 'for', 'or', 'fight', 'to', 'change']"
40	Some never find it. 	Кому-то не суждено её найти. 	['Кому-то', 'не', 'суждено', 'её', 'найти']	['Some', 'never', 'find', 'it']
41	But there are some who are led. 	Но некоторых ведут к ней. 	['Но', 'некоторых', 'ведут', 'к', 'ней']	['But', 'there', 'are', 'some', 'who', 'are', 'led']
42	The story of how my father lost his leg 	История о том, как мой отец потерял ногу 	['История', 'о', 'том', 'как', 'мой', 'отец', 'потерял', 'ногу']	['The', 'story', 'of', 'how', 'my', 'father', 'lost', 'his', 'leg']
43	to the demon bear Mor'du became legend. 	в схватке с медведем Морду, стала легендой. 	['в', 'схватке', 'с', 'медведем', 'Морду', 'стала', 'легендой']	"['to', 'the', 'demon', 'bear', ""Mor'du"", 'became', 'legend']"
44	I became a sister to three new brothers. 	У меня родилось три брата – 	['У', 'меня', 'родилось', 'три', 'брата', '–']	['I', 'became', 'a', 'sister', 'to', 'three', 'new', 'brothers']
45	The princes. Hamish, Hubert and Harris. 	принцы Хэмиш, Хьюберт и Харрис. 	['принцы', 'Хэмиш', 'Хьюберт', 'и', 'Харрис']	['The', 'princes', 'Hamish', 'Hubert', 'and', 'Harris']
46	Wee devils, more like. 	Настоящие чертенята. 	['Настоящие', 'чертенята']	['Wee', 'devils', 'more', 'like']
47	They get away with murder. 	Им всё сходит с рук. 	['Им', 'всё', 'сходит', 'с', 'рук']	['They', 'get', 'away', 'with', 'murder']
48	I can never get away with anything. 	А мне – ничего. 	['А', 'мне', '–', 'ничего']	['I', 'can', 'never', 'get', 'away', 'with', 'anything']
49	I'm the princess. 	Я принцесса. 	['Я', 'принцесса']	"[""I'm"", 'the', 'princess']"
50	I'm the example. 	Я всем пример. 	['Я', 'всем', 'пример']	"[""I'm"", 'the', 'example']"
51	I've got duties, responsibilities, expectations. 	У меня есть долг, обязанности, перспективы. 	['У', 'меня', 'есть', 'долг', 'обязанности', 'перспективы']	"[""I've"", 'got', 'duties', 'responsibilities', 'expectations']"
52	My whole life is planned out, 	Вся моя жизнь распланирована. 	['Вся', 'моя', 'жизнь', 'распланирована']	['My', 'whole', 'life', 'is', 'planned', 'out']
53	preparing for the day I become... 	Я готовлюсь к тому дню, когда стану… 	['Я', 'готовлюсь', 'к', 'тому', 'дню', 'когда', 'стану…']	['preparing', 'for', 'the', 'day', 'I', 'become']
54	Well, my mother. 	Как моя мама. 	['Как', 'моя', 'мама']	['Well', 'my', 'mother']
55	She's in charge of every single day of my life. 	Она руководит каждым днём моей жизни. 	['Она', 'руководит', 'каждым', 'днём', 'моей', 'жизни']	"[""She's"", 'in', 'charge', 'of', 'every', 'single', 'day', 'of', 'my', 'life']"
56	"""Aye, Robin, Jolly Robin, and thou shalt know of mine."" "	«Да, Робин, весёлый Робин, узнаешь ты обо мне». 	['«Да', 'Робин', 'весёлый', 'Робин', 'узнаешь', 'ты', 'обо', 'мне»']	['Aye', 'Robin', 'Jolly', 'Robin', 'and', 'thou', 'shalt', 'know', 'of', 'mine']
57	Project! 	Больше чувства! 	['Больше', 'чувства']	['Project']
58	"""And thou shalt know of mine!"" "	«Узнаешь ты обо мне!» 	['«Узнаешь', 'ты', 'обо', 'мне!»']	['And', 'thou', 'shalt', 'know', 'of', 'mine']
59	Enunciate. You must be understood from anywhere in the room, 	Отчётливее. Тебя должно быть слышно во всех уголках, 	['Отчётливее', 'Тебя', 'должно', 'быть', 'слышно', 'во', 'всех', 'уголках']	['Enunciate', 'You', 'must', 'be', 'understood', 'from', 'anywhere', 'in', 'the', 'room']
60	or it's all for naught. 	или всё это напрасно. 	['или', 'всё', 'это', 'напрасно']	"['or', ""it's"", 'all', 'for', 'naught']"
61	- This is all for naught. - I heard that! 	– Всё это напрасно. – Я тебя слышу. 	['–', 'Всё', 'это', 'напрасно', '–', 'Я', 'тебя', 'слышу']	['This', 'is', 'all', 'for', 'naught', 'I', 'heard', 'that']
62	From the top. 	Всё сначала. 	['Всё', 'сначала']	['From', 'the', 'top']
63	A princess must be knowledgeable about her kingdom. 	Принцесса должна знать своё королевство. 	['Принцесса', 'должна', 'знать', 'своё', 'королевство']	['A', 'princess', 'must', 'be', 'knowledgeable', 'about', 'her', 'kingdom']
64	She does not doodle. 	А не рисовать каракули. 	['А', 'не', 'рисовать', 'каракули']	['She', 'does', 'not', 'doodle']
65	That's a C, dear. 	Это нота «до». 	['Это', 'нота', '«до»']	"[""That's"", 'a', 'C', 'dear']"
66	A princess does not chortle. 	Принцесса не фыркает. 	['Принцесса', 'не', 'фыркает']	['A', 'princess', 'does', 'not', 'chortle']
67	Does not stuff her gob! 	Не набивает рот едой. 	['Не', 'набивает', 'рот', 'едой']	['Does', 'not', 'stuff', 'her', 'gob']
68	Rises early. 	Просыпается рано. 	['Просыпается', 'рано']	['Rises', 'early']
69	...is compassionate... 	… проявляет сострадание… 	['…', 'проявляет', 'сострадание…']	['is', 'compassionate']
70	...patient, cautious, 	… она терпеливая, осторожная… 	['…', 'она', 'терпеливая', 'осторожная…']	['patient', 'cautious']
71	clean. 	Чистая. 	['Чистая']	['clean']
72	And above all, a princess strives for... Well, perfection. 	А самое главное – принцесса стремится к совершенству. 	['А', 'самое', 'главное', '–', 'принцесса', 'стремится', 'к', 'совершенству']	['And', 'above', 'all', 'a', 'princess', 'strives', 'for', 'Well', 'perfection']
73	But every once in a while, 	Но время от времени 	['Но', 'время', 'от', 'времени']	['But', 'every', 'once', 'in', 'a', 'while']
74	there's a day when I don't have to be a princess. 	бывают деньки, когда я не обязана быть принцессой. 	['бывают', 'деньки', 'когда', 'я', 'не', 'обязана', 'быть', 'принцессой']	"[""there's"", 'a', 'day', 'when', 'I', ""don't"", 'have', 'to', 'be', 'a', 'princess']"
75	No lessons, no expectations. 	Никаких уроков, никаких требований. 	['Никаких', 'уроков', 'никаких', 'требований']	['No', 'lessons', 'no', 'expectations']
76	A day where anything can happen. 	В такой день возможно всё. 	['В', 'такой', 'день', 'возможно', 'всё']	['A', 'day', 'where', 'anything', 'can', 'happen']
