	en	ru	ru_tokens	en_tokens
0	Wrong, as usual. 	Как обычно, неверно. 	['Как', 'обычно', 'неверно']	['Wrong', 'as', 'usual']
1	The United States' lack of action in Eastern Europe... 	Бездействие США в Восточной Европе… 	['Бездействие', 'США', 'в', 'Восточной', 'Европе…']	"['The', 'United', ""States'"", 'lack', 'of', 'action', 'in', 'Eastern', 'Europe']"
2	...proves that the Soviet Union's aggression at the Afghan border... 	Доказывает, что Штаты не дадут публичного отпора… 	['Доказывает', 'что', 'Штаты', 'не', 'дадут', 'публичного', 'отпора…']	"['proves', 'that', 'the', 'Soviet', ""Union's"", 'aggression', 'at', 'the', 'Afghan', 'border']"
3	...will not be opposed publicly by the United States. 	… агрессии Советского Союза на афганской границе. 	['…', 'агрессии', 'Советского', 'Союза', 'на', 'афганской', 'границе']	['will', 'not', 'be', 'opposed', 'publicly', 'by', 'the', 'United', 'States']
4	Issue: The Soviet Union continued its recent series of military exercises... 	Проблема: Советский Союз продолжает военные учения… 	['Проблема', 'Советский', 'Союз', 'продолжает', 'военные', 'учения…']	['Issue', 'The', 'Soviet', 'Union', 'continued', 'its', 'recent', 'series', 'of', 'military', 'exercises']
5	...conducting a bomb test today in the Bering Sea... 	… по испытанию бомб в Беринговом Море, 	['…', 'по', 'испытанию', 'бомб', 'в', 'Беринговом', 'Море']	['conducting', 'a', 'bomb', 'test', 'today', 'in', 'the', 'Bering', 'Sea']
6	...just 1500 miles off the southern coast of Alaska. 	всего в полутора тысячах миль от южного побережья Аляски. 	['всего', 'в', 'полутора', 'тысячах', 'миль', 'от', 'южного', 'побережья', 'Аляски']	['just', '1500', 'miles', 'off', 'the', 'southern', 'coast', 'of', 'Alaska']
7	President Richard Nixon issued this warning to the Soviets: 	Президент Ричард Никсон обратился с предупреждением к Советам… 	['Президент', 'Ричард', 'Никсон', 'обратился', 'с', 'предупреждением', 'к', 'Советам…']	['President', 'Richard', 'Nixon', 'issued', 'this', 'warning', 'to', 'the', 'Soviets']
8	The United States does not start fights. 	Соединённые Штаты не затевают войн. 	['Соединённые', 'Штаты', 'не', 'затевают', 'войн']	['The', 'United', 'States', 'does', 'not', 'start', 'fights']
9	Let it be clear we maintain our strength... 	Должно быть ясно, мы поддерживаем… 	['Должно', 'быть', 'ясно', 'мы', 'поддерживаем…']	['Let', 'it', 'be', 'clear', 'we', 'maintain', 'our', 'strength']
10	...in order to maintain peace... 	… нашу военную мощь для поддержки мира. 	['…', 'нашу', 'военную', 'мощь', 'для', 'поддержки', 'мира']	['in', 'order', 'to', 'maintain', 'peace']
11	...so any adversary should ask themselves: 	Так что любой неприятель должен спросить себя: 	['Так', 'что', 'любой', 'неприятель', 'должен', 'спросить', 'себя']	['so', 'any', 'adversary', 'should', 'ask', 'themselves']
12	"""Do the consequences of attacking America... "	«Перевесят ли последствия нападения на США… 	['«Перевесят', 'ли', 'последствия', 'нападения', 'на', 'США…']	['Do', 'the', 'consequences', 'of', 'attacking', 'America']
13	"...outweigh the potential benefits?"" "	… потенциальную выгоду?» 	['…', 'потенциальную', 'выгоду?»']	['outweigh', 'the', 'potential', 'benefits']
14	As a result of the Soviet activity... 	В результате действий Советов, 	['В', 'результате', 'действий', 'Советов']	['As', 'a', 'result', 'of', 'the', 'Soviet', 'activity']
15	...the watchdog group of nuclear scientists... 	наблюдательная группа физиков-ядерщиков… 	['наблюдательная', 'группа', 'физиков-ядерщиков…']	['the', 'watchdog', 'group', 'of', 'nuclear', 'scientists']
