	en	ru	ru_tokens	en_tokens
0	"[ Man ] ""Once upon a time there was a lovely princess. "	"[Мужчина] ""Давным-давно жила-была прекрасная принцесса. "	['Мужчина', 'Давным-давно', 'жила-была', 'прекрасная', 'принцесса']	['Man', 'Once', 'upon', 'a', 'time', 'there', 'was', 'a', 'lovely', 'princess']
1	"""But she had an enchantment upon her of a fearful sort... "	"""Но она была заколдована силами зла... "	['Но', 'она', 'была', 'заколдована', 'силами', 'зла']	['But', 'she', 'had', 'an', 'enchantment', 'upon', 'her', 'of', 'a', 'fearful', 'sort']
2	"""which could only be broken by love's first kiss. "	"""и только первый поцелуй мог спасти ее от этих чар. "	['и', 'только', 'первый', 'поцелуй', 'мог', 'спасти', 'ее', 'от', 'этих', 'чар']	"['which', 'could', 'only', 'be', 'broken', 'by', ""love's"", 'first', 'kiss']"
3	"""She was locked away in a castle... "	"""Она была заперта в замке... "	['Она', 'была', 'заперта', 'в', 'замке']	['She', 'was', 'locked', 'away', 'in', 'a', 'castle']
4	"""guarded by a terrible fire-breathing dragon. "	"""который охранял злой огнедышащий дракон. "	['который', 'охранял', 'злой', 'огнедышащий', 'дракон']	['guarded', 'by', 'a', 'terrible', 'fire-breathing', 'dragon']
5	"""Many brave knights had attempted to free her from this dreadful prison, "	"""Многие отважные рыцари пытались освободить ее из ужасной темницы, "	['Многие', 'отважные', 'рыцари', 'пытались', 'освободить', 'ее', 'из', 'ужасной', 'темницы']	['Many', 'brave', 'knights', 'had', 'attempted', 'to', 'free', 'her', 'from', 'this', 'dreadful', 'prison']
6	"""but none prevailed. "	"""но их попытки были тщетными. "	['но', 'их', 'попытки', 'были', 'тщетными']	['but', 'none', 'prevailed']
7	"""She waited in the dragon's keep... "	"""Так она и ждала, заточенная... "	['Так', 'она', 'и', 'ждала', 'заточенная']	"['She', 'waited', 'in', 'the', ""dragon's"", 'keep']"
8	"""in the highest room of the tallest tower... "	"""в верхней комнате самой высокой башни... "	['в', 'верхней', 'комнате', 'самой', 'высокой', 'башни']	['in', 'the', 'highest', 'room', 'of', 'the', 'tallest', 'tower']
9	"for her true love and true love's first kiss. "" "	"своей первой настоящей любви и страстного поцелуя"". "	['своей', 'первой', 'настоящей', 'любви', 'и', 'страстного', 'поцелуя']	"['for', 'her', 'true', 'love', 'and', 'true', ""love's"", 'first', 'kiss']"
10	[ Laughing ] Like that's ever gonna happen. 	[ Раздается смех ] Сказки, да и только. 	['Раздается', 'смех', 'Сказки', 'да', 'и', 'только']	"['Laughing', 'Like', ""that's"", 'ever', 'gonna', 'happen']"
11	- [ Paper Rustling, Toilet Flushes ] - What a load of-- 	- [ Шелест бумаги, звук смываемой воды ] - Что за ерунда... 	['Шелест', 'бумаги', 'звук', 'смываемой', 'воды', 'Что', 'за', 'ерунда']	['Paper', 'Rustling', 'Toilet', 'Flushes', 'What', 'a', 'load', 'of']
12	Somebody once told me the world is gonna roll me 	Робин-Бобин кое-как 	['Робин-Бобин', 'кое-как']	['Somebody', 'once', 'told', 'me', 'the', 'world', 'is', 'gonna', 'roll', 'me']
13	I ain't the sharpest tool in the shed 	Подкрепился натощак 	['Подкрепился', 'натощак']	"['I', ""ain't"", 'the', 'sharpest', 'tool', 'in', 'the', 'shed']"
14	She was lookin' kind of dumb with her finger and her thumb 	Съел теленка утром рано 	['Съел', 'теленка', 'утром', 'рано']	"['She', 'was', ""lookin'"", 'kind', 'of', 'dumb', 'with', 'her', 'finger', 'and', 'her', 'thumb']"
15	"In the shape of an ""L"" on her forehead "	Двух овечек и барана 	['Двух', 'овечек', 'и', 'барана']	['In', 'the', 'shape', 'of', 'an', 'L', 'on', 'her', 'forehead']
16	The years start comin' and they don't stop comin' 	Съел корову целиком 	['Съел', 'корову', 'целиком']	"['The', 'years', 'start', ""comin'"", 'and', 'they', ""don't"", 'stop', ""comin'""]"
17	Fed to the rules and I hit the ground runnin' 	И прилавок с мясником 	['И', 'прилавок', 'с', 'мясником']	"['Fed', 'to', 'the', 'rules', 'and', 'I', 'hit', 'the', 'ground', ""runnin'""]"
18	Didn't make sense not to live for fun 	Сотню жаворонков в тесте 	['Сотню', 'жаворонков', 'в', 'тесте']	"[""Didn't"", 'make', 'sense', 'not', 'to', 'live', 'for', 'fun']"
19	Your brain gets smart but your head gets dumb 	И коня с телегой вместе 	['И', 'коня', 'с', 'телегой', 'вместе']	['Your', 'brain', 'gets', 'smart', 'but', 'your', 'head', 'gets', 'dumb']
20	So much to do So much to see 	Кто поверит, что вчера 	['Кто', 'поверит', 'что', 'вчера']	['So', 'much', 'to', 'do', 'So', 'much', 'to', 'see']
21	So what's wrong with takin' the backstreets 	Съел он целого тунца 	['Съел', 'он', 'целого', 'тунца']	"['So', ""what's"", 'wrong', 'with', ""takin'"", 'the', 'backstreets']"
22	You'll never know if you don't go 	Пять церквей 	['Пять', 'церквей']	"[""You'll"", 'never', 'know', 'if', 'you', ""don't"", 'go']"
23	You'll never shine if you don't glow 	И колоколен - 	['И', 'колоколен']	"[""You'll"", 'never', 'shine', 'if', 'you', ""don't"", 'glow']"
24	Hey, now You're an all-star 	Да еще и недоволен! 	['Да', 'еще', 'и', 'недоволен']	"['Hey', 'now', ""You're"", 'an', 'all-star']"
25	Get your game on, go play 	Робин-Бобин 	['Робин-Бобин']	['Get', 'your', 'game', 'on', 'go', 'play']
26	Hey, now, you’re a rock star Get the show on, get paid 	Наш крепыш 	['Наш', 'крепыш']	['Hey', 'now', 'you’re', 'a', 'rock', 'star', 'Get', 'the', 'show', 'on', 'get', 'paid']
27	And all that glitters is gold 	Знает толк в еде малыш 	['Знает', 'толк', 'в', 'еде', 'малыш']	['And', 'all', 'that', 'glitters', 'is', 'gold']
28	Only shootin' stars break the mold 	Съел теленка утром рано 	['Съел', 'теленка', 'утром', 'рано']	"['Only', ""shootin'"", 'stars', 'break', 'the', 'mold']"
29	It's a cool place and they say it gets colder 	Двух овечек и барана 	['Двух', 'овечек', 'и', 'барана']	"[""It's"", 'a', 'cool', 'place', 'and', 'they', 'say', 'it', 'gets', 'colder']"
30	You're bundled up now but wait till you get older 	Съел корову целиком 	['Съел', 'корову', 'целиком']	"[""You're"", 'bundled', 'up', 'now', 'but', 'wait', 'till', 'you', 'get', 'older']"
31	But the meteor men beg to differ 	И прилавок с мясником 	['И', 'прилавок', 'с', 'мясником']	['But', 'the', 'meteor', 'men', 'beg', 'to', 'differ']
32	Judging by the hole in the satellite picture 	Сотню жаворонков в тесте 	['Сотню', 'жаворонков', 'в', 'тесте']	['Judging', 'by', 'the', 'hole', 'in', 'the', 'satellite', 'picture']
33	The ice we skate is gettin' pretty thin 	И коня с телегой вместе 	['И', 'коня', 'с', 'телегой', 'вместе']	"['The', 'ice', 'we', 'skate', 'is', ""gettin'"", 'pretty', 'thin']"
34	The water's getting warm so you might as well swim 	Пять церквей 	['Пять', 'церквей']	"['The', ""water's"", 'getting', 'warm', 'so', 'you', 'might', 'as', 'well', 'swim']"
